Wavelength (nm)	"187, TL 2022_103_153977, 3b"
200.00	
201.00	
202.00	
203.00	
204.00	
205.00	
206.00	
207.00	
208.00	
209.00	
210.00	
211.00	
212.00	
213.00	
214.00	
215.00	
216.00	
217.00	
218.00	
219.00	
220.00	
221.00	
222.00	
223.00	
224.00	
225.00	
226.00	
227.00	
228.00	
229.00	
230.00	
231.00	
232.00	
233.00	
234.00	
235.00	
236.00	
237.00	
238.00	
239.00	
240.00	
241.00	
242.00	
243.00	
244.00	
245.00	
246.00	
247.00	
248.00	
249.00	
250.00	
251.00	
252.00	
253.00	
254.00	
255.00	
256.00	
257.00	
258.00	
259.00	
260.00	
261.00	
262.00	
263.00	
264.00	
265.00	
266.00	
267.00	
268.00	
269.00	
270.00	
271.00	
272.00	
273.00	
274.00	
275.00	
276.00	
277.00	
278.00	
279.00	
280.00	
281.00	
282.00	
283.00	
284.00	
285.00	
286.00	
287.00	
288.00	
289.00	
290.00	
291.00	
292.00	
293.00	
294.00	
295.00	
296.00	
297.00	
298.00	
299.00	
300.00	0.65360
301.00	0.65458
302.00	0.65562
303.00	0.65724
304.00	0.65886
305.00	0.66048
306.00	0.66210
307.00	0.66368
308.00	0.66517
309.00	0.66666
310.00	0.66815
311.00	0.66956
312.00	0.67097
313.00	0.67239
314.00	0.67380
315.00	0.67587
316.00	0.67830
317.00	0.68074
318.00	0.68317
319.00	0.68608
320.00	0.68992
321.00	0.69376
322.00	0.69760
323.00	0.70141
324.00	0.70517
325.00	0.70894
326.00	0.71270
327.00	0.71647
328.00	0.72053
329.00	0.72462
330.00	0.72872
331.00	0.73282
332.00	0.73735
333.00	0.74293
334.00	0.74852
335.00	0.75410
336.00	0.76009
337.00	0.76705
338.00	0.77401
339.00	0.78096
340.00	0.79008
341.00	0.79948
342.00	0.80888
343.00	0.81830
344.00	0.82771
345.00	0.83771
346.00	0.84862
347.00	0.85953
348.00	0.87045
349.00	0.88158
350.00	0.89282
351.00	0.90406
352.00	0.91530
353.00	0.92605
354.00	0.93669
355.00	0.94734
356.00	0.95788
357.00	0.96828
358.00	0.97761
359.00	0.98484
360.00	0.99120
361.00	0.99629
362.00	0.99862
363.00	0.99931
364.00	1.0000
365.00	0.99895
366.00	0.99791
367.00	0.99535
368.00	0.99173
369.00	0.98584
370.00	0.97879
371.00	0.96862
372.00	0.95791
373.00	0.94611
374.00	0.93423
375.00	0.91976
376.00	0.90564
377.00	0.89459
378.00	0.88355
379.00	0.87246
380.00	0.86111
381.00	0.84977
382.00	0.83842
383.00	0.82716
384.00	0.81592
385.00	0.80518
386.00	0.79641
387.00	0.78764
388.00	0.77771
