Wavelength (nm)	"198, JOC 2014_2591, 11"
200.00	
201.00	
202.00	
203.00	
204.00	
205.00	
206.00	
207.00	
208.00	
209.00	
210.00	
211.00	
212.00	
213.00	
214.00	
215.00	
216.00	
217.00	
218.00	
219.00	
220.00	
221.00	
222.00	
223.00	
224.00	
225.00	
226.00	
227.00	
228.00	
229.00	
230.00	
231.00	
232.00	
233.00	
234.00	
235.00	
236.00	
237.00	
238.00	
239.00	
240.00	
241.00	
242.00	
243.00	
244.00	
245.00	
246.00	
247.00	
248.00	
249.00	
250.00	
251.00	
252.00	
253.00	
254.00	
255.00	
256.00	
257.00	
258.00	
259.00	
260.00	
261.00	
262.00	
263.00	
264.00	
265.00	
266.00	
267.00	
268.00	
269.00	
270.00	
271.00	
272.00	
273.00	
274.00	
275.00	
276.00	
277.00	
278.00	
279.00	
280.00	
281.00	
282.00	
283.00	
284.00	
285.00	
286.00	
287.00	
288.00	
289.00	
290.00	
291.00	
292.00	
293.00	
294.00	
295.00	
296.00	
297.00	
298.00	
299.00	
300.00	0.54469
301.00	0.54600
302.00	0.54731
303.00	0.54862
304.00	0.55081
305.00	0.55426
306.00	0.55771
307.00	0.56210
308.00	0.56691
309.00	0.57171
310.00	0.57733
311.00	0.58345
312.00	0.58957
313.00	0.59582
314.00	0.60257
315.00	0.60932
316.00	0.61607
317.00	0.62218
318.00	0.62794
319.00	0.63369
320.00	0.63945
321.00	0.64451
322.00	0.64904
323.00	0.65356
324.00	0.65786
325.00	0.66087
326.00	0.66387
327.00	0.66688
328.00	0.66898
329.00	0.67043
330.00	0.67188
331.00	0.67290
332.00	0.67306
333.00	0.67322
334.00	0.67339
335.00	0.67375
336.00	0.67466
337.00	0.67557
338.00	0.67648
339.00	0.67739
340.00	0.67934
341.00	0.68151
342.00	0.68368
343.00	0.68682
344.00	0.69122
345.00	0.69563
346.00	0.70085
347.00	0.70675
348.00	0.71265
349.00	0.72053
350.00	0.72888
351.00	0.73723
352.00	0.74558
353.00	0.75408
354.00	0.76282
355.00	0.77156
356.00	0.78030
357.00	0.78904
358.00	0.79778
359.00	0.80519
360.00	0.81253
361.00	0.81986
362.00	0.82720
363.00	0.83453
364.00	0.84054
365.00	0.84656
366.00	0.85257
367.00	0.85791
368.00	0.86235
369.00	0.86679
370.00	0.86891
371.00	0.87009
372.00	0.86746
373.00	0.86483
374.00	0.85749
375.00	0.84939
376.00	0.83537
377.00	0.81868
378.00	0.80189
379.00	0.77987
380.00	0.75785
381.00	0.73583
382.00	0.71214
383.00	0.68799
384.00	0.66384
385.00	0.63714
386.00	0.61014
387.00	0.58517
388.00	0.56412
389.00	0.54308
