Wavelength (nm)	3, Cj-PleB-Methylester, CJPLEBMETHYLESTER
210.00	0.48489
211.00	0.58087
212.00	0.67686
213.00	0.74735
214.00	0.81784
215.00	0.86734
216.00	0.91684
217.00	0.94618
218.00	0.97551
219.00	0.98776
220.00	1.0000
221.00	0.99863
222.00	0.99726
223.00	0.98688
224.00	0.97650
225.00	0.96291
226.00	0.94931
227.00	0.93646
228.00	0.92362
229.00	0.91331
230.00	0.90299
231.00	0.89534
232.00	0.88768
233.00	0.88216
234.00	0.87664
235.00	0.87222
236.00	0.86780
237.00	0.86378
238.00	0.85975
239.00	0.85491
240.00	0.85007
241.00	0.84333
242.00	0.83659
243.00	0.82636
244.00	0.81613
245.00	0.80119
246.00	0.78625
247.00	0.76585
248.00	0.74544
249.00	0.72178
250.00	0.69812
251.00	0.67324
252.00	0.64837
253.00	0.62436
254.00	0.60036
255.00	0.57883
256.00	0.55730
257.00	0.54015
258.00	0.52301
259.00	0.51010
260.00	0.49719
261.00	0.48765
262.00	0.47810
263.00	0.47145
264.00	0.46481
265.00	0.46009
266.00	0.45537
267.00	0.45207
268.00	0.44877
269.00	0.44619
270.00	0.44362
271.00	0.44160
272.00	0.43959
273.00	0.43805
274.00	0.43651
275.00	0.43531
276.00	0.43412
277.00	0.43351
278.00	0.43290
279.00	0.43313
280.00	0.43336
281.00	0.43457
282.00	0.43577
283.00	0.43832
284.00	0.44087
285.00	0.44509
286.00	0.44931
287.00	0.45528
288.00	0.46126
289.00	0.46928
290.00	0.47730
291.00	0.48701
292.00	0.49672
293.00	0.50833
294.00	0.51993
295.00	0.53292
296.00	0.54591
297.00	0.55919
298.00	0.57247
299.00	0.58663
300.00	0.60079
301.00	0.61442
302.00	0.62805
303.00	0.64108
304.00	0.65411
305.00	0.66535
306.00	0.67659
307.00	0.68522
308.00	0.69386
309.00	0.69911
310.00	0.70436
311.00	0.70486
312.00	0.70535
313.00	0.70112
314.00	0.69689
315.00	0.68739
316.00	0.67790
317.00	0.66394
318.00	0.64997
319.00	0.63103
320.00	0.61208
321.00	0.58900
322.00	0.56591
323.00	0.54036
324.00	0.51480
325.00	0.48636
326.00	0.45791
327.00	0.42794
328.00	0.39797
329.00	0.36847
330.00	0.33896
331.00	0.30910
332.00	0.27925
333.00	0.25132
334.00	0.22340
335.00	0.19845
336.00	0.17350
337.00	0.15193
338.00	0.13037
339.00	0.11328
340.00	0.096179
341.00	0.082265
342.00	0.068351
343.00	0.057902
344.00	0.047453
345.00	0.039938
346.00	0.032423
347.00	0.027237
348.00	0.022050
349.00	0.018480
350.00	0.014909
351.00	0.012464
352.00	0.010019
353.00	0.0083118
354.00	0.0066050
355.00	0.0055580
356.00	0.0045109
357.00	0.0038603
358.00	0.0032097
359.00	0.0028364
360.00	0.0024631
361.00	0.0021055
362.00	0.0017480
363.00	0.0017571
364.00	0.0017662
365.00	0.0016379
366.00	0.0015096
367.00	0.0013672
368.00	0.0012248
369.00	0.0011106
370.00	0.00099639
371.00	0.00097818
372.00	0.00095997
373.00	0.00091196
374.00	0.00086396
375.00	0.00088465
376.00	0.00090534
377.00	0.00084989
378.00	0.00079443
379.00	0.00081346
380.00	0.00083250
381.00	0.00073649
382.00	0.00064047
383.00	0.00073318
384.00	0.00082588
385.00	0.00066779
386.00	0.00050969
387.00	0.00052293
388.00	0.00053618
389.00	0.00069427
390.00	0.00085237
391.00	0.00061398
392.00	0.00037560
393.00	0.00062309
394.00	0.00087058
395.00	0.00076298
396.00	0.00065537
397.00	0.00049231
398.00	0.00032925
399.00	0.00053783
400.00	0.00074642
