Wavelength (nm)	Angew 2016_15760, E1-me (MeOH) abs [Z]
250.00	0.63215
251.00	0.63066
252.00	0.62917
253.00	0.62685
254.00	0.62071
255.00	0.60998
256.00	0.60484
257.00	0.60139
258.00	0.59991
259.00	0.60007
260.00	0.60178
261.00	0.60350
262.00	0.60624
263.00	0.61476
264.00	0.62254
265.00	0.63006
266.00	0.63778
267.00	0.64577
268.00	0.65375
269.00	0.66190
270.00	0.67052
271.00	0.67914
272.00	0.68708
273.00	0.69286
274.00	0.69864
275.00	0.70442
276.00	0.71020
277.00	0.71548
278.00	0.72077
279.00	0.72605
280.00	0.73133
281.00	0.73661
282.00	0.74190
283.00	0.74790
284.00	0.75434
285.00	0.76077
286.00	0.76720
287.00	0.77364
288.00	0.78229
289.00	0.79134
290.00	0.80039
291.00	0.80944
292.00	0.81875
293.00	0.83144
294.00	0.84413
295.00	0.85683
296.00	0.86918
297.00	0.88093
298.00	0.89269
299.00	0.90446
300.00	0.91633
301.00	0.92820
302.00	0.94007
303.00	0.95333
304.00	0.96672
305.00	0.97570
306.00	0.98468
307.00	0.99172
308.00	0.99731
309.00	0.99866
310.00	1.0000
311.00	0.99817
312.00	0.99633
313.00	0.98881
314.00	0.97813
315.00	0.96182
316.00	0.94552
317.00	0.92586
318.00	0.90256
319.00	0.87926
320.00	0.85596
321.00	0.83267
322.00	0.80238
323.00	0.77115
324.00	0.73992
325.00	0.70868
326.00	0.67745
327.00	0.64621
328.00	0.61188
329.00	0.57456
330.00	0.53725
331.00	0.49993
332.00	0.46389
333.00	0.43145
334.00	0.39901
335.00	0.36977
336.00	0.34476
337.00	0.31975
338.00	0.29698
339.00	0.28126
340.00	0.26554
341.00	0.25012
342.00	0.23927
343.00	0.22843
344.00	0.21758
345.00	0.21072
346.00	0.20445
347.00	0.20085
348.00	0.19928
349.00	0.19770
350.00	0.19662
351.00	0.19740
352.00	0.19818
353.00	0.19896
354.00	0.19973
355.00	0.20124
356.00	0.20482
357.00	0.20840
358.00	0.21198
359.00	0.21556
360.00	0.22050
361.00	0.22572
362.00	0.23093
363.00	0.23615
364.00	0.24188
365.00	0.24835
366.00	0.25482
367.00	0.26128
368.00	0.26775
369.00	0.27422
370.00	0.28145
371.00	0.28987
372.00	0.29830
373.00	0.30673
374.00	0.31516
375.00	0.32358
376.00	0.33201
377.00	0.34117
378.00	0.35109
379.00	0.36102
380.00	0.37094
381.00	0.38086
382.00	0.39079
383.00	0.40071
384.00	0.41063
385.00	0.42055
386.00	0.43192
387.00	0.44360
388.00	0.45529
389.00	0.46697
390.00	0.47865
391.00	0.49034
392.00	0.50226
393.00	0.51480
394.00	0.52733
395.00	0.53987
396.00	0.55241
397.00	0.56494
398.00	0.57748
399.00	0.58951
400.00	0.60073
401.00	0.61194
402.00	0.62316
403.00	0.63438
404.00	0.64559
405.00	0.65681
406.00	0.66802
407.00	0.67938
408.00	0.69096
409.00	0.70253
410.00	0.71410
411.00	0.72469
412.00	0.73335
413.00	0.74202
414.00	0.75068
415.00	0.75934
416.00	0.76705
417.00	0.77402
418.00	0.78100
419.00	0.78797
420.00	0.79495
421.00	0.80025
422.00	0.80448
423.00	0.80872
424.00	0.81208
425.00	0.81428
426.00	0.81649
427.00	0.81793
428.00	0.81885
429.00	0.81978
430.00	0.81801
431.00	0.81623
432.00	0.81401
433.00	0.81070
434.00	0.80738
435.00	0.80381
436.00	0.79794
437.00	0.79207
438.00	0.78620
439.00	0.78033
440.00	0.77127
441.00	0.76072
442.00	0.75017
443.00	0.73962
444.00	0.72872
445.00	0.71386
446.00	0.69900
447.00	0.68415
448.00	0.66929
449.00	0.65443
450.00	0.63857
451.00	0.62133
452.00	0.60409
453.00	0.58685
454.00	0.56961
455.00	0.55075
456.00	0.53152
457.00	0.51230
458.00	0.49308
459.00	0.46776
460.00	0.44192
461.00	0.41608
462.00	0.39463
463.00	0.37473
464.00	0.35483
465.00	0.33493
466.00	0.31611
467.00	0.29841
468.00	0.28072
469.00	0.26302
470.00	0.24532
471.00	0.23033
472.00	0.21645
473.00	0.20257
474.00	0.18869
475.00	0.17481
476.00	0.16093
477.00	0.14815
478.00	0.13749
479.00	0.12683
480.00	0.11618
481.00	0.10552
482.00	0.097918
483.00	0.090578
484.00	0.083239
485.00	0.075900
486.00	0.068840
487.00	0.063501
488.00	0.058161
489.00	0.052821
490.00	0.047481
491.00	0.042522
492.00	0.039186
493.00	0.035851
494.00	0.032515
495.00	0.029456
496.00	0.027043
497.00	0.024630
498.00	0.022217
499.00	0.019804
500.00	0.017940
501.00	0.016582
502.00	0.015225
503.00	0.013867
504.00	0.012510
505.00	0.011231
506.00	0.010250
507.00	0.0092695
508.00	0.0082887
509.00	0.0073080
510.00	0.0063272
511.00	0.0053464
512.00	0.0049243
513.00	0.0046085
514.00	0.0042928
515.00	0.0039770
516.00	0.0036612
517.00	0.0033455
518.00	0.0030297
519.00	0.0027674
520.00	0.0026838
521.00	0.0026002
522.00	0.0025167
523.00	0.0024331
524.00	0.0023495
525.00	0.0022659
526.00	0.0021824
527.00	0.0020988
528.00	0.0020152
529.00	0.0019316
530.00	0.0018481
531.00	0.0018255
532.00	0.0018255
533.00	0.0018255
534.00	0.0018255
535.00	0.0018255
536.00	0.0018255
537.00	0.0018255
538.00	0.0018255
539.00	0.0018255
540.00	0.0018255
541.00	0.0018255
542.00	0.0018255
543.00	0.0018255
544.00	0.0018255
545.00	0.0018255
546.00	0.0018255
547.00	0.0018255
548.00	0.0018255
549.00	0.0018255
550.00	0.0018255
