Wavelength (nm)	Chem Eur J 2018_2987, pyYCC 4 abs [Z]
250.00	0.52485
251.00	0.51684
252.00	0.50883
253.00	0.49877
254.00	0.48665
255.00	0.47862
256.00	0.47420
257.00	0.46978
258.00	0.46535
259.00	0.46591
260.00	0.46722
261.00	0.46852
262.00	0.47258
263.00	0.47691
264.00	0.48124
265.00	0.48617
266.00	0.49166
267.00	0.49714
268.00	0.50047
269.00	0.50298
270.00	0.50549
271.00	0.50735
272.00	0.50798
273.00	0.50860
274.00	0.50923
275.00	0.50985
276.00	0.51022
277.00	0.51022
278.00	0.51022
279.00	0.51022
280.00	0.51060
281.00	0.51179
282.00	0.51298
283.00	0.51439
284.00	0.51839
285.00	0.52238
286.00	0.52638
287.00	0.53134
288.00	0.53762
289.00	0.54390
290.00	0.55018
291.00	0.55783
292.00	0.56633
293.00	0.57482
294.00	0.58331
295.00	0.59446
296.00	0.60625
297.00	0.61803
298.00	0.62981
299.00	0.64145
300.00	0.65238
301.00	0.66331
302.00	0.67424
303.00	0.68517
304.00	0.69492
305.00	0.70358
306.00	0.71224
307.00	0.72090
308.00	0.72728
309.00	0.73063
310.00	0.73398
311.00	0.73147
312.00	0.72831
313.00	0.72424
314.00	0.71695
315.00	0.70967
316.00	0.70007
317.00	0.68390
318.00	0.66773
319.00	0.65155
320.00	0.63146
321.00	0.61085
322.00	0.59023
323.00	0.56802
324.00	0.54537
325.00	0.52272
326.00	0.49724
327.00	0.46943
328.00	0.44162
329.00	0.41428
330.00	0.38801
331.00	0.36173
332.00	0.33546
333.00	0.31194
334.00	0.29117
335.00	0.27040
336.00	0.25193
337.00	0.23394
338.00	0.21594
339.00	0.20081
340.00	0.18919
341.00	0.17757
342.00	0.16652
343.00	0.16310
344.00	0.15969
345.00	0.15627
346.00	0.15285
347.00	0.14943
348.00	0.14602
349.00	0.14407
350.00	0.14541
351.00	0.14675
352.00	0.14808
353.00	0.14942
354.00	0.15075
355.00	0.15209
356.00	0.15650
357.00	0.16100
358.00	0.16550
359.00	0.17000
360.00	0.17496
361.00	0.18199
362.00	0.18902
363.00	0.19605
364.00	0.20308
365.00	0.21055
366.00	0.21934
