Wavelength (nm)	Chem Eur J 2018_2987, 5-Me abs [Z]
250.00	1.1234
251.00	1.0994
252.00	1.0765
253.00	1.0606
254.00	1.0447
255.00	1.0311
256.00	1.0225
257.00	1.0138
258.00	1.0051
259.00	0.99773
260.00	0.99130
261.00	0.98487
262.00	0.97844
263.00	0.97263
264.00	0.96683
265.00	0.96103
266.00	0.95523
267.00	0.94547
268.00	0.93451
269.00	0.92356
270.00	0.91261
271.00	0.89951
272.00	0.88473
273.00	0.86995
274.00	0.85517
275.00	0.83951
276.00	0.82213
277.00	0.80476
278.00	0.78738
279.00	0.77000
280.00	0.75477
281.00	0.73960
282.00	0.72444
283.00	0.70927
284.00	0.69410
285.00	0.67894
286.00	0.66697
287.00	0.65540
288.00	0.64382
289.00	0.63630
290.00	0.63138
291.00	0.62645
292.00	0.62152
293.00	0.61659
294.00	0.61976
295.00	0.62354
296.00	0.62732
297.00	0.63321
298.00	0.64321
299.00	0.65320
300.00	0.66460
301.00	0.68094
302.00	0.69729
303.00	0.71363
304.00	0.72997
305.00	0.74632
306.00	0.76536
307.00	0.78466
308.00	0.80396
309.00	0.82326
310.00	0.84257
311.00	0.86153
312.00	0.87966
313.00	0.89778
314.00	0.91591
315.00	0.93331
316.00	0.95012
317.00	0.96513
318.00	0.97344
319.00	0.98174
320.00	0.99004
321.00	0.99415
322.00	0.99708
323.00	1.0000
324.00	0.99206
325.00	0.98412
326.00	0.97186
327.00	0.95839
328.00	0.94492
329.00	0.92749
330.00	0.90802
331.00	0.88854
332.00	0.86907
333.00	0.84590
334.00	0.82156
335.00	0.79723
336.00	0.77289
337.00	0.74507
338.00	0.71668
339.00	0.68829
340.00	0.65990
341.00	0.62820
342.00	0.59567
343.00	0.56314
344.00	0.53061
345.00	0.49860
346.00	0.46695
347.00	0.43530
348.00	0.40365
349.00	0.37264
350.00	0.34389
351.00	0.31514
352.00	0.28639
353.00	0.25764
354.00	0.23087
355.00	0.21108
356.00	0.19129
357.00	0.17481
358.00	0.16307
359.00	0.15133
360.00	0.13959
361.00	0.13205
362.00	0.12537
363.00	0.11869
364.00	0.11201
365.00	0.10532
366.00	0.098645
367.00	0.094478
368.00	0.091194
369.00	0.087911
370.00	0.084627
371.00	0.081343
372.00	0.078059
373.00	0.074775
374.00	0.072553
375.00	0.070742
376.00	0.068932
377.00	0.067121
378.00	0.065311
379.00	0.063500
380.00	0.061690
381.00	0.060037
382.00	0.058911
383.00	0.057785
384.00	0.056659
385.00	0.055533
386.00	0.054407
387.00	0.053281
388.00	0.052155
389.00	0.051029
390.00	0.051094
391.00	0.051456
392.00	0.051818
393.00	0.052180
394.00	0.052542
395.00	0.052904
396.00	0.053266
397.00	0.053516
398.00	0.053516
399.00	0.053516
400.00	0.053516
401.00	0.053516
402.00	0.053516
403.00	0.053516
404.00	0.053516
405.00	0.054254
406.00	0.055701
407.00	0.057148
408.00	0.058596
409.00	0.060043
410.00	0.061490
411.00	0.062937
412.00	0.064384
413.00	0.065831
414.00	0.067157
415.00	0.067737
416.00	0.068316
417.00	0.068896
418.00	0.069475
419.00	0.070055
420.00	0.070634
421.00	0.071214
422.00	0.071793
423.00	0.072373
424.00	0.072500
425.00	0.072500
426.00	0.072500
427.00	0.072500
428.00	0.072500
429.00	0.072500
430.00	0.072500
431.00	0.072500
432.00	0.072500
433.00	0.072500
434.00	0.071944
435.00	0.071076
436.00	0.070207
437.00	0.069339
438.00	0.068470
439.00	0.067602
440.00	0.066734
441.00	0.065865
442.00	0.064997
443.00	0.064128
444.00	0.063260
445.00	0.062203
446.00	0.061070
447.00	0.059937
448.00	0.058804
449.00	0.057671
450.00	0.056538
451.00	0.055405
452.00	0.054271
453.00	0.053138
454.00	0.052005
455.00	0.050872
456.00	0.049459
457.00	0.048028
458.00	0.046597
459.00	0.045166
460.00	0.043736
461.00	0.042305
462.00	0.040874
463.00	0.039443
464.00	0.038012
465.00	0.036581
466.00	0.035151
467.00	0.033720
468.00	0.032214
469.00	0.030663
470.00	0.029111
471.00	0.027560
472.00	0.026008
473.00	0.024457
474.00	0.022905
475.00	0.021354
476.00	0.019802
477.00	0.019246
478.00	0.018826
479.00	0.018406
480.00	0.017985
