Wavelength (nm)	Chem Sci 2014_3388, PiCC abs (MeOH) [Z]
250.00	0.23647
251.00	0.24299
252.00	0.24566
253.00	0.23193
254.00	0.23310
255.00	0.23668
256.00	0.24348
257.00	0.23928
258.00	0.24805
259.00	0.25682
260.00	0.24305
261.00	0.23880
262.00	0.26282
263.00	0.26622
264.00	0.25611
265.00	0.25312
266.00	0.26097
267.00	0.27191
268.00	0.25448
269.00	0.26508
270.00	0.28976
271.00	0.29066
272.00	0.26377
273.00	0.28059
274.00	0.29741
275.00	0.27111
276.00	0.29719
277.00	0.30032
278.00	0.30345
279.00	0.30987
280.00	0.31821
281.00	0.32775
282.00	0.33189
283.00	0.32783
284.00	0.34118
285.00	0.36199
286.00	0.36598
287.00	0.36257
288.00	0.37411
289.00	0.39095
290.00	0.41196
291.00	0.43017
292.00	0.43783
293.00	0.44550
294.00	0.45316
295.00	0.49014
296.00	0.49898
297.00	0.50783
298.00	0.51667
299.00	0.53799
300.00	0.55852
301.00	0.57125
302.00	0.58460
303.00	0.60623
304.00	0.62233
305.00	0.63492
306.00	0.64670
307.00	0.68092
308.00	0.66818
309.00	0.67348
310.00	0.68251
311.00	0.69178
312.00	0.70114
313.00	0.72206
314.00	0.71162
315.00	0.70118
316.00	0.69277
317.00	0.68827
318.00	0.69203
319.00	0.69207
320.00	0.67097
321.00	0.66619
322.00	0.65683
323.00	0.63779
324.00	0.61875
325.00	0.58837
326.00	0.58088
327.00	0.56893
328.00	0.54574
329.00	0.53036
330.00	0.52232
331.00	0.51537
332.00	0.48956
333.00	0.48076
334.00	0.47197
335.00	0.46191
336.00	0.43902
337.00	0.42056
338.00	0.40666
339.00	0.40773
340.00	0.37853
341.00	0.37101
342.00	0.36349
343.00	0.37225
344.00	0.36858
345.00	0.34300
346.00	0.32871
347.00	0.31725
348.00	0.30203
349.00	0.28870
350.00	0.27930
351.00	0.26991
352.00	0.26206
353.00	0.25402
354.00	0.24032
355.00	0.22621
356.00	0.21012
