Wavelength (nm)	22, (E)-Vv-DPxB-63, EVVDYCC
215.00	0.60213
216.00	0.72101
217.00	0.79585
218.00	0.87069
219.00	0.91343
220.00	0.95617
221.00	0.97485
222.00	0.99352
223.00	0.99676
224.00	1.0000
225.00	0.99558
226.00	0.99117
227.00	0.98268
228.00	0.97419
229.00	0.96515
230.00	0.95611
231.00	0.95100
232.00	0.94589
233.00	0.94034
234.00	0.93479
235.00	0.93161
236.00	0.92842
237.00	0.92705
238.00	0.92568
239.00	0.92545
240.00	0.92523
241.00	0.92685
242.00	0.92846
243.00	0.92739
244.00	0.92632
245.00	0.92261
246.00	0.91890
247.00	0.90639
248.00	0.89389
249.00	0.87480
250.00	0.85571
251.00	0.82929
252.00	0.80286
253.00	0.77196
254.00	0.74105
255.00	0.70989
256.00	0.67873
257.00	0.64778
258.00	0.61683
259.00	0.59234
260.00	0.56785
261.00	0.54933
262.00	0.53080
263.00	0.51828
264.00	0.50577
265.00	0.49962
266.00	0.49348
267.00	0.49107
268.00	0.48866
269.00	0.48776
270.00	0.48686
271.00	0.48787
272.00	0.48887
273.00	0.49058
274.00	0.49228
275.00	0.49338
276.00	0.49448
277.00	0.49392
278.00	0.49337
279.00	0.49184
280.00	0.49030
281.00	0.48587
282.00	0.48143
283.00	0.47639
284.00	0.47134
285.00	0.46551
286.00	0.45969
287.00	0.45140
288.00	0.44311
289.00	0.43243
290.00	0.42174
291.00	0.41348
292.00	0.40522
293.00	0.39337
294.00	0.38151
295.00	0.37149
296.00	0.36148
297.00	0.34992
298.00	0.33837
299.00	0.32686
300.00	0.31534
301.00	0.30520
302.00	0.29506
303.00	0.28425
304.00	0.27343
305.00	0.26400
306.00	0.25456
307.00	0.24465
308.00	0.23474
309.00	0.22683
310.00	0.21893
311.00	0.20986
312.00	0.20079
313.00	0.19352
314.00	0.18625
315.00	0.17957
316.00	0.17289
317.00	0.16624
318.00	0.15959
319.00	0.15298
320.00	0.14636
321.00	0.14088
322.00	0.13540
323.00	0.13002
324.00	0.12465
325.00	0.11853
326.00	0.11242
327.00	0.10752
328.00	0.10261
329.00	0.097929
330.00	0.093246
331.00	0.088001
332.00	0.082756
333.00	0.080615
334.00	0.078474
335.00	0.074764
336.00	0.071053
337.00	0.068109
338.00	0.065166
339.00	0.063667
340.00	0.062168
341.00	0.061089
342.00	0.060010
343.00	0.059867
344.00	0.059724
345.00	0.058556
346.00	0.057387
347.00	0.059162
348.00	0.060937
349.00	0.061312
350.00	0.061687
351.00	0.063819
352.00	0.065951
353.00	0.068787
354.00	0.071624
355.00	0.073907
356.00	0.076191
357.00	0.079893
358.00	0.083595
359.00	0.089107
360.00	0.094620
361.00	0.10036
362.00	0.10611
363.00	0.11417
364.00	0.12224
365.00	0.13018
366.00	0.13813
367.00	0.14478
368.00	0.15142
369.00	0.15930
370.00	0.16718
371.00	0.17752
372.00	0.18785
373.00	0.19603
374.00	0.20421
375.00	0.21345
376.00	0.22270
377.00	0.23313
378.00	0.24357
379.00	0.25571
380.00	0.26785
381.00	0.27942
382.00	0.29099
383.00	0.30387
384.00	0.31675
385.00	0.32966
386.00	0.34257
387.00	0.35472
388.00	0.36688
389.00	0.38203
390.00	0.39717
391.00	0.41003
392.00	0.42288
393.00	0.43787
394.00	0.45285
395.00	0.46604
396.00	0.47922
397.00	0.49355
398.00	0.50787
399.00	0.52322
400.00	0.53856
401.00	0.55273
402.00	0.56691
403.00	0.58184
404.00	0.59677
405.00	0.61319
406.00	0.62962
407.00	0.64279
408.00	0.65597
409.00	0.66971
410.00	0.68346
411.00	0.69765
412.00	0.71184
413.00	0.72694
414.00	0.74205
415.00	0.75448
416.00	0.76692
417.00	0.77890
418.00	0.79088
419.00	0.80120
420.00	0.81152
421.00	0.82351
422.00	0.83549
423.00	0.84560
424.00	0.85571
425.00	0.86367
426.00	0.87164
427.00	0.87834
428.00	0.88504
429.00	0.89102
430.00	0.89701
431.00	0.90098
432.00	0.90495
433.00	0.90764
434.00	0.91033
435.00	0.90937
436.00	0.90841
437.00	0.90641
438.00	0.90441
439.00	0.89874
440.00	0.89307
441.00	0.88829
442.00	0.88352
443.00	0.87779
444.00	0.87207
445.00	0.86429
446.00	0.85651
447.00	0.84674
448.00	0.83698
449.00	0.82546
450.00	0.81394
451.00	0.80218
452.00	0.79041
453.00	0.77478
454.00	0.75916
455.00	0.74124
456.00	0.72333
457.00	0.70343
458.00	0.68353
459.00	0.66780
460.00	0.65206
461.00	0.63355
462.00	0.61504
463.00	0.58964
464.00	0.56423
465.00	0.54606
466.00	0.52789
467.00	0.51115
468.00	0.49440
469.00	0.47488
470.00	0.45535
471.00	0.43221
472.00	0.40907
473.00	0.38653
474.00	0.36399
475.00	0.34516
476.00	0.32633
477.00	0.30804
478.00	0.28974
479.00	0.27157
480.00	0.25340
481.00	0.23847
482.00	0.22353
483.00	0.19330
484.00	0.16306
485.00	0.15292
486.00	0.14279
487.00	0.14150
488.00	0.14020
489.00	0.13359
490.00	0.12698
491.00	0.11824
492.00	0.10950
493.00	0.097608
494.00	0.085718
495.00	0.077681
496.00	0.069643
497.00	0.062766
498.00	0.055889
499.00	0.049537
500.00	0.043186
501.00	0.038343
502.00	0.033499
503.00	0.030421
504.00	0.027344
505.00	0.026068
506.00	0.024793
507.00	0.022393
508.00	0.019994
509.00	0.018388
510.00	0.016782
511.00	0.015105
512.00	0.013428
513.00	0.014071
514.00	0.014713
515.00	0.012759
516.00	0.010806
517.00	0.011074
518.00	0.011341
519.00	0.011145
520.00	0.010949
521.00	0.011966
522.00	0.012982
523.00	0.011716
524.00	0.010449
525.00	0.010521
526.00	0.010592
527.00	0.010476
528.00	0.010360
529.00	0.010173
530.00	0.0099853
531.00	0.0084064
532.00	0.0068276
533.00	0.0056858
534.00	0.0045440
535.00	0.0051238
536.00	0.0057036
537.00	0.0054806
538.00	0.0052576
539.00	0.0049454
540.00	0.0046332
541.00	0.0046510
542.00	0.0046688
543.00	0.0043388
544.00	0.0040088
545.00	0.0035449
546.00	0.0030811
547.00	0.0035984
548.00	0.0034116
549.00	0.0035409
550.00	0.0032670
