Wavelength (nm)	Monatshefte Chemie 2022_ASAP, biladiene 2 abs [Z]
250.00	0.44084
251.00	0.44505
252.00	0.44927
253.00	0.45348
254.00	0.45769
255.00	0.46231
256.00	0.46889
257.00	0.47547
258.00	0.48205
259.00	0.48787
260.00	0.49363
261.00	0.49939
262.00	0.50490
263.00	0.50958
264.00	0.51425
265.00	0.51892
266.00	0.52298
267.00	0.52553
268.00	0.52808
269.00	0.53063
270.00	0.53318
271.00	0.53573
272.00	0.53333
273.00	0.53077
274.00	0.52822
275.00	0.52566
276.00	0.52305
277.00	0.52044
278.00	0.51782
279.00	0.51576
280.00	0.51871
281.00	0.52166
282.00	0.52461
283.00	0.52807
284.00	0.53421
285.00	0.54035
286.00	0.54713
287.00	0.55732
288.00	0.56751
289.00	0.57770
290.00	0.59050
291.00	0.60649
292.00	0.62248
293.00	0.63847
294.00	0.65446
295.00	0.67186
296.00	0.69174
297.00	0.71162
298.00	0.73151
299.00	0.75139
300.00	0.77094
301.00	0.79037
302.00	0.80979
303.00	0.82922
304.00	0.84803
305.00	0.86565
306.00	0.88209
307.00	0.89497
308.00	0.90784
309.00	0.91976
310.00	0.92861
311.00	0.93630
312.00	0.93783
313.00	0.93936
314.00	0.94089
315.00	0.93898
316.00	0.93707
317.00	0.93516
318.00	0.92807
319.00	0.91464
320.00	0.90072
321.00	0.88373
322.00	0.86674
323.00	0.84976
324.00	0.82543
325.00	0.79732
326.00	0.76921
327.00	0.74110
328.00	0.71412
329.00	0.68755
330.00	0.66098
331.00	0.63442
332.00	0.60740
333.00	0.58027
334.00	0.55314
335.00	0.53182
336.00	0.51205
337.00	0.49227
338.00	0.47412
339.00	0.45959
340.00	0.44505
341.00	0.43128
342.00	0.41923
343.00	0.40838
344.00	0.40180
345.00	0.39522
346.00	0.38864
347.00	0.38569
348.00	0.38281
349.00	0.37992
350.00	0.37831
351.00	0.37995
352.00	0.38159
353.00	0.38323
354.00	0.38487
355.00	0.38650
356.00	0.39028
357.00	0.39414
358.00	0.39801
359.00	0.40187
360.00	0.40573
361.00	0.40960
362.00	0.41308
363.00	0.41654
364.00	0.42000
365.00	0.42346
366.00	0.42693
367.00	0.43049
368.00	0.43413
369.00	0.43777
370.00	0.44140
371.00	0.44504
372.00	0.44821
373.00	0.45023
374.00	0.45225
375.00	0.45427
376.00	0.45630
377.00	0.45832
378.00	0.46034
379.00	0.46151
380.00	0.46207
381.00	0.46263
382.00	0.46319
383.00	0.46375
384.00	0.46431
385.00	0.46487
386.00	0.46519
387.00	0.46538
388.00	0.46557
389.00	0.46576
390.00	0.46595
391.00	0.46561
392.00	0.46485
393.00	0.46409
394.00	0.46333
395.00	0.46257
396.00	0.46317
397.00	0.46536
398.00	0.46754
399.00	0.46973
400.00	0.47192
401.00	0.47506
402.00	0.47884
403.00	0.48263
404.00	0.48642
405.00	0.49021
406.00	0.49509
407.00	0.50037
408.00	0.50565
409.00	0.51093
410.00	0.51621
411.00	0.52295
412.00	0.53179
413.00	0.54063
414.00	0.54947
415.00	0.55831
416.00	0.56715
417.00	0.57621
418.00	0.58645
419.00	0.59668
420.00	0.60692
421.00	0.61716
422.00	0.62740
423.00	0.63763
424.00	0.64787
425.00	0.65811
426.00	0.67038
427.00	0.68306
428.00	0.69574
429.00	0.70843
430.00	0.72111
431.00	0.73380
432.00	0.74648
433.00	0.75916
434.00	0.77163
435.00	0.78410
436.00	0.79656
437.00	0.80902
438.00	0.82149
439.00	0.83395
440.00	0.84642
441.00	0.85888
442.00	0.87134
443.00	0.88106
444.00	0.89061
445.00	0.90016
446.00	0.90970
447.00	0.91925
448.00	0.92880
449.00	0.93834
450.00	0.94699
451.00	0.95485
452.00	0.96271
453.00	0.97056
454.00	0.97522
455.00	0.97922
456.00	0.98322
457.00	0.98722
458.00	0.99122
459.00	0.99419
460.00	0.99613
461.00	0.99806
462.00	1.0000
463.00	0.99789
464.00	0.99578
465.00	0.99367
466.00	0.99156
467.00	0.98785
468.00	0.98390
469.00	0.97995
470.00	0.97600
471.00	0.97022
472.00	0.96366
473.00	0.95710
474.00	0.95054
475.00	0.94399
476.00	0.93618
477.00	0.92635
478.00	0.91651
479.00	0.90667
480.00	0.89684
481.00	0.88376
482.00	0.86959
483.00	0.85542
484.00	0.84126
485.00	0.82709
486.00	0.81292
487.00	0.79089
488.00	0.76595
489.00	0.74101
490.00	0.71606
491.00	0.69112
492.00	0.66616
493.00	0.64119
494.00	0.61622
495.00	0.59125
496.00	0.56628
497.00	0.54119
498.00	0.51482
499.00	0.48846
500.00	0.46210
501.00	0.43573
502.00	0.40937
503.00	0.38660
504.00	0.36497
505.00	0.34335
506.00	0.32172
507.00	0.30009
508.00	0.27846
509.00	0.26246
510.00	0.24658
511.00	0.23069
512.00	0.21481
513.00	0.19893
514.00	0.18304
515.00	0.16716
516.00	0.15194
517.00	0.14208
518.00	0.13223
519.00	0.12238
520.00	0.11252
521.00	0.10267
522.00	0.092814
523.00	0.082961
524.00	0.077172
525.00	0.071690
526.00	0.066208
527.00	0.060725
528.00	0.055243
529.00	0.049761
530.00	0.046970
531.00	0.044414
532.00	0.041857
533.00	0.039301
534.00	0.036745
535.00	0.034188
536.00	0.031632
537.00	0.029076
538.00	0.027148
539.00	0.025676
540.00	0.024205
541.00	0.022733
542.00	0.021261
543.00	0.019789
544.00	0.018317
545.00	0.016845
546.00	0.015388
547.00	0.014655
548.00	0.013922
549.00	0.013189
550.00	0.012456
551.00	0.011723
552.00	0.010990
553.00	0.010256
554.00	0.0095234
555.00	0.0087902
556.00	0.0080571
557.00	0.0075111
558.00	0.0072703
559.00	0.0070295
560.00	0.0067887
561.00	0.0065479
562.00	0.0063071
563.00	0.0060663
564.00	0.0058255
565.00	0.0055847
566.00	0.0053439
567.00	0.0051031
568.00	0.0048623
569.00	0.0046215
570.00	0.0043809
571.00	0.0041407
572.00	0.0039005
573.00	0.0036603
574.00	0.0034201
575.00	0.0031799
576.00	0.0029397
577.00	0.0026995
578.00	0.0024593
579.00	0.0022191
580.00	0.0019789
581.00	0.0017387
582.00	0.0014985
583.00	0.0012583
584.00	0.0010181
585.00	0.00086681
586.00	0.00086681
587.00	0.00086681
588.00	0.00086681
589.00	0.00086681
590.00	0.00086681
591.00	0.00086681
592.00	0.00086681
593.00	0.00086681
594.00	0.00086681
595.00	0.00086681
596.00	0.00086681
597.00	0.00086681
598.00	0.00086681
599.00	0.00086681
600.00	0.00086681
