Wavelength (nm)	212 H2C (SE211)
300.00	0.081931
301.00	0.080053
302.00	0.078015
303.00	0.075511
304.00	0.072964
305.00	0.070953
306.00	0.069296
307.00	0.068290
308.00	0.068168
309.00	0.068717
310.00	0.069930
311.00	0.071937
312.00	0.074384
313.00	0.077044
314.00	0.080169
315.00	0.083533
316.00	0.087119
317.00	0.090718
318.00	0.094329
319.00	0.097918
320.00	0.10127
321.00	0.10450
322.00	0.10753
323.00	0.11060
324.00	0.11355
325.00	0.11648
326.00	0.11965
327.00	0.12299
328.00	0.12654
329.00	0.13069
330.00	0.13521
331.00	0.14002
332.00	0.14522
333.00	0.15061
334.00	0.15600
335.00	0.16116
336.00	0.16577
337.00	0.16992
338.00	0.17374
339.00	0.17715
340.00	0.18100
341.00	0.18542
342.00	0.19078
343.00	0.19738
344.00	0.20496
345.00	0.21319
346.00	0.22179
347.00	0.23012
348.00	0.23793
349.00	0.24498
350.00	0.25078
351.00	0.25542
352.00	0.25830
353.00	0.25980
354.00	0.25987
355.00	0.25897
356.00	0.25780
357.00	0.25711
358.00	0.25706
359.00	0.25846
360.00	0.26099
361.00	0.26530
362.00	0.27137
363.00	0.27881
364.00	0.28823
365.00	0.29877
366.00	0.31167
367.00	0.32741
368.00	0.34594
369.00	0.36679
370.00	0.38928
371.00	0.41357
372.00	0.43933
373.00	0.46811
374.00	0.50078
375.00	0.53579
376.00	0.57370
377.00	0.61500
378.00	0.65895
379.00	0.70411
380.00	0.74838
381.00	0.79165
382.00	0.83557
383.00	0.87632
384.00	0.91290
385.00	0.94415
386.00	0.96793
387.00	0.98534
388.00	0.99679
389.00	1.0000
390.00	0.99553
391.00	0.98728
392.00	0.97680
393.00	0.96739
394.00	0.95751
395.00	0.94600
396.00	0.93536
397.00	0.92336
398.00	0.91037
399.00	0.89569
400.00	0.87163
401.00	0.83512
402.00	0.79080
403.00	0.73848
404.00	0.68063
405.00	0.61799
406.00	0.54950
407.00	0.47676
408.00	0.40079
409.00	0.32778
410.00	0.26562
411.00	0.21097
412.00	0.16466
413.00	0.12901
414.00	0.10166
415.00	0.079792
416.00	0.063101
417.00	0.050418
418.00	0.040924
419.00	0.033985
420.00	0.028616
421.00	0.024420
422.00	0.021423
423.00	0.019311
424.00	0.017597
425.00	0.016348
426.00	0.015373
427.00	0.014548
428.00	0.013747
429.00	0.013498
430.00	0.013294
431.00	0.013186
432.00	0.013121
433.00	0.013146
434.00	0.013158
435.00	0.013417
436.00	0.013663
437.00	0.013832
438.00	0.014001
439.00	0.014248
440.00	0.014373
441.00	0.014686
442.00	0.015076
443.00	0.015303
444.00	0.015747
445.00	0.016189
446.00	0.016658
447.00	0.017299
448.00	0.017642
449.00	0.017983
450.00	0.018237
451.00	0.018154
452.00	0.018182
453.00	0.017939
454.00	0.017867
455.00	0.017835
456.00	0.017886
457.00	0.018103
458.00	0.018165
459.00	0.018502
460.00	0.018806
461.00	0.019134
462.00	0.019648
463.00	0.020261
464.00	0.020758
465.00	0.021210
466.00	0.021608
467.00	0.022311
468.00	0.022994
469.00	0.024036
470.00	0.025417
471.00	0.027330
472.00	0.029717
473.00	0.032466
474.00	0.035968
475.00	0.040241
476.00	0.045738
477.00	0.052468
478.00	0.060128
479.00	0.068091
480.00	0.075264
481.00	0.080455
