Wavelength (nm)	L212 MgC (SE212).ems

550.00	0.00046864
551.00	0.00060930
552.00	0.00077600
553.00	0.00062466
554.00	0.00068988
555.00	0.00072976
556.00	0.00057733
557.00	0.00059142
558.00	0.00070864
559.00	0.00074888
560.00	0.00069870
561.00	0.0010774
562.00	0.00095062
563.00	0.00090138
564.00	0.0014286
565.00	0.0011701
566.00	0.0010155
567.00	0.0013230
568.00	0.0014599
569.00	0.0014378
570.00	0.0014289
571.00	0.0015949
572.00	0.0021389
573.00	0.0025652
574.00	0.0026963
575.00	0.0030732
576.00	0.0029066
577.00	0.0033416
578.00	0.0042060
579.00	0.0037652
580.00	0.0049558
581.00	0.0045315
582.00	0.0051793
583.00	0.0057765
584.00	0.0058851
585.00	0.0063909
586.00	0.0056783
587.00	0.0063439
588.00	0.0090082
589.00	0.0085842
590.00	0.011397
591.00	0.013385
592.00	0.016503
593.00	0.021391
594.00	0.027295
595.00	0.036041
596.00	0.045901
597.00	0.058265
598.00	0.079384
599.00	0.11051
600.00	0.15895
601.00	0.22024
602.00	0.29552
603.00	0.39413
604.00	0.50559
605.00	0.62409
606.00	0.72684
607.00	0.83117
608.00	0.91552
609.00	0.97118
610.00	1.0000
611.00	0.98107
612.00	0.94119
613.00	0.87744
614.00	0.78770
615.00	0.69298
616.00	0.60164
617.00	0.49870
618.00	0.42507
619.00	0.34779
620.00	0.30167
621.00	0.25859
622.00	0.21923
623.00	0.19362
624.00	0.17067
625.00	0.15069
626.00	0.13493
627.00	0.12156
628.00	0.11701
629.00	0.10643
630.00	0.10075
631.00	0.10134
632.00	0.10081
633.00	0.10103
634.00	0.10339
635.00	0.11121
636.00	0.11636
637.00	0.12024
638.00	0.11679
639.00	0.12086
640.00	0.11863
641.00	0.12125
642.00	0.11963
643.00	0.11640
644.00	0.12054
645.00	0.12679
646.00	0.12893
647.00	0.12837
648.00	0.12956
649.00	0.13518
650.00	0.13602
651.00	0.13891
652.00	0.13705
653.00	0.13692
654.00	0.13370
655.00	0.13837
656.00	0.13334
657.00	0.13403
658.00	0.14056
659.00	0.14298
660.00	0.14449
661.00	0.14177
662.00	0.14908
663.00	0.14327
664.00	0.14210
665.00	0.14218
666.00	0.13896
667.00	0.13247
668.00	0.13150
669.00	0.12824
670.00	0.12667
671.00	0.12239
672.00	0.12248
673.00	0.11137
674.00	0.10298
675.00	0.10474
676.00	0.096550
677.00	0.088568
678.00	0.081375
679.00	0.066305
680.00	0.064228
681.00	0.060110
682.00	0.049734
683.00	0.048717
684.00	0.044665
685.00	0.038065
686.00	0.035616
687.00	0.033333
688.00	0.027962
689.00	0.030424
690.00	0.026706
691.00	0.024755
692.00	0.025038
693.00	0.021748
694.00	0.020539
695.00	0.021489
696.00	0.018566
697.00	0.019952
698.00	0.018977
699.00	0.019316
700.00	0.018455
701.00	0.018297
702.00	0.017412
703.00	0.018838
704.00	0.015398
705.00	0.018887
706.00	0.017693
707.00	0.016466
708.00	0.017300
709.00	0.017500
710.00	0.016606
711.00	0.016557
712.00	0.017577
713.00	0.016255
714.00	0.015400
715.00	0.018013
716.00	0.016064
717.00	0.013299
718.00	0.015389
719.00	0.013958
720.00	0.015258
721.00	0.015309
722.00	0.015052
723.00	0.014630
724.00	0.015856
725.00	0.011210
726.00	0.013322
727.00	0.011704
728.00	0.011463
729.00	0.010826
730.00	0.012632
731.00	0.010253
732.00	0.011023
733.00	0.010296
734.00	0.0094870
735.00	0.010505
736.00	0.012272
737.00	0.0094257
738.00	0.0084270
739.00	0.011354
740.00	0.0081893
741.00	0.011374
742.00	0.0088436
743.00	0.0092776
744.00	0.0081211
745.00	0.0087541
746.00	0.0070149
747.00	0.0077144
748.00	0.0066861
749.00	0.0085212
750.00	0.0064070
751.00	0.0077815
752.00	0.0051761
753.00	0.0063437
754.00	0.0053726
755.00	0.0044531
756.00	0.0045037
757.00	0.0040912
758.00	0.0042928
759.00	0.0055239
760.00	0.0047861
761.00	0.0053203
762.00	0.0057830
763.00	0.0031268
764.00	0.0056529
765.00	0.0041983
766.00	0.0046644
767.00	0.0041110
768.00	0.0046703
769.00	0.0029690
770.00	0.0041438
771.00	0.0056127
772.00	0.0045004
773.00	0.0070929
774.00	0.0042250
775.00	0.0045457
776.00	0.0047782
777.00	0.0038790
778.00	0.0040122
779.00	0.0035686
780.00	0.0038948
