Wavelength (nm)	211 CuC (SE204)
300.00	0.051739
301.00	0.050756
302.00	0.050470
303.00	0.050241
304.00	0.050324
305.00	0.050946
306.00	0.050293
307.00	0.050765
308.00	0.051018
309.00	0.051780
310.00	0.052314
311.00	0.052800
312.00	0.053144
313.00	0.054062
314.00	0.055244
315.00	0.056159
316.00	0.056797
317.00	0.057816
318.00	0.059176
319.00	0.060024
320.00	0.060880
321.00	0.061877
322.00	0.062825
323.00	0.063738
324.00	0.064694
325.00	0.065298
326.00	0.065761
327.00	0.066289
328.00	0.066499
329.00	0.067141
330.00	0.066849
331.00	0.066759
332.00	0.066335
333.00	0.066172
334.00	0.066097
335.00	0.065931
336.00	0.065581
337.00	0.065475
338.00	0.065418
339.00	0.065202
340.00	0.065103
341.00	0.064912
342.00	0.064724
343.00	0.064543
344.00	0.064457
345.00	0.064579
346.00	0.065087
347.00	0.065534
348.00	0.066214
349.00	0.067415
350.00	0.068471
351.00	0.070265
352.00	0.071597
353.00	0.073784
354.00	0.076368
355.00	0.079293
356.00	0.083072
357.00	0.087343
358.00	0.091969
359.00	0.097102
360.00	0.10305
361.00	0.10955
362.00	0.11718
363.00	0.12515
364.00	0.13379
365.00	0.14344
366.00	0.15345
367.00	0.16391
368.00	0.17462
369.00	0.18523
370.00	0.19635
371.00	0.20813
372.00	0.22009
373.00	0.23197
374.00	0.24427
375.00	0.25601
376.00	0.26766
377.00	0.28075
378.00	0.29583
379.00	0.31237
380.00	0.33023
381.00	0.35136
382.00	0.37664
383.00	0.40439
384.00	0.43428
385.00	0.46768
386.00	0.50510
387.00	0.54606
388.00	0.58830
389.00	0.62972
390.00	0.67267
391.00	0.72001
392.00	0.77821
393.00	0.84116
394.00	0.90748
395.00	0.96092
396.00	0.99675
397.00	1.00000
398.00	0.96750
399.00	0.90347
400.00	0.81208
401.00	0.70800
402.00	0.60443
403.00	0.50686
404.00	0.41680
405.00	0.33932
406.00	0.27853
407.00	0.22694
408.00	0.18287
409.00	0.14903
410.00	0.12404
411.00	0.10386
412.00	0.088006
413.00	0.076362
414.00	0.067496
415.00	0.060222
416.00	0.054036
417.00	0.049315
418.00	0.045241
419.00	0.041860
420.00	0.038581
421.00	0.035978
422.00	0.033361
423.00	0.031371
424.00	0.029566
425.00	0.028056
426.00	0.026703
427.00	0.025077
428.00	0.023733
429.00	0.022883
430.00	0.021775
431.00	0.020797
432.00	0.019865
433.00	0.019345
434.00	0.018061
435.00	0.017911
436.00	0.017194
437.00	0.016536
438.00	0.015764
439.00	0.015495
440.00	0.015136
441.00	0.014528
442.00	0.014268
443.00	0.014135
444.00	0.013647
445.00	0.013608
446.00	0.013612
447.00	0.013411
