Wavelength (nm)	211 PdC
300.00	0.071728
301.00	0.071824
302.00	0.071917
303.00	0.072051
304.00	0.072025
305.00	0.072823
306.00	0.073018
307.00	0.074310
308.00	0.075806
309.00	0.076799
310.00	0.078457
311.00	0.079976
312.00	0.081708
313.00	0.082823
314.00	0.084699
315.00	0.086453
316.00	0.088311
317.00	0.089799
318.00	0.091557
319.00	0.093553
320.00	0.095730
321.00	0.097720
322.00	0.099448
323.00	0.10142
324.00	0.10353
325.00	0.10525
326.00	0.10681
327.00	0.10836
328.00	0.10950
329.00	0.11073
330.00	0.11160
331.00	0.11189
332.00	0.11183
333.00	0.11224
334.00	0.11196
335.00	0.11122
336.00	0.11065
337.00	0.11016
338.00	0.10976
339.00	0.10989
340.00	0.11007
341.00	0.11047
342.00	0.11154
343.00	0.11299
344.00	0.11478
345.00	0.11720
346.00	0.12037
347.00	0.12446
348.00	0.12881
349.00	0.13459
350.00	0.14152
351.00	0.14940
352.00	0.15869
353.00	0.16865
354.00	0.18029
355.00	0.19246
356.00	0.20621
357.00	0.22026
358.00	0.23426
359.00	0.24759
360.00	0.25993
361.00	0.27301
362.00	0.28546
363.00	0.29614
364.00	0.30772
365.00	0.31994
366.00	0.33290
367.00	0.34783
368.00	0.36455
369.00	0.38288
370.00	0.40531
371.00	0.43108
372.00	0.45884
373.00	0.48991
374.00	0.52502
375.00	0.56457
376.00	0.60606
377.00	0.65169
378.00	0.69764
379.00	0.74482
380.00	0.78734
381.00	0.82638
382.00	0.86513
383.00	0.89493
384.00	0.91625
385.00	0.93324
386.00	0.95252
387.00	0.97206
388.00	0.98762
389.00	0.99715
390.00	1.00000
391.00	0.99889
392.00	0.97902
393.00	0.94352
394.00	0.88704
395.00	0.81757
396.00	0.73813
397.00	0.65373
398.00	0.57110
399.00	0.49976
400.00	0.43073
401.00	0.36944
402.00	0.31551
403.00	0.27060
404.00	0.23167
405.00	0.20020
406.00	0.17506
407.00	0.15340
408.00	0.13450
409.00	0.11857
410.00	0.10596
411.00	0.094314
412.00	0.083937
413.00	0.075833
414.00	0.068964
415.00	0.062563
416.00	0.056643
417.00	0.051428
418.00	0.047075
419.00	0.043243
420.00	0.039730
421.00	0.036370
422.00	0.033421
423.00	0.031193
424.00	0.029179
425.00	0.027079
426.00	0.025359
427.00	0.023492
428.00	0.022019
429.00	0.020970
430.00	0.019367
431.00	0.018358
432.00	0.017527
433.00	0.016846
434.00	0.016069
435.00	0.015812
436.00	0.015607
437.00	0.015317
438.00	0.015000
439.00	0.014824
440.00	0.014971
441.00	0.015061
442.00	0.014980
443.00	0.015008
444.00	0.015017
445.00	0.014886
446.00	0.014805
447.00	0.014950
448.00	0.014865
449.00	0.014451
450.00	0.014297
451.00	0.014358
452.00	0.013991
453.00	0.013948
454.00	0.013860
455.00	0.013910
456.00	0.014090
457.00	0.014084
458.00	0.014351
459.00	0.014814
460.00	0.015505
461.00	0.016387
462.00	0.017319
463.00	0.018609
464.00	0.020128
465.00	0.022063
466.00	0.024003
467.00	0.026775
468.00	0.028891
469.00	0.031319
470.00	0.033342
471.00	0.036100
472.00	0.038541
473.00	0.041023
474.00	0.043063
475.00	0.045049
476.00	0.045915
477.00	0.046642
478.00	0.045851
479.00	0.044583
480.00	0.043243
481.00	0.041795
482.00	0.040326
483.00	0.038647
484.00	0.036674
485.00	0.034332
486.00	0.032310
487.00	0.031039
488.00	0.028613
489.00	0.025979
490.00	0.023902
491.00	0.022456
492.00	0.021018
493.00	0.019684
494.00	0.018791
495.00	0.018271
496.00	0.018052
497.00	0.017572
498.00	0.017833
499.00	0.017793
500.00	0.018169
501.00	0.019011
502.00	0.019277
503.00	0.020013
504.00	0.020421
505.00	0.020785
506.00	0.021111
507.00	0.021829
508.00	0.022275
509.00	0.022357
510.00	0.021872
511.00	0.022259
512.00	0.022293
513.00	0.021933
514.00	0.021131
515.00	0.020120
516.00	0.019441
517.00	0.019267
518.00	0.018228
519.00	0.017759
520.00	0.017572
521.00	0.017594
522.00	0.017720
523.00	0.017712
524.00	0.018361
525.00	0.018180
526.00	0.018356
527.00	0.018806
528.00	0.019937
529.00	0.021362
530.00	0.023035
531.00	0.025451
532.00	0.029067
533.00	0.032826
534.00	0.037948
535.00	0.042641
536.00	0.047461
537.00	0.052390
538.00	0.056529
539.00	0.059717
540.00	0.062519
541.00	0.064811
542.00	0.067186
543.00	0.068550
544.00	0.070000
545.00	0.069833
546.00	0.069241
547.00	0.068502
548.00	0.067671
549.00	0.066189
550.00	0.064300
551.00	0.062479
552.00	0.061131
553.00	0.059297
554.00	0.057710
555.00	0.057359
556.00	0.057331
557.00	0.059080
558.00	0.060714
559.00	0.063287
560.00	0.065205
561.00	0.066015
562.00	0.065830
563.00	0.064821
564.00	0.063230
565.00	0.061785
566.00	0.061728
567.00	0.063593
568.00	0.067420
569.00	0.073102
570.00	0.078913
571.00	0.085612
572.00	0.091269
573.00	0.097381
574.00	0.10349
575.00	0.11146
576.00	0.12364
577.00	0.14656
578.00	0.17441
579.00	0.22065
580.00	0.27664
581.00	0.35499
582.00	0.41283
583.00	0.47537
584.00	0.54481
585.00	0.58139
586.00	0.58851
587.00	0.57077
588.00	0.53181
589.00	0.47731
590.00	0.40998
591.00	0.33948
592.00	0.26978
593.00	0.21416
594.00	0.16910
595.00	0.12810
596.00	0.10024
597.00	0.076344
598.00	0.058305
599.00	0.046191
600.00	0.036911
601.00	0.029626
602.00	0.024192
603.00	0.019801
604.00	0.016704
605.00	0.013870
606.00	0.011682
607.00	0.0099203
608.00	0.0088506
609.00	0.0080785
610.00	0.0069636
611.00	0.0063205
612.00	0.0058638
613.00	0.0055427
614.00	0.0051189
615.00	0.0050031
616.00	0.0045737
617.00	0.0043939
618.00	0.0042376
619.00	0.0042545
620.00	0.0040078
621.00	0.0039541
622.00	0.0039118
623.00	0.0037423
624.00	0.0035888
625.00	0.0036076
626.00	0.0038562
627.00	0.0037686
628.00	0.0035888
629.00	0.0034899
630.00	0.0033336
631.00	0.0031923
632.00	0.0029645
633.00	0.0031170
634.00	0.0031613
635.00	0.0030954
636.00	0.0030002
637.00	0.0028496
638.00	0.0029494
639.00	0.0030313
640.00	0.0027262
641.00	0.0028176
642.00	0.0025162
643.00	0.0017366
644.00	0.0024080
645.00	0.0028825
646.00	0.0025012
647.00	0.0019522
648.00	0.0020031
649.00	0.0024682
650.00	0.0016066
651.00	0.0014560
652.00	0.0013722
653.00	0.0011970
654.00	0.0019456
655.00	0.0019983
656.00	0.0011904
657.00	0.0010115
658.00	0.0012432
659.00	0.0012733
660.00	0.0012469
661.00	0.00050868
662.00	0.00050020
663.00	0.0014437
664.00	0.0011104
665.00	0.00073655
666.00	0.00038156
667.00	0.00047572
668.00	0.0010802
669.00	0.0010482
670.00	0.00098797
671.00	0.00084767
672.00	0.00075444
673.00	0.00065934
674.00	0.00085708
675.00	0.00074409
676.00	0.00068005
677.00	0.00069418
678.00	0.00077045
679.00	0.00068570
680.00	0.00067911
681.00	0.00071019
682.00	0.00066875
683.00	0.00060096
684.00	0.00068476
685.00	0.00083542
686.00	0.00073749
687.00	0.00049549
688.00	0.00047101
689.00	0.00072525
690.00	0.00045124
691.00	0.00057836
692.00	0.00045783
693.00	0.00061885
694.00	0.00074503
695.00	0.00046254
696.00	0.00046819
697.00	0.00061696
698.00	0.00049361
699.00	0.00037214
700.00	0.00062450
