Wavelength (nm)	L211 CuiC-P10
300.00	0.075870
301.00	0.074053
302.00	0.072231
303.00	0.070522
304.00	0.069228
305.00	0.067889
306.00	0.066961
307.00	0.065613
308.00	0.064617
309.00	0.063794
310.00	0.062732
311.00	0.062270
312.00	0.062037
313.00	0.061607
314.00	0.061347
315.00	0.061175
316.00	0.061134
317.00	0.061121
318.00	0.061109
319.00	0.061303
320.00	0.061430
321.00	0.061811
322.00	0.062108
323.00	0.062456
324.00	0.063127
325.00	0.063087
326.00	0.063486
327.00	0.063833
328.00	0.063758
329.00	0.063830
330.00	0.063631
331.00	0.063283
332.00	0.063016
333.00	0.062202
334.00	0.061516
335.00	0.060844
336.00	0.060111
337.00	0.059416
338.00	0.058736
339.00	0.057838
340.00	0.057225
341.00	0.056668
342.00	0.056112
343.00	0.055671
344.00	0.054904
345.00	0.054268
346.00	0.053928
347.00	0.053448
348.00	0.053000
349.00	0.052669
350.00	0.052684
351.00	0.053016
352.00	0.053623
353.00	0.054252
354.00	0.055213
355.00	0.056042
356.00	0.057434
357.00	0.058997
358.00	0.060542
359.00	0.062102
360.00	0.064465
361.00	0.067057
362.00	0.070255
363.00	0.073919
364.00	0.078366
365.00	0.083779
366.00	0.089915
367.00	0.096663
368.00	0.10457
369.00	0.11330
370.00	0.12239
371.00	0.13334
372.00	0.14371
373.00	0.15479
374.00	0.16543
375.00	0.17649
376.00	0.18718
377.00	0.19699
378.00	0.20650
379.00	0.21587
380.00	0.22376
381.00	0.23227
382.00	0.24094
383.00	0.25014
384.00	0.26061
385.00	0.27353
386.00	0.28931
387.00	0.30864
388.00	0.33214
389.00	0.35825
390.00	0.39052
391.00	0.42986
392.00	0.47496
393.00	0.52426
394.00	0.57472
395.00	0.62828
396.00	0.68674
397.00	0.75193
398.00	0.82065
399.00	0.88997
400.00	0.95057
401.00	0.99202
402.00	1.0000
403.00	0.97491
404.00	0.91302
405.00	0.82013
406.00	0.71650
407.00	0.60562
408.00	0.49561
409.00	0.39934
410.00	0.32091
411.00	0.25395
412.00	0.20088
413.00	0.15923
414.00	0.12934
415.00	0.10471
416.00	0.085753
417.00	0.070480
418.00	0.058113
419.00	0.048481
420.00	0.040295
421.00	0.034050
422.00	0.029254
423.00	0.025353
424.00	0.021853
425.00	0.019237
426.00	0.017540
427.00	0.015206
428.00	0.014083
429.00	0.012387
430.00	0.011282
431.00	0.010597
432.00	0.0093456
433.00	0.0088825
434.00	0.0083803
435.00	0.0077941
436.00	0.0071055
437.00	0.0067662
438.00	0.0063776
439.00	0.0058359
440.00	0.0055864
441.00	0.0052814
442.00	0.0049540
443.00	0.0047046
444.00	0.0045257
445.00	0.0041374
446.00	0.0043000
447.00	0.0039763
448.00	0.0040687
449.00	0.0038800
450.00	0.0044235
451.00	0.0041876
452.00	0.0041153
453.00	0.0040803
454.00	0.0043459
455.00	0.0045479
456.00	0.0045712
457.00	0.0049873
458.00	0.0054571
459.00	0.0051124
460.00	0.0045534
461.00	0.0049957
462.00	0.0059422
463.00	0.0058347
464.00	0.0054002
465.00	0.0055314
466.00	0.0053656
467.00	0.0056936
468.00	0.0057736
469.00	0.0054547
470.00	0.0056803
471.00	0.0057988
472.00	0.0061585
473.00	0.0063199
474.00	0.0065812
475.00	0.0058206
476.00	0.0066898
477.00	0.0069259
478.00	0.0075202
479.00	0.0083365
480.00	0.0087762
481.00	0.0092947
482.00	0.010008
483.00	0.010660
484.00	0.011509
485.00	0.013339
486.00	0.014229
487.00	0.014361
488.00	0.014427
489.00	0.016941
490.00	0.018725
491.00	0.019684
492.00	0.020381
493.00	0.020700
494.00	0.021645
495.00	0.022089
496.00	0.021298
497.00	0.020711
498.00	0.020171
499.00	0.020561
500.00	0.019937
501.00	0.019176
502.00	0.018466
503.00	0.017554
504.00	0.016295
505.00	0.015519
506.00	0.015193
507.00	0.014804
508.00	0.013397
509.00	0.013301
510.00	0.013106
511.00	0.012668
512.00	0.012185
513.00	0.012244
514.00	0.012131
515.00	0.011666
516.00	0.011612
517.00	0.011931
518.00	0.011143
519.00	0.011177
520.00	0.011430
521.00	0.010573
522.00	0.010869
523.00	0.010969
524.00	0.010522
525.00	0.010432
526.00	0.010970
527.00	0.010495
528.00	0.010168
529.00	0.0096666
530.00	0.0096601
531.00	0.0095425
532.00	0.010277
533.00	0.0094529
534.00	0.010210
535.00	0.010055
536.00	0.0099160
537.00	0.0099709
538.00	0.0097945
539.00	0.010290
540.00	0.011255
541.00	0.011820
542.00	0.012392
543.00	0.013282
544.00	0.013691
545.00	0.015661
546.00	0.017364
547.00	0.019290
548.00	0.020787
549.00	0.021994
550.00	0.024024
551.00	0.026351
552.00	0.028710
553.00	0.030387
554.00	0.031422
555.00	0.033097
556.00	0.034214
557.00	0.034670
558.00	0.035228
559.00	0.035068
560.00	0.034738
561.00	0.034981
562.00	0.035054
563.00	0.034803
564.00	0.034407
565.00	0.033917
566.00	0.033731
567.00	0.033092
568.00	0.033428
569.00	0.032671
570.00	0.032212
571.00	0.032196
572.00	0.032184
573.00	0.032346
574.00	0.032698
575.00	0.032552
576.00	0.032393
577.00	0.032535
578.00	0.032741
579.00	0.032702
580.00	0.033488
581.00	0.034678
582.00	0.035626
583.00	0.036633
584.00	0.039121
585.00	0.042178
586.00	0.044438
587.00	0.048210
588.00	0.052631
589.00	0.057397
590.00	0.064590
591.00	0.073076
592.00	0.085007
593.00	0.10007
594.00	0.11496
595.00	0.13431
596.00	0.15318
597.00	0.17413
598.00	0.19288
599.00	0.20742
600.00	0.21623
601.00	0.21969
602.00	0.21714
603.00	0.20915
604.00	0.19763
605.00	0.18162
606.00	0.16452
607.00	0.14740
608.00	0.13036
609.00	0.11427
610.00	0.098664
611.00	0.086416
612.00	0.074833
613.00	0.064807
614.00	0.056386
615.00	0.049354
616.00	0.043472
617.00	0.037966
618.00	0.033585
619.00	0.029609
620.00	0.026749
621.00	0.024580
622.00	0.021842
623.00	0.020239
624.00	0.018252
625.00	0.016661
626.00	0.015401
627.00	0.014036
628.00	0.012799
629.00	0.012204
630.00	0.011442
631.00	0.010396
632.00	0.0099595
633.00	0.0090216
634.00	0.0084968
635.00	0.0083035
636.00	0.0079504
637.00	0.0075145
638.00	0.0066733
639.00	0.0063161
640.00	0.0059926
641.00	0.0054193
642.00	0.0055948
643.00	0.0048597
644.00	0.0049335
645.00	0.0049087
646.00	0.0049590
647.00	0.0040976
648.00	0.0042158
649.00	0.0037840
650.00	0.0043992
651.00	0.0037000
652.00	0.0035412
653.00	0.0030578
654.00	0.0027496
655.00	0.0028990
656.00	0.0026967
657.00	0.0031546
658.00	0.0029883
659.00	0.0031958
660.00	0.0029857
661.00	0.0027840
662.00	0.0032400
663.00	0.0025454
664.00	0.0023509
665.00	0.0017210
666.00	0.0017297
667.00	0.0013123
668.00	0.0017599
669.00	0.0022590
670.00	0.0014353
671.00	0.0014887
672.00	0.0017964
673.00	0.0016107
674.00	0.0012478
675.00	0.0013605
676.00	0.0015327
677.00	0.0011438
678.00	0.0013831
679.00	0.00086961
680.00	0.00085801
681.00	0.00089143
682.00	0.0011004
683.00	0.0010553
684.00	0.00061328
685.00	0.00076241
686.00	0.00055039
687.00	0.00032892
688.00	0.0010005
689.00	0.00093714
690.00	0.00061311
691.00	0.00051206
692.00	0.00032174
693.00	0.00074508
694.00	0.00045979
695.00	0.00061583
696.00	0.00038536
697.00	0.00030368
698.00	0.00031304
699.00	0.00030122
700.00	0.00044946
