Wavelength (nm)	229 FbC-T10.abs
300.00	0.087457
301.00	0.086967
302.00	0.086477
303.00	0.085987
304.00	0.085497
305.00	0.085006
306.00	0.084512
307.00	0.084018
308.00	0.083458
309.00	0.082632
310.00	0.081807
311.00	0.080725
312.00	0.077925
313.00	0.074852
314.00	0.071113
315.00	0.067854
316.00	0.065414
317.00	0.063114
318.00	0.061843
319.00	0.060571
320.00	0.059612
321.00	0.060742
322.00	0.061872
323.00	0.063111
324.00	0.065018
325.00	0.066926
326.00	0.068861
327.00	0.071458
328.00	0.074054
329.00	0.076651
330.00	0.078765
331.00	0.080854
332.00	0.082942
333.00	0.085032
334.00	0.087127
335.00	0.089221
336.00	0.091316
337.00	0.094154
338.00	0.097343
339.00	0.10053
340.00	0.10457
341.00	0.10871
342.00	0.11286
343.00	0.11700
344.00	0.12115
345.00	0.12531
346.00	0.12891
347.00	0.13105
348.00	0.13320
349.00	0.13510
350.00	0.13691
351.00	0.13904
352.00	0.14300
353.00	0.14697
354.00	0.15300
355.00	0.15991
356.00	0.16890
357.00	0.17773
358.00	0.18636
359.00	0.19504
360.00	0.20357
361.00	0.20999
362.00	0.21629
363.00	0.22155
364.00	0.22328
365.00	0.22350
366.00	0.22208
367.00	0.21793
368.00	0.21361
369.00	0.20860
370.00	0.20483
371.00	0.20200
372.00	0.20110
373.00	0.20412
374.00	0.20784
375.00	0.21224
376.00	0.21906
377.00	0.22819
378.00	0.23875
379.00	0.24985
380.00	0.26164
381.00	0.27510
382.00	0.28909
383.00	0.30341
384.00	0.32157
385.00	0.34181
386.00	0.36453
387.00	0.38947
388.00	0.41540
389.00	0.44373
390.00	0.47264
391.00	0.50989
392.00	0.54822
393.00	0.58932
394.00	0.63071
395.00	0.67768
396.00	0.72444
397.00	0.77019
398.00	0.81574
399.00	0.86069
400.00	0.89763
401.00	0.92800
402.00	0.96317
403.00	0.98304
404.00	0.99489
405.00	1.0000
406.00	0.99429
407.00	0.98063
408.00	0.95643
409.00	0.93409
410.00	0.91198
411.00	0.89297
412.00	0.87493
413.00	0.85991
414.00	0.84668
415.00	0.82727
416.00	0.79848
417.00	0.74983
418.00	0.69253
419.00	0.62660
420.00	0.56066
421.00	0.47240
422.00	0.38025
423.00	0.31092
424.00	0.25312
425.00	0.20083
426.00	0.14845
427.00	0.11634
428.00	0.087470
429.00	0.067010
430.00	0.051230
431.00	0.038579
432.00	0.028658
433.00	0.022640
434.00	0.017645
435.00	0.014949
436.00	0.012253
437.00	0.010940
438.00	0.0099514
439.00	0.0089627
440.00	0.0080657
441.00	0.0071888
442.00	0.0063120
443.00	0.0061706
444.00	0.0060846
445.00	0.0059986
446.00	0.0059126
447.00	0.0058360
448.00	0.0062235
449.00	0.0066110
450.00	0.0069985
451.00	0.0073859
452.00	0.0077734
453.00	0.0084359
454.00	0.0093060
455.00	0.010176
456.00	0.011046
457.00	0.011916
458.00	0.012773
459.00	0.013588
460.00	0.014402
461.00	0.015216
462.00	0.015773
463.00	0.016159
464.00	0.016545
465.00	0.016930
466.00	0.017342
467.00	0.017849
468.00	0.018355
469.00	0.018862
470.00	0.019347
471.00	0.019430
472.00	0.019512
473.00	0.019595
474.00	0.019678
475.00	0.019760
476.00	0.019945
477.00	0.020138
478.00	0.020331
479.00	0.020523
480.00	0.020972
481.00	0.021630
482.00	0.022288
483.00	0.022981
484.00	0.023744
485.00	0.024506
486.00	0.027378
487.00	0.031842
488.00	0.036332
489.00	0.041046
490.00	0.045760
491.00	0.050174
492.00	0.054543
493.00	0.057235
494.00	0.059608
495.00	0.061846
496.00	0.063428
497.00	0.065010
498.00	0.067396
499.00	0.070587
500.00	0.073789
501.00	0.077024
502.00	0.080258
503.00	0.081600
504.00	0.082731
505.00	0.082430
506.00	0.081390
507.00	0.078908
508.00	0.075579
509.00	0.071363
510.00	0.066556
511.00	0.061541
512.00	0.055251
513.00	0.048961
514.00	0.044516
515.00	0.040562
516.00	0.036983
517.00	0.033880
518.00	0.030777
519.00	0.029907
520.00	0.029059
521.00	0.028212
522.00	0.030101
523.00	0.031989
524.00	0.035234
525.00	0.039633
526.00	0.043750
527.00	0.047694
528.00	0.051534
529.00	0.053401
530.00	0.054346
531.00	0.052368
532.00	0.050391
533.00	0.046812
534.00	0.043035
535.00	0.039463
536.00	0.036164
537.00	0.032865
538.00	0.029822
539.00	0.027637
540.00	0.025453
541.00	0.023268
542.00	0.021119
543.00	0.019144
544.00	0.017169
545.00	0.015193
546.00	0.013218
547.00	0.011899
548.00	0.010890
549.00	0.0098802
550.00	0.0088705
551.00	0.0078609
552.00	0.0071845
553.00	0.0066797
554.00	0.0061749
555.00	0.0056701
556.00	0.0051653
557.00	0.0048735
558.00	0.0047015
559.00	0.0045294
560.00	0.0043574
561.00	0.0041854
562.00	0.0041389
563.00	0.0041389
564.00	0.0041389
565.00	0.0041389
566.00	0.0042064
567.00	0.0043992
568.00	0.0045921
569.00	0.0047850
570.00	0.0049778
571.00	0.0057096
572.00	0.0064581
573.00	0.0072065
574.00	0.0079795
575.00	0.0099515
576.00	0.011923
577.00	0.014089
578.00	0.016490
579.00	0.018891
580.00	0.020951
581.00	0.022610
582.00	0.024268
583.00	0.025884
584.00	0.027258
585.00	0.028631
586.00	0.029688
587.00	0.030603
588.00	0.031518
589.00	0.029519
590.00	0.027266
591.00	0.024933
592.00	0.022561
593.00	0.020188
594.00	0.018417
595.00	0.016645
596.00	0.014874
597.00	0.014086
598.00	0.013406
599.00	0.012727
600.00	0.012091
601.00	0.011664
602.00	0.011237
603.00	0.010811
604.00	0.010498
605.00	0.010611
606.00	0.010724
607.00	0.010837
608.00	0.010600
609.00	0.0099823
610.00	0.0093650
611.00	0.0087779
612.00	0.0086650
613.00	0.0085520
614.00	0.0084391
615.00	0.0085920
616.00	0.0093097
617.00	0.010027
618.00	0.010745
619.00	0.013546
620.00	0.016901
621.00	0.020296
622.00	0.025687
623.00	0.031079
624.00	0.036664
625.00	0.042345
626.00	0.046984
627.00	0.051645
628.00	0.058448
629.00	0.068704
630.00	0.084201
631.00	0.10624
632.00	0.13864
633.00	0.17771
634.00	0.22253
635.00	0.26246
636.00	0.29227
637.00	0.30442
638.00	0.29732
639.00	0.26650
640.00	0.22879
641.00	0.18777
642.00	0.14624
643.00	0.11105
644.00	0.081547
645.00	0.063823
646.00	0.047866
647.00	0.037830
648.00	0.028504
649.00	0.021846
650.00	0.015795
651.00	0.012509
652.00	0.0092219
653.00	0.0070617
654.00	0.0056219
655.00	0.0041821
656.00	0.0028334
657.00	0.0024057
658.00	0.0019781
659.00	0.0015504
660.00	0.0011677
661.00	0.0010610
662.00	0.00095434
663.00	0.00084767
664.00	0.00076021
665.00	0.00076021
666.00	0.00076021
667.00	0.00076021
668.00	0.00076021
669.00	0.00076021
670.00	0.00076021
671.00	0.00076021
672.00	0.00076021
673.00	0.00076021
674.00	0.00076021
675.00	0.00076021
676.00	0.00076021
677.00	0.00076021
678.00	0.00076021
679.00	0.00076021
680.00	0.00076021
681.00	0.00076021
682.00	0.00076021
683.00	0.00076021
684.00	0.00076021
685.00	0.00076021
686.00	0.00076021
687.00	0.00076021
688.00	0.00076021
689.00	0.00076021
690.00	0.00076021
691.00	0.00076021
692.00	0.00076021
693.00	0.00076021
694.00	0.00076021
695.00	0.00076021
696.00	0.00076021
697.00	0.00076021
698.00	0.00076021
699.00	0.00076021
700.00	0.00076021
