Wavelength (nm)	L212 H2C-M10 (SE225).ems

550.00	0.00026323
550.20	0.00031267
550.40	0.00026325
550.60	0.00028502
550.80	0.00019798
551.00	0.00023954
551.20	0.00015840
551.40	0.00018610
551.60	0.00025144
551.80	0.00029897
552.00	0.00026730
552.20	0.00022571
552.40	0.00020194
552.60	0.00023762
552.80	0.00025945
553.00	0.00023566
553.20	0.00022575
553.40	0.00024164
553.60	0.00028931
553.80	0.00026352
554.00	0.00031519
554.20	0.00023772
554.40	0.00015423
554.60	0.00018604
554.80	0.00014824
555.00	0.00022981
555.20	0.00020792
555.40	0.00022983
555.60	0.00025972
555.80	0.00029161
556.00	0.00021989
556.20	0.00023784
556.40	0.00023187
556.60	0.00018799
556.80	0.00022191
557.00	0.00030376
557.20	0.00020395
557.40	0.00018398
557.60	0.00027786
557.80	0.00027787
558.00	0.00021994
558.20	0.00019596
558.40	0.00020396
558.60	0.00023394
558.80	0.00019196
559.00	0.00029593
559.20	0.00024795
559.40	0.00025396
559.60	0.00029796
559.80	0.00026998
560.00	0.00025398
560.20	0.00019396
560.40	0.00025199
560.60	0.00025200
560.80	0.00014791
561.00	0.00029205
561.20	0.00027205
561.40	0.00018594
561.60	0.00018193
561.80	0.00020196
562.00	0.00028010
562.20	0.00017992
562.40	0.00014382
562.60	0.00017990
562.80	0.00021200
563.00	0.00025620
563.20	0.00026428
563.40	0.00021605
563.60	0.00016978
563.80	0.00020399
564.00	0.00020802
564.20	0.00013746
564.40	0.00023022
564.60	0.00023427
564.80	0.00025853
565.00	0.00024038
565.20	0.00029500
565.40	0.00015342
565.60	0.00018782
565.80	0.00041267
566.00	0.00021820
566.20	0.00026081
566.40	0.00035014
566.60	0.00026697
566.80	0.00021825
567.00	0.00022842
567.20	0.00024675
567.40	0.00021217
567.60	0.00016944
567.80	0.00019589
568.00	0.00021421
568.20	0.00021828
568.40	0.00025494
568.60	0.00031197
568.80	0.00025903
569.00	0.00023867
569.20	0.00024886
569.40	0.00020608
569.60	0.00033040
569.80	0.00024684
570.00	0.00028558
570.20	0.00023462
570.40	0.00013062
570.60	0.00015917
570.80	0.00026932
571.00	0.00024280
571.20	0.00029791
571.40	0.00026119
571.60	0.00024895
571.80	0.00023262
572.00	0.00018771
572.20	0.00027756
572.40	0.00021426
572.60	0.00028175
572.80	0.00029202
573.00	0.00016107
573.20	0.00017333
573.40	0.00026555
573.60	0.00022252
573.80	0.00034567
574.00	0.00031085
574.20	0.00021639
574.40	0.00023697
574.60	0.00025139
574.80	0.00022260
575.00	0.00034415
575.20	0.00026385
