Wavelength (nm)	L212 H2C-P15 (SE251).ems
580.00	0.00021085
580.20	0.00018658
580.40	0.00020695
580.60	0.00010554
580.80	0.00014212
581.00	0.00013403
581.20	0.00013409
581.40	5.6917e-05
581.60	0.00028059
581.80	0.00011796
582.00	0.00029302
582.20	0.00019539
582.40	0.00017507
582.60	0.00017511
582.80	0.00021585
583.00	0.00019553
583.20	0.00013854
583.40	0.00015076
583.60	0.00025271
583.80	0.00024051
584.00	0.00015086
584.20	0.00030995
584.40	0.00022025
584.60	0.00026109
584.80	0.00019584
585.00	0.00026526
585.20	0.00039593
585.40	0.00024086
585.60	0.00031852
585.80	0.00030221
586.00	0.00033903
586.20	0.00050254
586.40	0.00019615
586.60	0.00029835
586.80	0.00035974
587.00	0.00026984
587.20	0.00041320
587.40	0.00027836
587.60	0.00034406
587.80	0.00038528
588.00	0.00037321
588.20	0.00027905
588.40	0.00020531
588.60	0.00035334
588.80	0.00032888
589.00	0.00063348
589.20	0.00025517
589.40	0.00042831
589.60	0.00040798
589.80	0.00032988
590.00	0.00035070
590.20	0.00028487
590.40	0.00042960
590.60	0.00030586
590.80	0.00047977
591.00	0.00030209
591.20	0.00036438
591.40	0.00036875
591.60	0.00029433
591.80	0.00045216
592.00	0.00032791
592.20	0.00021592
592.40	0.00043620
592.60	0.00046132
592.80	0.00024115
593.00	0.00038270
593.20	0.00037037
593.40	0.00037473
593.60	0.00041654
593.80	0.00047925
594.00	0.00052113
594.20	0.00047968
594.40	0.00046736
594.60	0.00030474
594.80	0.00046776
595.00	0.00038441
595.20	0.00045147
595.40	0.00040564
595.60	0.00059832
595.80	0.00035996
596.00	0.00041875
596.20	0.00051530
596.40	0.00059937
596.60	0.00061640
596.80	0.00041530
597.00	0.00065891
597.20	0.00068433
597.40	0.00056277
597.60	0.00051255
597.80	0.00062203
598.00	0.00060124
598.20	0.00050891
598.40	0.00065215
598.60	0.00053454
598.80	0.00068210
599.00	0.00061495
599.20	0.00061095
599.40	0.00050157
599.60	0.00049331
599.80	0.00069176
600.00	0.00076797
600.20	0.00054872
600.40	0.00067139
600.60	0.00086594
600.80	0.00080710
601.00	0.00060023
601.20	0.00086686
601.40	0.00070218
601.60	0.00093096
601.80	0.00063921
602.00	0.00094011
602.20	0.00067814
602.40	0.00085687
602.60	0.00088733
602.80	0.00093907
603.00	0.00095688
603.20	0.0012400
603.40	0.00092871
603.60	0.00096363
603.80	0.00089614
604.00	0.00099090
604.20	0.0012100
604.40	0.00097547
604.60	0.0010500
604.80	0.0014300
605.00	0.0012500
605.20	0.00094445
605.40	0.0012200
605.60	0.0012700
605.80	0.0010700
606.00	0.0012700
606.20	0.0012500
606.40	0.0011600
606.60	0.0014900
606.80	0.0013600
607.00	0.0017200
607.20	0.0017000
607.40	0.0015300
607.60	0.0018700
607.80	0.0017400
608.00	0.0018400
608.20	0.0016400
608.40	0.0019100
608.60	0.0018000
608.80	0.0018000
609.00	0.0019200
609.20	0.0016800
609.40	0.0022300
609.60	0.0022400
609.80	0.0020800
610.00	0.0020900
610.20	0.0025800
610.40	0.0022300
610.60	0.0021400
610.80	0.0022000
611.00	0.0021900
611.20	0.0027000
611.40	0.0023400
611.60	0.0026600
611.80	0.0025200
612.00	0.0021800
612.20	0.0024200
612.40	0.0028800
612.60	0.0027600
612.80	0.0027100
613.00	0.0027200
613.20	0.0028600
613.40	0.0027700
613.60	0.0029600
613.80	0.0032400
614.00	0.0030400
614.20	0.0030100
614.40	0.0031600
614.60	0.0034100
614.80	0.0031200
615.00	0.0032400
615.20	0.0037500
615.40	0.0035100
615.60	0.0035500
615.80	0.0038900
616.00	0.0039000
616.20	0.0039400
616.40	0.0039200
616.60	0.0042700
616.80	0.0044100
617.00	0.0044900
617.20	0.0052500
617.40	0.0051900
617.60	0.0052100
617.80	0.0054500
618.00	0.0064500
618.20	0.0063800
618.40	0.0063600
618.60	0.0067900
618.80	0.0071600
619.00	0.0071300
619.20	0.0083200
619.40	0.0087400
619.60	0.0091900
