Wavelength (nm)	311 ZnC-P20 (SE414)
550.00	0.0011017
551.00	0.0012400
552.00	0.0011821
553.00	0.00087366
554.00	0.0013240
555.00	0.0012354
556.00	0.00062738
557.00	0.00097291
558.00	0.0013199
559.00	0.0012766
560.00	0.0013332
561.00	0.0013065
562.00	0.00097760
563.00	0.00098848
564.00	0.0013346
565.00	0.0016204
566.00	0.0015157
567.00	0.0014811
568.00	0.0016357
569.00	0.0016883
570.00	0.0019875
571.00	0.0017873
572.00	0.0018257
573.00	0.0023542
574.00	0.0023948
575.00	0.0022415
576.00	0.0022494
577.00	0.0028844
578.00	0.0027801
579.00	0.0032491
580.00	0.0034250
581.00	0.0044312
582.00	0.0039021
583.00	0.0043935
584.00	0.0051735
585.00	0.0046235
586.00	0.0050225
587.00	0.0057550
588.00	0.0064850
589.00	0.0069815
590.00	0.0090349
591.00	0.010568
592.00	0.012930
593.00	0.015896
594.00	0.020245
595.00	0.026435
596.00	0.033664
597.00	0.042522
598.00	0.057896
599.00	0.080456
600.00	0.10951
601.00	0.15692
602.00	0.22450
603.00	0.31495
604.00	0.42581
605.00	0.55538
606.00	0.68882
607.00	0.81424
608.00	0.91395
609.00	0.97710
610.00	1.0000
611.00	0.98380
612.00	0.91492
613.00	0.83182
614.00	0.72971
615.00	0.62537
616.00	0.52481
617.00	0.44941
618.00	0.37163
619.00	0.30673
620.00	0.26348
621.00	0.22364
622.00	0.19135
623.00	0.16440
624.00	0.14632
625.00	0.12664
626.00	0.11273
627.00	0.095778
628.00	0.086879
629.00	0.080012
630.00	0.076589
631.00	0.072767
632.00	0.070833
633.00	0.073040
634.00	0.075869
635.00	0.075740
636.00	0.081645
637.00	0.081553
638.00	0.084441
639.00	0.085062
640.00	0.086223
641.00	0.086474
642.00	0.085583
643.00	0.086953
644.00	0.087759
645.00	0.094311
646.00	0.092810
647.00	0.098394
648.00	0.10083
649.00	0.10192
650.00	0.10509
651.00	0.10106
652.00	0.10242
653.00	0.10331
654.00	0.10015
655.00	0.10488
656.00	0.10165
657.00	0.10366
658.00	0.10650
659.00	0.10553
660.00	0.10731
661.00	0.10761
662.00	0.10845
663.00	0.10344
664.00	0.10518
665.00	0.10046
666.00	0.10086
667.00	0.095251
668.00	0.095086
669.00	0.094542
670.00	0.092973
671.00	0.092336
672.00	0.089344
673.00	0.085840
674.00	0.083632
675.00	0.079237
676.00	0.076449
677.00	0.069432
678.00	0.064932
679.00	0.056713
680.00	0.052917
681.00	0.046655
682.00	0.041878
683.00	0.038758
684.00	0.036084
685.00	0.032488
686.00	0.028037
687.00	0.028541
688.00	0.023645
689.00	0.022240
690.00	0.021838
691.00	0.022164
692.00	0.018139
693.00	0.017882
694.00	0.017120
695.00	0.017723
696.00	0.016247
697.00	0.015976
698.00	0.015447
699.00	0.016221
700.00	0.014498
701.00	0.014729
702.00	0.014655
703.00	0.014047
704.00	0.015745
705.00	0.015054
706.00	0.014565
707.00	0.013934
708.00	0.014986
709.00	0.014311
710.00	0.013332
711.00	0.014795
712.00	0.014798
713.00	0.012691
714.00	0.013206
715.00	0.013037
716.00	0.014372
717.00	0.011456
718.00	0.011822
719.00	0.013384
720.00	0.013040
721.00	0.013124
722.00	0.012541
723.00	0.011085
724.00	0.012741
725.00	0.011962
726.00	0.011698
727.00	0.012676
728.00	0.014550
729.00	0.012358
730.00	0.011440
731.00	0.012236
732.00	0.011923
733.00	0.012046
734.00	0.010941
735.00	0.011438
736.00	0.011547
737.00	0.010855
738.00	0.011138
739.00	0.010080
740.00	0.010391
741.00	0.011435
742.00	0.0099864
743.00	0.0098309
744.00	0.012520
745.00	0.0096608
746.00	0.010136
747.00	0.0087349
748.00	0.0080869
749.00	0.0088467
750.00	0.0097059
