Wavelength (nm)	89 Zn24 [ZC-T5M10] (SE085) EMS
550.00	0.00083183
551.00	0.00085917
552.00	0.00090316
553.00	0.00080188
554.00	0.00092102
555.00	0.00097460
556.00	0.00096647
557.00	0.00099828
558.00	0.0011290
559.00	0.0012481
560.00	0.0013837
561.00	0.00075101
562.00	0.00094516
563.00	0.0011037
564.00	0.0014773
565.00	0.0012844
566.00	0.0012832
567.00	0.0013200
568.00	0.0015700
569.00	0.0014036
570.00	0.0017187
571.00	0.0018163
572.00	0.0018762
573.00	0.0017271
574.00	0.0020964
575.00	0.0024578
576.00	0.0021894
577.00	0.0026119
578.00	0.0026324
579.00	0.0029596
580.00	0.0031444
581.00	0.0036107
582.00	0.0033546
583.00	0.0038343
584.00	0.0040708
585.00	0.0045655
586.00	0.0048923
587.00	0.0056500
588.00	0.0060713
589.00	0.0073131
590.00	0.0091588
591.00	0.011042
592.00	0.013816
593.00	0.016239
594.00	0.019086
595.00	0.025139
596.00	0.029198
597.00	0.036539
598.00	0.045418
599.00	0.058821
600.00	0.080082
601.00	0.11131
602.00	0.15640
603.00	0.22206
604.00	0.30825
605.00	0.41380
606.00	0.54053
607.00	0.67421
608.00	0.79807
609.00	0.89903
610.00	0.96690
611.00	1.0000
612.00	0.97873
613.00	0.93035
614.00	0.84052
615.00	0.74798
616.00	0.64649
617.00	0.55262
618.00	0.46709
619.00	0.39648
620.00	0.34016
621.00	0.29419
622.00	0.26103
623.00	0.23257
624.00	0.21116
625.00	0.19243
626.00	0.17384
627.00	0.15975
628.00	0.14831
629.00	0.13599
630.00	0.12480
631.00	0.11225
632.00	0.10197
633.00	0.096028
634.00	0.088500
635.00	0.084854
636.00	0.084346
637.00	0.080849
638.00	0.078513
639.00	0.079736
640.00	0.079759
641.00	0.080751
642.00	0.083227
643.00	0.084869
644.00	0.087016
645.00	0.091371
646.00	0.093282
647.00	0.096523
648.00	0.10223
649.00	0.10434
650.00	0.10712
651.00	0.10908
652.00	0.10847
653.00	0.10728
654.00	0.10818
655.00	0.10962
656.00	0.10995
657.00	0.10997
658.00	0.11405
659.00	0.11735
660.00	0.12110
661.00	0.12502
662.00	0.12793
663.00	0.13281
664.00	0.13494
665.00	0.13871
666.00	0.14061
667.00	0.14110
668.00	0.13966
669.00	0.13769
670.00	0.13790
671.00	0.13537
672.00	0.13000
673.00	0.12553
674.00	0.11858
675.00	0.11324
676.00	0.10680
677.00	0.097768
678.00	0.087958
679.00	0.082988
680.00	0.072541
681.00	0.066362
682.00	0.058671
683.00	0.054889
684.00	0.047983
685.00	0.045890
686.00	0.041354
687.00	0.037866
688.00	0.036022
689.00	0.032325
690.00	0.032093
691.00	0.028753
692.00	0.028090
693.00	0.026148
694.00	0.025964
695.00	0.024863
696.00	0.022921
697.00	0.023739
698.00	0.022439
699.00	0.022047
700.00	0.020345
701.00	0.020905
702.00	0.020613
703.00	0.020299
704.00	0.018601
705.00	0.019620
706.00	0.018157
707.00	0.018558
708.00	0.019583
709.00	0.018357
710.00	0.018826
711.00	0.018103
712.00	0.019019
713.00	0.019575
714.00	0.018339
715.00	0.020106
716.00	0.018389
717.00	0.018234
718.00	0.019209
719.00	0.018348
720.00	0.018187
721.00	0.019399
722.00	0.017772
723.00	0.019007
724.00	0.018300
725.00	0.019450
726.00	0.018099
727.00	0.017708
728.00	0.017827
729.00	0.017763
730.00	0.017455
731.00	0.016969
732.00	0.018790
733.00	0.016413
734.00	0.017549
735.00	0.017972
736.00	0.016907
737.00	0.017184
738.00	0.017763
739.00	0.017087
740.00	0.018533
741.00	0.015590
742.00	0.016242
743.00	0.017466
744.00	0.016146
745.00	0.015842
746.00	0.017101
747.00	0.015934
748.00	0.016509
749.00	0.016968
750.00	0.015240
751.00	0.015964
752.00	0.014408
753.00	0.015832
754.00	0.013917
755.00	0.015143
756.00	0.015351
757.00	0.014605
758.00	0.015774
759.00	0.014325
760.00	0.014569
761.00	0.014937
762.00	0.015463
763.00	0.014508
764.00	0.015615
765.00	0.015873
766.00	0.015101
767.00	0.015070
768.00	0.015198
769.00	0.014630
770.00	0.015314
771.00	0.015645
772.00	0.015873
773.00	0.016043
774.00	0.015178
775.00	0.016391
776.00	0.016904
777.00	0.016966
778.00	0.016070
779.00	0.015598
780.00	0.015827
781.00	0.017319
782.00	0.015829
783.00	0.018450
784.00	0.015714
785.00	0.015838
786.00	0.016771
787.00	0.018138
788.00	0.017296
789.00	0.018581
790.00	0.016450
791.00	0.018484
792.00	0.017548
793.00	0.017563
794.00	0.019344
795.00	0.018043
796.00	0.020596
797.00	0.018333
798.00	0.018939
799.00	0.017957
800.00	0.017889
