Wavelength (nm)	137 5.abs
350.00	0.13327
351.00	0.13674
352.00	0.14020
353.00	0.14367
354.00	0.14805
355.00	0.15437
356.00	0.16088
357.00	0.16780
358.00	0.17472
359.00	0.18270
360.00	0.19043
361.00	0.19676
362.00	0.20266
363.00	0.20725
364.00	0.21113
365.00	0.21449
366.00	0.21420
367.00	0.21211
368.00	0.21032
369.00	0.20879
370.00	0.20722
371.00	0.20454
372.00	0.20424
373.00	0.20551
374.00	0.20717
375.00	0.21225
376.00	0.21734
377.00	0.22662
378.00	0.23670
379.00	0.24577
380.00	0.25478
381.00	0.26435
382.00	0.27510
383.00	0.28585
384.00	0.29758
385.00	0.31040
386.00	0.32398
387.00	0.33909
388.00	0.35745
389.00	0.38009
390.00	0.40586
391.00	0.43634
392.00	0.47187
393.00	0.51050
394.00	0.55454
395.00	0.60115
396.00	0.65534
397.00	0.70123
398.00	0.74303
399.00	0.77837
400.00	0.80215
401.00	0.81983
402.00	0.83371
403.00	0.84530
404.00	0.85487
405.00	0.86275
406.00	0.87220
407.00	0.88456
408.00	0.89765
409.00	0.91093
410.00	0.92496
411.00	0.94076
412.00	0.95674
413.00	0.97321
414.00	0.98705
415.00	0.99544
416.00	1.0000
417.00	0.99397
418.00	0.98056
419.00	0.95525
420.00	0.91603
421.00	0.86665
422.00	0.79724
423.00	0.71704
424.00	0.64382
425.00	0.57305
426.00	0.49953
427.00	0.42494
428.00	0.36971
429.00	0.30946
430.00	0.24770
431.00	0.20396
432.00	0.16414
433.00	0.13085
434.00	0.10754
435.00	0.089122
436.00	0.073006
437.00	0.061896
438.00	0.053365
439.00	0.045958
440.00	0.039184
441.00	0.035884
442.00	0.033196
443.00	0.030509
444.00	0.028834
445.00	0.027158
446.00	0.025483
447.00	0.024154
448.00	0.024304
449.00	0.024453
450.00	0.024602
451.00	0.024752
452.00	0.024533
453.00	0.024277
454.00	0.024022
455.00	0.023985
456.00	0.025097
457.00	0.026209
458.00	0.026917
459.00	0.026634
460.00	0.026291
461.00	0.025862
462.00	0.025433
463.00	0.025673
464.00	0.025963
465.00	0.026252
466.00	0.026545
467.00	0.026843
468.00	0.027141
469.00	0.027439
470.00	0.027737
471.00	0.028035
472.00	0.028062
473.00	0.028062
474.00	0.028062
475.00	0.028062
476.00	0.028062
477.00	0.028062
478.00	0.028062
479.00	0.028062
480.00	0.028077
481.00	0.028239
482.00	0.028401
483.00	0.028563
484.00	0.029717
485.00	0.031103
486.00	0.032489
487.00	0.034985
488.00	0.037871
489.00	0.040822
490.00	0.044114
491.00	0.047405
492.00	0.050806
493.00	0.055310
494.00	0.059814
495.00	0.063864
496.00	0.067625
497.00	0.070704
498.00	0.073384
499.00	0.076043
500.00	0.078295
501.00	0.080548
502.00	0.082800
503.00	0.083821
504.00	0.084817
505.00	0.086425
506.00	0.089397
507.00	0.092152
508.00	0.094709
509.00	0.096972
510.00	0.098860
511.00	0.098373
512.00	0.097095
513.00	0.094153
514.00	0.090393
515.00	0.085835
516.00	0.080918
517.00	0.075611
518.00	0.069432
519.00	0.063332
520.00	0.057391
521.00	0.052320
522.00	0.048311
523.00	0.044146
524.00	0.039799
525.00	0.036244
526.00	0.033981
527.00	0.032849
528.00	0.032849
529.00	0.032849
530.00	0.033457
531.00	0.034198
532.00	0.034940
533.00	0.036030
534.00	0.037138
535.00	0.038083
536.00	0.036870
537.00	0.035658
538.00	0.034445
539.00	0.033306
540.00	0.032168
541.00	0.031029
542.00	0.030009
543.00	0.029033
544.00	0.028057
545.00	0.026754
546.00	0.025069
547.00	0.023383
548.00	0.021697
549.00	0.020579
550.00	0.019467
551.00	0.018361
552.00	0.017290
553.00	0.016219
554.00	0.015148
555.00	0.014073
556.00	0.012998
557.00	0.012020
558.00	0.011517
559.00	0.011014
560.00	0.010511
561.00	0.010338
562.00	0.010165
563.00	0.0099926
564.00	0.010116
565.00	0.010266
566.00	0.010415
567.00	0.010459
568.00	0.010314
569.00	0.010169
570.00	0.010024
571.00	0.010184
572.00	0.010483
573.00	0.010781
574.00	0.011086
575.00	0.011444
576.00	0.011802
577.00	0.012307
578.00	0.013643
579.00	0.015027
580.00	0.016660
581.00	0.018293
582.00	0.020573
583.00	0.022942
584.00	0.025434
585.00	0.028106
586.00	0.030545
587.00	0.032156
588.00	0.033837
589.00	0.035736
590.00	0.037288
591.00	0.038567
592.00	0.038448
593.00	0.036815
594.00	0.034846
595.00	0.031538
596.00	0.028299
597.00	0.025615
598.00	0.022932
599.00	0.020942
600.00	0.019004
601.00	0.017409
602.00	0.016219
603.00	0.015028
604.00	0.014242
605.00	0.013571
606.00	0.012900
607.00	0.012638
608.00	0.012638
609.00	0.012638
610.00	0.012810
611.00	0.013017
612.00	0.013080
