Wavelength (nm)	L120 Zn-8c
300.00	0.068846
301.00	0.068386
302.00	0.068028
303.00	0.067355
304.00	0.066946
305.00	0.066507
306.00	0.066129
307.00	0.065585
308.00	0.065268
309.00	0.064554
310.00	0.063784
311.00	0.063227
312.00	0.062505
313.00	0.062022
314.00	0.061409
315.00	0.060932
316.00	0.060590
317.00	0.060059
318.00	0.059977
319.00	0.059454
320.00	0.059360
321.00	0.059588
322.00	0.059327
323.00	0.059416
324.00	0.059635
325.00	0.059498
326.00	0.059848
327.00	0.060080
328.00	0.060354
329.00	0.060755
330.00	0.060934
331.00	0.061080
332.00	0.061400
333.00	0.061309
334.00	0.061520
335.00	0.061775
336.00	0.061827
337.00	0.061836
338.00	0.061994
339.00	0.062068
340.00	0.062066
341.00	0.062298
342.00	0.062430
343.00	0.062793
344.00	0.063431
345.00	0.063596
346.00	0.064151
347.00	0.064734
348.00	0.064651
349.00	0.065338
350.00	0.066079
351.00	0.066287
352.00	0.066407
353.00	0.066404
354.00	0.066004
355.00	0.065765
356.00	0.065941
357.00	0.065946
358.00	0.066462
359.00	0.066793
360.00	0.066365
361.00	0.065967
362.00	0.065262
363.00	0.064840
364.00	0.064357
365.00	0.064466
366.00	0.064900
367.00	0.064920
368.00	0.064875
369.00	0.065299
370.00	0.065826
371.00	0.066339
372.00	0.067030
373.00	0.068243
374.00	0.069795
375.00	0.071412
376.00	0.074059
377.00	0.077257
378.00	0.081275
379.00	0.086952
380.00	0.093825
381.00	0.10243
382.00	0.11239
383.00	0.12353
384.00	0.13636
385.00	0.15049
386.00	0.16445
387.00	0.17797
388.00	0.19060
389.00	0.20257
390.00	0.21299
391.00	0.21984
392.00	0.22472
393.00	0.22789
394.00	0.23042
395.00	0.23145
396.00	0.23369
397.00	0.23774
398.00	0.24574
399.00	0.25953
400.00	0.28038
401.00	0.30908
402.00	0.34747
403.00	0.39639
404.00	0.45663
405.00	0.52935
406.00	0.60613
407.00	0.69116
408.00	0.78173
409.00	0.86534
410.00	0.92958
411.00	0.97898
412.00	1.0000
413.00	0.99848
414.00	0.96709
415.00	0.90465
416.00	0.82995
417.00	0.74231
418.00	0.65167
419.00	0.56151
420.00	0.47416
421.00	0.39517
422.00	0.32896
423.00	0.27182
424.00	0.22248
425.00	0.17944
426.00	0.14540
427.00	0.11461
428.00	0.093289
429.00	0.074630
430.00	0.059420
431.00	0.050845
432.00	0.044922
433.00	0.036920
434.00	0.030613
435.00	0.029105
436.00	0.025400
437.00	0.023202
438.00	0.021968
439.00	0.020627
440.00	0.020394
441.00	0.018668
442.00	0.018484
443.00	0.018878
444.00	0.018595
445.00	0.018687
446.00	0.018405
447.00	0.018445
448.00	0.019145
449.00	0.018597
450.00	0.018443
451.00	0.018825
452.00	0.018815
453.00	0.018931
454.00	0.018618
455.00	0.017964
456.00	0.017955
457.00	0.017808
458.00	0.017227
459.00	0.017491
460.00	0.017827
461.00	0.017685
462.00	0.018432
463.00	0.016766
464.00	0.016072
465.00	0.016675
466.00	0.016867
467.00	0.018294
468.00	0.017401
469.00	0.017569
470.00	0.018184
471.00	0.017806
472.00	0.017097
473.00	0.016501
474.00	0.016396
475.00	0.015651
476.00	0.016042
477.00	0.016468
478.00	0.015478
479.00	0.015643
480.00	0.014567
481.00	0.013765
482.00	0.014473
483.00	0.014708
484.00	0.013714
485.00	0.014187
486.00	0.013600
487.00	0.013940
488.00	0.013344
489.00	0.014002
490.00	0.013436
491.00	0.014046
492.00	0.014118
493.00	0.014024
494.00	0.015011
495.00	0.015881
496.00	0.015690
497.00	0.016589
498.00	0.018696
499.00	0.018727
500.00	0.020707
501.00	0.021290
502.00	0.022463
503.00	0.024398
504.00	0.025765
505.00	0.026122
506.00	0.026715
507.00	0.026957
508.00	0.026611
509.00	0.026226
510.00	0.026599
511.00	0.025523
512.00	0.025757
513.00	0.025595
514.00	0.024529
515.00	0.024111
516.00	0.023349
517.00	0.022991
518.00	0.023223
519.00	0.021481
520.00	0.021492
521.00	0.020880
522.00	0.020460
523.00	0.020267
524.00	0.019572
525.00	0.019568
526.00	0.018882
527.00	0.018337
528.00	0.018573
529.00	0.017258
530.00	0.017485
531.00	0.017114
532.00	0.016997
533.00	0.016533
534.00	0.016109
535.00	0.015870
536.00	0.016172
537.00	0.015980
538.00	0.015084
539.00	0.015009
540.00	0.014901
541.00	0.014273
542.00	0.013857
543.00	0.013951
544.00	0.013278
545.00	0.013173
546.00	0.013553
547.00	0.013110
548.00	0.012651
549.00	0.013615
550.00	0.014005
551.00	0.014306
552.00	0.013954
553.00	0.015664
554.00	0.017325
555.00	0.018385
556.00	0.019505
557.00	0.021993
558.00	0.023784
559.00	0.026415
560.00	0.027776
561.00	0.029267
562.00	0.031032
563.00	0.031209
564.00	0.030832
565.00	0.030368
566.00	0.029851
567.00	0.028487
568.00	0.027955
569.00	0.027494
570.00	0.027062
571.00	0.027918
572.00	0.028695
573.00	0.028968
574.00	0.027393
575.00	0.027891
576.00	0.027656
577.00	0.025559
578.00	0.024001
579.00	0.025830
580.00	0.023086
581.00	0.021422
582.00	0.020248
583.00	0.023623
584.00	0.021172
585.00	0.017360
586.00	0.019484
587.00	0.019166
588.00	0.018833
589.00	0.021136
590.00	0.021925
591.00	0.023167
592.00	0.024810
593.00	0.025642
594.00	0.029189
595.00	0.031247
596.00	0.033959
597.00	0.037086
598.00	0.040693
599.00	0.045689
600.00	0.055539
601.00	0.067576
602.00	0.084104
603.00	0.10497
604.00	0.12723
605.00	0.15372
606.00	0.17683
607.00	0.19616
608.00	0.20867
609.00	0.21203
610.00	0.20603
611.00	0.19338
612.00	0.17434
613.00	0.15132
614.00	0.12748
615.00	0.10535
616.00	0.085759
617.00	0.067861
618.00	0.053045
619.00	0.042012
620.00	0.032244
621.00	0.026104
622.00	0.020424
623.00	0.016015
624.00	0.013475
625.00	0.011649
626.00	0.0098648
627.00	0.0083398
628.00	0.0068144
629.00	0.0057282
630.00	0.0046689
631.00	0.0039626
632.00	0.0035648
633.00	0.0032238
634.00	0.0028112
635.00	0.0024075
636.00	0.0022841
637.00	0.0018339
638.00	0.0018243
639.00	0.0016243
640.00	0.0015159
641.00	0.0014774
642.00	0.0017301
643.00	0.00064356
644.00	0.00074314
645.00	0.0018452
646.00	0.0025372
647.00	0.0023159
648.00	0.0018916
649.00	0.0013937
650.00	0.00081134
651.00	0.0010314
652.00	0.0013360
653.00	0.00092556
654.00	0.00090840
655.00	0.00076283
656.00	0.0019673
657.00	0.00073314
658.00	0.00076339
659.00	0.00082054
660.00	0.00055319
661.00	0.00082514
662.00	0.00048207
663.00	0.00030885
664.00	0.00043395
665.00	0.00073059
666.00	0.0010678
667.00	0.0010749
668.00	7.7485e-05
669.00	0.00048290
670.00	0.00078707
671.00	0.00066197
672.00	0.00088874
673.00	0.00071845
674.00	0.00094899
675.00	0.00063812
676.00	0.00053102
677.00	0.00055779
678.00	0.00078331
679.00	0.00080799
680.00	0.00070674
