Wavelength (nm)	L179 Zn1-Ph15 (SE237).ems

550.00	0.00083849
551.00	0.00083869
552.00	0.00095000
553.00	0.0010180
554.00	0.0012518
555.00	0.0011845
556.00	0.0013020
557.00	0.0011748
558.00	0.0011519
559.00	0.0012306
560.00	0.0011866
561.00	0.0011759
562.00	0.0012065
563.00	0.0012556
564.00	0.0013839
565.00	0.0015641
566.00	0.0013861
567.00	0.0016237
568.00	0.0015605
569.00	0.0017415
570.00	0.0017988
571.00	0.0016038
572.00	0.0016774
573.00	0.0019689
574.00	0.0021021
575.00	0.0019783
576.00	0.0021036
577.00	0.0022743
578.00	0.0025416
579.00	0.0023340
580.00	0.0023992
581.00	0.0027299
582.00	0.0028983
583.00	0.0030713
584.00	0.0031754
585.00	0.0037668
586.00	0.0043058
587.00	0.0047721
588.00	0.0054200
589.00	0.0063640
590.00	0.0070930
591.00	0.0085642
592.00	0.010359
593.00	0.011896
594.00	0.013438
595.00	0.015595
596.00	0.016842
597.00	0.020993
598.00	0.023998
599.00	0.027761
600.00	0.032956
601.00	0.038771
602.00	0.046531
603.00	0.055915
604.00	0.071862
605.00	0.094634
606.00	0.13183
607.00	0.18626
608.00	0.26452
609.00	0.37688
610.00	0.51345
611.00	0.66970
612.00	0.82044
613.00	0.93483
614.00	0.99866
615.00	1.0000
616.00	0.95688
617.00	0.87028
618.00	0.76559
619.00	0.66807
620.00	0.57448
621.00	0.48872
622.00	0.41605
623.00	0.35889
624.00	0.30900
625.00	0.27100
626.00	0.24014
627.00	0.21842
628.00	0.19503
629.00	0.17952
630.00	0.16460
631.00	0.15174
632.00	0.13910
633.00	0.13085
634.00	0.12247
635.00	0.11489
636.00	0.10701
637.00	0.10050
638.00	0.096446
639.00	0.094394
640.00	0.091197
641.00	0.091911
642.00	0.093740
643.00	0.090886
644.00	0.093517
645.00	0.094918
646.00	0.095268
647.00	0.094983
648.00	0.096665
649.00	0.098876
650.00	0.10061
651.00	0.10287
652.00	0.10389
653.00	0.10484
654.00	0.10708
655.00	0.10763
656.00	0.10719
657.00	0.10419
658.00	0.10527
659.00	0.10155
660.00	0.10111
661.00	0.10142
662.00	0.10405
663.00	0.10733
664.00	0.11161
665.00	0.11596
666.00	0.12232
667.00	0.12502
668.00	0.12787
669.00	0.13024
670.00	0.13277
671.00	0.13468
672.00	0.13468
673.00	0.13901
674.00	0.13650
675.00	0.13915
676.00	0.13711
677.00	0.13444
678.00	0.12926
679.00	0.12198
680.00	0.11637
681.00	0.10810
682.00	0.098326
683.00	0.089539
684.00	0.080483
685.00	0.074583
686.00	0.068546
687.00	0.060662
688.00	0.054741
689.00	0.052711
690.00	0.047976
691.00	0.043405
692.00	0.042428
693.00	0.039491
694.00	0.036961
695.00	0.037359
696.00	0.034553
697.00	0.033200
698.00	0.031767
699.00	0.029635
700.00	0.029625
701.00	0.028635
702.00	0.027876
703.00	0.026360
704.00	0.025251
705.00	0.025466
706.00	0.024232
707.00	0.025596
708.00	0.023698
709.00	0.023983
710.00	0.023153
711.00	0.023115
712.00	0.022457
713.00	0.023747
714.00	0.023563
715.00	0.023504
716.00	0.023275
717.00	0.022274
718.00	0.022214
719.00	0.020982
720.00	0.022344
721.00	0.021503
722.00	0.022455
723.00	0.022351
724.00	0.022564
725.00	0.023427
726.00	0.022212
727.00	0.021881
728.00	0.020826
729.00	0.023045
730.00	0.021207
731.00	0.022569
732.00	0.022234
733.00	0.021178
734.00	0.020262
735.00	0.021434
736.00	0.021406
737.00	0.020896
738.00	0.021286
739.00	0.020146
740.00	0.021225
741.00	0.020308
742.00	0.021109
743.00	0.019666
744.00	0.020789
745.00	0.020317
746.00	0.020595
747.00	0.019987
748.00	0.018872
749.00	0.018143
750.00	0.018859
