Wavelength (nm)	311 FbC-T5M10Es15P20 (SE412)
300.00	0.098731
301.00	0.098165
302.00	0.097893
303.00	0.097393
304.00	0.097079
305.00	0.096795
306.00	0.096687
307.00	0.096697
308.00	0.097101
309.00	0.097257
310.00	0.097231
311.00	0.096478
312.00	0.094893
313.00	0.092693
314.00	0.089880
315.00	0.086288
316.00	0.082575
317.00	0.078643
318.00	0.075313
319.00	0.073220
320.00	0.071745
321.00	0.070943
322.00	0.070406
323.00	0.071044
324.00	0.071352
325.00	0.072051
326.00	0.073150
327.00	0.074516
328.00	0.075814
329.00	0.077152
330.00	0.078210
331.00	0.079158
332.00	0.080201
333.00	0.080942
334.00	0.082064
335.00	0.082904
336.00	0.083666
337.00	0.084844
338.00	0.085852
339.00	0.087230
340.00	0.089244
341.00	0.091456
342.00	0.093739
343.00	0.096133
344.00	0.099087
345.00	0.10202
346.00	0.10463
347.00	0.10735
348.00	0.11008
349.00	0.11262
350.00	0.11514
351.00	0.11659
352.00	0.11750
353.00	0.11860
354.00	0.11981
355.00	0.12162
356.00	0.12438
357.00	0.12752
358.00	0.13094
359.00	0.13512
360.00	0.14040
361.00	0.14753
362.00	0.15562
363.00	0.16382
364.00	0.17173
365.00	0.17919
366.00	0.18555
367.00	0.19244
368.00	0.19755
369.00	0.20222
370.00	0.20525
371.00	0.20596
372.00	0.20454
373.00	0.20133
374.00	0.19755
375.00	0.19262
376.00	0.18894
377.00	0.18647
378.00	0.18599
379.00	0.18692
380.00	0.18935
381.00	0.19310
382.00	0.19999
383.00	0.20794
384.00	0.21708
385.00	0.22643
386.00	0.23541
387.00	0.24393
388.00	0.25246
389.00	0.26135
390.00	0.27148
391.00	0.28362
392.00	0.29788
393.00	0.31309
394.00	0.33193
395.00	0.35441
396.00	0.38216
397.00	0.41626
398.00	0.45525
399.00	0.49779
400.00	0.54482
401.00	0.59792
402.00	0.65241
403.00	0.70577
404.00	0.75672
405.00	0.80109
406.00	0.83454
407.00	0.86227
408.00	0.88289
409.00	0.89467
410.00	0.90089
411.00	0.90622
412.00	0.90684
413.00	0.90896
414.00	0.91300
415.00	0.91760
416.00	0.92662
417.00	0.94453
418.00	0.96519
419.00	0.98504
420.00	1.0000
421.00	0.99890
422.00	0.98605
423.00	0.96628
424.00	0.94707
425.00	0.93010
426.00	0.91095
427.00	0.88365
428.00	0.84396
429.00	0.77895
430.00	0.70380
431.00	0.62312
432.00	0.53603
433.00	0.44348
434.00	0.35882
435.00	0.29336
436.00	0.23153
437.00	0.18174
438.00	0.14201
439.00	0.11147
440.00	0.088004
441.00	0.068514
442.00	0.055742
443.00	0.045358
444.00	0.037957
445.00	0.032328
446.00	0.028323
447.00	0.025597
448.00	0.023686
449.00	0.021858
450.00	0.020978
451.00	0.019807
452.00	0.019357
453.00	0.019319
454.00	0.019898
455.00	0.019592
456.00	0.019405
457.00	0.019493
458.00	0.019472
459.00	0.020609
460.00	0.020805
461.00	0.021170
462.00	0.021401
463.00	0.021264
464.00	0.022340
465.00	0.022284
466.00	0.022536
467.00	0.023097
468.00	0.024014
469.00	0.025100
470.00	0.025213
471.00	0.025258
472.00	0.025188
473.00	0.025356
474.00	0.025507
475.00	0.026295
476.00	0.026757
477.00	0.026745
478.00	0.026401
479.00	0.026467
480.00	0.027303
481.00	0.027368
482.00	0.027879
483.00	0.028475
484.00	0.027875
485.00	0.027280
486.00	0.028459
487.00	0.027717
488.00	0.028001
489.00	0.028891
490.00	0.029024
491.00	0.029113
492.00	0.029390
493.00	0.029879
494.00	0.030603
495.00	0.032311
496.00	0.034143
497.00	0.037024
498.00	0.039706
499.00	0.042872
500.00	0.046553
501.00	0.050256
502.00	0.054800
503.00	0.058713
504.00	0.061450
505.00	0.062980
506.00	0.065034
507.00	0.067234
508.00	0.069330
509.00	0.072169
510.00	0.074123
511.00	0.076541
512.00	0.079046
513.00	0.081623
514.00	0.084520
515.00	0.086884
516.00	0.088941
517.00	0.090653
518.00	0.090686
519.00	0.090966
520.00	0.089106
521.00	0.087530
522.00	0.085534
523.00	0.081004
524.00	0.075860
525.00	0.071182
526.00	0.065274
527.00	0.059400
528.00	0.053919
529.00	0.050386
530.00	0.047682
531.00	0.045367
532.00	0.042983
533.00	0.040391
534.00	0.040246
535.00	0.040986
536.00	0.043443
537.00	0.046914
538.00	0.050843
539.00	0.055765
540.00	0.060668
541.00	0.065707
542.00	0.068641
543.00	0.071394
544.00	0.072790
545.00	0.071727
546.00	0.069165
547.00	0.066417
548.00	0.063902
549.00	0.060868
550.00	0.057884
551.00	0.053988
552.00	0.049494
553.00	0.046681
554.00	0.042754
555.00	0.038126
556.00	0.035469
557.00	0.032210
558.00	0.028526
559.00	0.025537
560.00	0.022736
561.00	0.020066
562.00	0.017248
563.00	0.015690
564.00	0.014795
565.00	0.013413
566.00	0.011833
567.00	0.010880
568.00	0.0098582
569.00	0.0093349
570.00	0.0088513
571.00	0.0083114
572.00	0.0076961
573.00	0.0069701
574.00	0.0065774
575.00	0.0065057
576.00	0.0066314
577.00	0.0065415
578.00	0.0066956
