Wavelength (nm)	H2C-T5M10DM15P20
300.00	0.099432
301.00	0.099162
302.00	0.098881
303.00	0.098802
304.00	0.098488
305.00	0.098549
306.00	0.098848
307.00	0.099134
308.00	0.099701
309.00	0.10043
310.00	0.10082
311.00	0.10063
312.00	0.099836
313.00	0.098000
314.00	0.095026
315.00	0.091469
316.00	0.087191
317.00	0.082840
318.00	0.078675
319.00	0.075268
320.00	0.072419
321.00	0.070604
322.00	0.069451
323.00	0.069106
324.00	0.069230
325.00	0.069606
326.00	0.070401
327.00	0.071467
328.00	0.072518
329.00	0.073558
330.00	0.074545
331.00	0.075475
332.00	0.076257
333.00	0.077216
334.00	0.078024
335.00	0.078836
336.00	0.079898
337.00	0.080991
338.00	0.082378
339.00	0.083994
340.00	0.085747
341.00	0.087826
342.00	0.090034
343.00	0.092583
344.00	0.095493
345.00	0.098269
346.00	0.10128
347.00	0.10400
348.00	0.10655
349.00	0.10890
350.00	0.11084
351.00	0.11257
352.00	0.11390
353.00	0.11530
354.00	0.11698
355.00	0.11889
356.00	0.12114
357.00	0.12414
358.00	0.12800
359.00	0.13274
360.00	0.13852
361.00	0.14537
362.00	0.15286
363.00	0.16076
364.00	0.16846
365.00	0.17617
366.00	0.18326
367.00	0.18955
368.00	0.19471
369.00	0.19839
370.00	0.20039
371.00	0.20066
372.00	0.19884
373.00	0.19547
374.00	0.19151
375.00	0.18684
376.00	0.18320
377.00	0.18054
378.00	0.17941
379.00	0.18052
380.00	0.18362
381.00	0.18871
382.00	0.19540
383.00	0.20295
384.00	0.21110
385.00	0.22007
386.00	0.22889
387.00	0.23741
388.00	0.24594
389.00	0.25484
390.00	0.26475
391.00	0.27655
392.00	0.29080
393.00	0.30706
394.00	0.32661
395.00	0.35138
396.00	0.38116
397.00	0.41633
398.00	0.45718
399.00	0.50137
400.00	0.55090
401.00	0.60443
402.00	0.65741
403.00	0.71008
404.00	0.75576
405.00	0.79448
406.00	0.82393
407.00	0.84520
408.00	0.85898
409.00	0.86651
410.00	0.86915
411.00	0.86811
412.00	0.86638
413.00	0.86816
414.00	0.87315
415.00	0.88584
416.00	0.90588
417.00	0.93304
418.00	0.96133
419.00	0.98638
420.00	1.00000
421.00	0.99789
422.00	0.98214
423.00	0.95727
424.00	0.93188
425.00	0.90861
426.00	0.88725
427.00	0.85946
428.00	0.81918
429.00	0.75911
430.00	0.68543
431.00	0.60458
432.00	0.51742
433.00	0.42681
434.00	0.34729
435.00	0.28105
436.00	0.22266
437.00	0.17480
438.00	0.13669
439.00	0.10713
440.00	0.084423
441.00	0.066480
442.00	0.054269
443.00	0.044591
444.00	0.037566
445.00	0.032530
446.00	0.028759
447.00	0.025983
448.00	0.024146
449.00	0.022765
450.00	0.021643
451.00	0.021055
452.00	0.020734
453.00	0.020459
454.00	0.020415
455.00	0.020578
456.00	0.020747
457.00	0.020811
458.00	0.021253
459.00	0.021475
460.00	0.021796
461.00	0.022263
462.00	0.022742
463.00	0.023083
464.00	0.023561
465.00	0.023999
466.00	0.024347
467.00	0.024626
468.00	0.025212
469.00	0.025715
470.00	0.025951
471.00	0.026519
472.00	0.026787
473.00	0.027034
474.00	0.027484
475.00	0.027661
476.00	0.027962
477.00	0.028077
478.00	0.028248
479.00	0.028408
480.00	0.028551
481.00	0.028620
482.00	0.028714
483.00	0.028771
484.00	0.028960
485.00	0.029252
486.00	0.029273
487.00	0.029056
488.00	0.029114
489.00	0.029426
490.00	0.029374
491.00	0.029726
492.00	0.030153
493.00	0.030935
494.00	0.031687
495.00	0.032930
496.00	0.034619
497.00	0.036605
498.00	0.039444
499.00	0.042609
500.00	0.046320
501.00	0.049928
502.00	0.053467
503.00	0.056740
504.00	0.059692
505.00	0.062673
506.00	0.065033
507.00	0.067103
508.00	0.069112
509.00	0.071133
510.00	0.073408
