Wavelength (nm)	226 FbC-EI'.ems
600.00	0.0014240
601.00	0.0014704
602.00	0.0015050
603.00	0.0014539
604.00	0.0015903
605.00	0.0017501
606.00	0.0018088
607.00	0.0018187
608.00	0.0019889
609.00	0.0020417
610.00	0.0023199
611.00	0.0024073
612.00	0.0024737
613.00	0.0024696
614.00	0.0026289
615.00	0.0026263
616.00	0.0025632
617.00	0.0024536
618.00	0.0026379
619.00	0.0027670
620.00	0.0028429
621.00	0.0028947
622.00	0.0029085
623.00	0.0028844
624.00	0.0030148
625.00	0.0030834
626.00	0.0033391
627.00	0.0034394
628.00	0.0037112
629.00	0.0038433
630.00	0.0042113
631.00	0.0045059
632.00	0.0050370
633.00	0.0057809
634.00	0.0067847
635.00	0.0078335
636.00	0.0091968
637.00	0.011807
638.00	0.014546
639.00	0.017930
640.00	0.022069
641.00	0.027456
642.00	0.033980
643.00	0.041635
644.00	0.051484
645.00	0.060676
646.00	0.074213
647.00	0.088273
648.00	0.10597
649.00	0.12908
650.00	0.15565
651.00	0.19244
652.00	0.23805
653.00	0.28924
654.00	0.36367
655.00	0.44223
656.00	0.53495
657.00	0.62397
658.00	0.73443
659.00	0.81929
660.00	0.91044
661.00	0.97276
662.00	1.0000
663.00	0.98060
664.00	0.93058
665.00	0.87865
666.00	0.77408
667.00	0.68828
668.00	0.59107
669.00	0.49948
670.00	0.43071
671.00	0.37095
672.00	0.32034
673.00	0.28011
674.00	0.24269
675.00	0.22254
676.00	0.19851
677.00	0.17857
678.00	0.15965
679.00	0.14413
680.00	0.12827
681.00	0.11284
682.00	0.10200
683.00	0.092065
684.00	0.082611
685.00	0.076582
686.00	0.070134
687.00	0.064470
688.00	0.060396
689.00	0.057108
690.00	0.054629
691.00	0.053443
692.00	0.053111
693.00	0.052292
694.00	0.051055
695.00	0.052333
696.00	0.051701
697.00	0.054544
698.00	0.054610
699.00	0.055413
700.00	0.057488
701.00	0.058957
702.00	0.061204
703.00	0.063196
704.00	0.062919
705.00	0.065604
706.00	0.066611
707.00	0.066376
708.00	0.068069
709.00	0.067079
710.00	0.067277
711.00	0.065629
712.00	0.065065
713.00	0.063990
714.00	0.063493
715.00	0.063566
716.00	0.065239
717.00	0.066000
718.00	0.067036
719.00	0.067850
720.00	0.070657
721.00	0.073064
722.00	0.074214
723.00	0.077660
724.00	0.080106
725.00	0.083104
726.00	0.083739
727.00	0.085821
728.00	0.085420
729.00	0.085835
730.00	0.085602
731.00	0.085570
732.00	0.084973
733.00	0.082522
734.00	0.080548
735.00	0.080146
736.00	0.076143
737.00	0.075060
738.00	0.071390
739.00	0.065779
740.00	0.063117
741.00	0.057730
742.00	0.053404
743.00	0.049147
744.00	0.044571
745.00	0.039930
746.00	0.036463
747.00	0.032925
748.00	0.029022
749.00	0.026825
750.00	0.024742
751.00	0.023404
752.00	0.021604
753.00	0.020180
754.00	0.019126
755.00	0.018159
756.00	0.016850
757.00	0.016197
758.00	0.015669
759.00	0.015224
760.00	0.014288
761.00	0.013683
762.00	0.013349
763.00	0.012817
764.00	0.012369
765.00	0.012251
766.00	0.012060
767.00	0.011815
768.00	0.011372
769.00	0.010976
770.00	0.011294
771.00	0.010660
772.00	0.010326
773.00	0.010242
774.00	0.010498
775.00	0.0099975
776.00	0.010316
777.00	0.0098229
778.00	0.0094006
779.00	0.0091229
780.00	0.0096718
781.00	0.0088348
782.00	0.0087636
783.00	0.0095972
784.00	0.0083442
785.00	0.0084456
786.00	0.0086664
787.00	0.0083794
788.00	0.0081004
789.00	0.0078360
790.00	0.0084155
791.00	0.0078321
792.00	0.0078910
793.00	0.0083532
794.00	0.0080141
795.00	0.0074171
796.00	0.0075567
797.00	0.0071403
798.00	0.0072912
799.00	0.0068337
800.00	0.0077460
