Wavelength(nm)	L214 ZnC-M10E15 (SE253).abs

350.00	0.050030
350.20	0.050230
350.40	0.050600
350.60	0.050530
350.80	0.050550
351.00	0.050420
351.20	0.050660
351.40	0.050700
351.60	0.050760
351.80	0.050570
352.00	0.051130
352.20	0.051200
352.40	0.051310
352.60	0.051220
352.80	0.051780
353.00	0.052040
353.20	0.052000
353.40	0.052010
353.60	0.052510
353.80	0.052390
354.00	0.052660
354.20	0.052550
354.40	0.052880
354.60	0.053030
354.80	0.053200
355.00	0.053330
355.20	0.053410
355.40	0.053630
355.60	0.053570
355.80	0.053500
356.00	0.053770
356.20	0.054340
356.40	0.054390
356.60	0.054650
356.80	0.054870
357.00	0.055120
357.20	0.055130
357.40	0.055030
357.60	0.055600
357.80	0.055640
358.00	0.055860
358.20	0.055750
358.40	0.056090
358.60	0.055920
358.80	0.056430
359.00	0.056530
359.20	0.056480
359.40	0.056660
359.60	0.056830
359.80	0.056960
360.00	0.057260
360.20	0.057180
360.40	0.057380
360.60	0.057280
360.80	0.057800
361.00	0.057600
361.20	0.057580
361.40	0.057650
361.60	0.058000
361.80	0.057930
362.00	0.057850
362.20	0.058280
362.40	0.058060
362.60	0.058660
362.80	0.058740
363.00	0.058680
363.20	0.058820
363.40	0.058940
363.60	0.059000
363.80	0.059010
364.00	0.059180
364.20	0.059220
364.40	0.059560
364.60	0.059530
364.80	0.059630
365.00	0.059720
365.20	0.059740
365.40	0.059850
365.60	0.059990
365.80	0.059800
366.00	0.060270
366.20	0.060230
366.40	0.060380
366.60	0.060390
366.80	0.060410
367.00	0.060530
367.20	0.060900
367.40	0.060510
367.60	0.060930
367.80	0.061080
368.00	0.061120
368.20	0.061390
368.40	0.061430
368.60	0.061480
368.80	0.061630
369.00	0.061690
369.20	0.061560
369.40	0.061770
369.60	0.062160
369.80	0.062240
370.00	0.062610
370.20	0.062710
370.40	0.062650
370.60	0.062850
370.80	0.063130
371.00	0.063250
371.20	0.063360
371.40	0.063430
371.60	0.063610
371.80	0.063570
372.00	0.064060
372.20	0.064180
372.40	0.064170
372.60	0.064580
372.80	0.064910
373.00	0.064670
373.20	0.065090
373.40	0.065360
373.60	0.065420
373.80	0.065460
374.00	0.065910
374.20	0.066090
374.40	0.066160
374.60	0.066690
374.80	0.066950
375.00	0.066930
375.20	0.067100
375.40	0.067820
375.60	0.067900
375.80	0.068250
376.00	0.068640
376.20	0.068870
376.40	0.069130
376.60	0.069640
376.80	0.069980
377.00	0.070230
377.20	0.070670
377.40	0.071200
377.60	0.071360
377.80	0.071720
378.00	0.072400
378.20	0.073020
378.40	0.073580
378.60	0.074020
378.80	0.074510
379.00	0.075150
379.20	0.075500
379.40	0.076140
379.60	0.076720
379.80	0.077280
380.00	0.077960
380.20	0.078470
380.40	0.079440
380.60	0.079940
380.80	0.080930
381.00	0.081480
381.20	0.082240
381.40	0.083270
381.60	0.084080
381.80	0.084860
382.00	0.085860
382.20	0.086830
382.40	0.087670
382.60	0.088650
382.80	0.090000
383.00	0.090840
383.20	0.091880
383.40	0.093410
383.60	0.094400
383.80	0.095690
384.00	0.097280
384.20	0.098590
384.40	0.10003
384.60	0.10165
384.80	0.10309
385.00	0.10471
385.20	0.10650
385.40	0.10809
385.60	0.10993
385.80	0.11175
386.00	0.11347
386.20	0.11537
386.40	0.11728
386.60	0.11920
386.80	0.12127
387.00	0.12319
387.20	0.12527
387.40	0.12735
387.60	0.12916
387.80	0.13123
388.00	0.13329
388.20	0.13537
388.40	0.13731
388.60	0.13941
388.80	0.14163
389.00	0.14362
389.20	0.14574
389.40	0.14808
389.60	0.15012
389.80	0.15224
390.00	0.15443
390.20	0.15666
390.40	0.15850
390.60	0.16076
390.80	0.16312
391.00	0.16501
391.20	0.16732
391.40	0.16962
391.60	0.17178
391.80	0.17409
392.00	0.17626
392.20	0.17844
392.40	0.18066
392.60	0.18313
392.80	0.18531
393.00	0.18726
393.20	0.18968
393.40	0.19180
393.60	0.19371
393.80	0.19586
394.00	0.19787
394.20	0.19991
394.40	0.20198
394.60	0.20413
394.80	0.20589
395.00	0.20801
395.20	0.21006
395.40	0.21158
395.60	0.21344
395.80	0.21505
396.00	0.21717
396.20	0.21855
396.40	0.22023
396.60	0.22176
396.80	0.22339
397.00	0.22485
397.20	0.22620
397.40	0.22769
397.60	0.22871
397.80	0.22987
398.00	0.23120
398.20	0.23213
398.40	0.23297
398.60	0.23410
398.80	0.23490
399.00	0.23539
399.20	0.23613
399.40	0.23687
399.60	0.23705
399.80	0.23749
400.00	0.23805
400.20	0.23824
400.40	0.23833
400.60	0.23877
400.80	0.23891
401.00	0.23905
401.20	0.23926
401.40	0.23957
401.60	0.23969
401.80	0.23973
402.00	0.24006
402.20	0.24024
402.40	0.24081
402.60	0.24110
402.80	0.24189
403.00	0.24257
403.20	0.24350
403.40	0.24452
403.60	0.24580
403.80	0.24705
404.00	0.24864
404.20	0.25038
404.40	0.25230
404.60	0.25450
404.80	0.25695
405.00	0.25963
405.20	0.26248
405.40	0.26551
405.60	0.26908
405.80	0.27254
406.00	0.27642
406.20	0.28063
406.40	0.28503
406.60	0.28967
406.80	0.29464
407.00	0.29986
407.20	0.30535
407.40	0.31127
407.60	0.31714
407.80	0.32344
408.00	0.33014
408.20	0.33721
408.40	0.34435
408.60	0.35203
408.80	0.35997
409.00	0.36812
409.20	0.37653
409.40	0.38557
409.60	0.39439
409.80	0.40382
410.00	0.41380
410.20	0.42372
410.40	0.43406
410.60	0.44474
410.80	0.45570
411.00	0.46683
411.20	0.47854
411.40	0.49013
411.60	0.50204
411.80	0.51410
412.00	0.52664
412.20	0.53890
412.40	0.55169
412.60	0.56472
412.80	0.57751
413.00	0.59029
413.20	0.60394
413.40	0.61660
413.60	0.62963
413.80	0.64262
414.00	0.65556
414.20	0.66883
414.40	0.68190
414.60	0.69480
414.80	0.70809
415.00	0.72072
415.20	0.73378
415.40	0.74681
415.60	0.75979
415.80	0.77273
416.00	0.78594
416.20	0.79906
416.40	0.81236
416.60	0.82531
416.80	0.83918
417.00	0.85215
417.20	0.86606
417.40	0.87921
417.60	0.89218
417.80	0.90494
418.00	0.91819
418.20	0.93016
418.40	0.94200
418.60	0.95352
418.80	0.96375
419.00	0.97306
419.20	0.98160
419.40	0.98837
419.60	0.99393
419.80	0.99814
420.00	0.99990
420.20	1.0000
420.40	0.99751
420.60	0.99321
420.80	0.98636
421.00	0.97718
421.20	0.96596
421.40	0.95166
421.60	0.93556
421.80	0.91691
422.00	0.89686
422.20	0.87416
422.40	0.84987
422.60	0.82495
422.80	0.79778
423.00	0.76956
423.20	0.74105
423.40	0.71199
423.60	0.68223
423.80	0.65226
424.00	0.62274
424.20	0.59297
424.40	0.56363
424.60	0.53492
424.80	0.50654
425.00	0.47897
425.20	0.45241
425.40	0.42689
425.60	0.40167
425.80	0.37781
426.00	0.35523
426.20	0.33321
426.40	0.31215
426.60	0.29240
426.80	0.27350
427.00	0.25555
427.20	0.23866
427.40	0.22286
427.60	0.20767
427.80	0.19364
428.00	0.18057
428.20	0.16796
428.40	0.15638
428.60	0.14567
428.80	0.13536
429.00	0.12597
429.20	0.11707
429.40	0.10902
429.60	0.10141
429.80	0.094150
430.00	0.087700
430.20	0.081510
430.40	0.075820
430.60	0.070510
430.80	0.065790
431.00	0.060960
431.20	0.056690
431.40	0.052890
431.60	0.049360
