Wavelength(nm)	L214 ZnC-M10E15 (SE253).ems
550.00	0.00045272
550.20	0.00042870
550.40	0.00037372
550.60	0.00022932
550.80	0.00043224
551.00	0.00041507
551.20	0.00039101
551.40	0.00034286
551.60	0.00031191
551.80	0.00063547
552.00	0.00059082
552.20	0.00040149
552.40	0.00041188
552.60	0.00072899
552.80	0.00065674
553.00	0.00036720
553.20	0.00057763
553.40	0.00052946
553.60	0.00052955
553.80	0.00045713
554.00	0.00061608
554.20	0.00071293
554.40	0.00028105
554.60	0.00053691
554.80	0.00049204
555.00	0.00054400
555.20	0.00050950
555.40	0.00055113
555.60	0.00051660
555.80	0.00038846
556.00	0.00068652
556.20	0.00058269
556.40	0.00045452
556.60	0.00061755
556.80	0.00056563
557.00	0.00057619
557.20	0.00064913
557.40	0.00059016
557.60	0.00076726
557.80	0.00066315
558.00	0.00054168
558.20	0.00054167
558.40	0.00063903
558.60	0.00058697
558.80	0.00060434
559.00	0.00050365
559.20	0.00053496
559.40	0.00064275
559.60	0.00044117
559.80	0.00057677
560.00	0.00076461
560.20	0.00069515
560.40	0.00062908
560.60	0.00063958
560.80	0.00071272
561.00	0.00076846
561.20	0.00058752
561.40	0.00057369
561.60	0.00050057
561.80	0.00082448
562.00	0.00043104
562.20	0.00065763
562.40	0.00058118
562.60	0.00065467
562.80	0.00080498
563.00	0.00073201
563.20	0.00078820
563.40	0.00082699
563.60	0.00071535
563.80	0.00075070
564.00	0.00087710
564.20	0.00096167
564.40	0.00071652
564.60	0.00063958
564.80	0.00091024
565.00	0.00067866
565.20	0.00069655
565.40	0.00077423
565.60	0.00068302
565.80	0.00066914
566.00	0.00087740
566.20	0.00092009
566.40	0.00097345
566.60	0.00077257
566.80	0.00093546
567.00	0.00081568
567.20	0.00074855
567.40	0.00091485
567.60	0.00097861
567.80	0.0011627
568.00	0.00095406
568.20	0.00093294
568.40	0.00081267
568.60	0.0011173
568.80	0.00078808
569.00	0.0010927
569.20	0.00074221
569.40	0.0011036
569.60	0.00093014
569.80	0.00069281
570.00	0.00095867
570.20	0.00098359
570.40	0.00091278
570.60	0.0011327
570.80	0.0010797
571.00	0.0014097
571.20	0.0010302
571.40	0.0013097
571.60	0.00093468
571.80	0.0013797
572.00	0.0012436
572.20	0.0010739
572.40	0.0010459
572.60	0.0011317
572.80	0.0011572
573.00	0.0011115
573.20	0.0011797
573.40	0.0012498
573.60	0.0010846
573.80	0.0012597
574.00	0.0014897
574.20	0.0012326
574.40	0.0014297
574.60	0.0016597
574.80	0.0013997
575.00	0.0014097
575.20	0.0014697
575.40	0.0014197
575.60	0.0014397
575.80	0.0016897
576.00	0.0015697
576.20	0.0016697
576.40	0.0016097
576.60	0.0016097
576.80	0.0020696
577.00	0.0021196
