Wavelength (nm)	L214 H2C-M10E15 (SE254).abs

350.00	0.10859
350.20	0.10764
350.40	0.10845
350.60	0.10741
350.80	0.10594
351.00	0.10735
351.20	0.10760
351.40	0.10684
351.60	0.10721
351.80	0.10708
352.00	0.10800
352.20	0.10905
352.40	0.11059
352.60	0.10995
352.80	0.11005
353.00	0.11088
353.20	0.11047
353.40	0.11149
353.60	0.11212
353.80	0.11213
354.00	0.11267
354.20	0.11370
354.40	0.11337
354.60	0.11306
354.80	0.11377
355.00	0.11418
355.20	0.11321
355.40	0.11451
355.60	0.11503
355.80	0.11509
356.00	0.11581
356.20	0.11713
356.40	0.11783
356.60	0.11994
356.80	0.12091
357.00	0.12218
357.20	0.12279
357.40	0.12343
357.60	0.12542
357.80	0.12592
358.00	0.12683
358.20	0.12955
358.40	0.13086
358.60	0.13172
358.80	0.13240
359.00	0.13428
359.20	0.13548
359.40	0.13690
359.60	0.13832
359.80	0.13969
360.00	0.14089
360.20	0.14271
360.40	0.14415
360.60	0.14444
360.80	0.14629
361.00	0.14827
361.20	0.15107
361.40	0.15223
361.60	0.15420
361.80	0.15526
362.00	0.15717
362.20	0.15903
362.40	0.16115
362.60	0.16252
362.80	0.16625
363.00	0.16773
363.20	0.16939
363.40	0.17061
363.60	0.17303
363.80	0.17457
364.00	0.17614
364.20	0.17821
364.40	0.17945
364.60	0.18092
364.80	0.18266
365.00	0.18451
365.20	0.18578
365.40	0.18674
365.60	0.18812
365.80	0.18944
366.00	0.19031
366.20	0.19150
366.40	0.19235
366.60	0.19346
366.80	0.19345
367.00	0.19485
367.20	0.19533
367.40	0.19577
367.60	0.19562
367.80	0.19667
368.00	0.19635
368.20	0.19719
368.40	0.19707
368.60	0.19717
368.80	0.19713
369.00	0.19692
369.20	0.19737
369.40	0.19639
369.60	0.19627
369.80	0.19668
370.00	0.19454
370.20	0.19424
370.40	0.19313
370.60	0.19278
370.80	0.19229
371.00	0.19195
371.20	0.19141
371.40	0.19086
371.60	0.19060
371.80	0.18993
372.00	0.18894
372.20	0.18784
372.40	0.18694
372.60	0.18659
372.80	0.18573
373.00	0.18475
