Wavelength (nm)	L214 H2C-M10E15 (SE254).ems
602.20	0.00048009
602.40	0.00064733
602.60	0.00038405
602.80	0.00060832
603.00	0.00052523
603.20	0.00049219
603.40	0.00051605
603.60	0.00055341
603.80	0.00055722
604.00	0.00066186
604.20	0.00056489
604.40	0.00057212
604.60	0.00045807
604.80	0.00071131
605.00	0.00067143
605.20	0.00068886
605.40	0.00052722
605.60	0.00055135
605.80	0.00061276
606.00	0.00072847
606.20	0.00068502
606.40	0.00062788
606.60	0.00064201
606.80	0.00071055
607.00	0.00079282
607.20	0.00054146
607.40	0.00074986
607.60	0.00053900
607.80	0.00072385
608.00	0.00053995
608.20	0.00064987
608.40	0.00073600
608.60	0.00072294
608.80	0.00070985
609.00	0.00061095
609.20	0.00087943
609.40	0.00068076
609.60	0.00064693
609.80	0.00060273
610.00	0.00070665
610.20	0.00062103
610.40	0.00071824
610.60	0.00050458
610.80	0.00091317
611.00	0.00065777
611.20	0.00082120
611.40	0.00065545
611.60	0.00069765
611.80	0.00085458
612.00	0.00083791
612.20	0.00092215
612.40	0.00065489
612.60	0.00082997
612.80	0.00070169
613.00	0.00092958
613.20	0.00061221
613.40	0.00061285
613.60	0.00080633
613.80	0.00075101
614.00	0.00081504
614.20	0.00074908
614.40	0.00072170
614.60	0.00081763
614.80	0.00075851
615.00	0.00072400
615.20	0.00069999
615.40	0.00085645
615.60	0.00088216
615.80	0.00082279
616.00	0.00093369
616.20	0.00083160
616.40	0.00088585
616.60	0.00080130
616.80	0.00092690
617.00	0.00082438
617.20	0.00069304
617.40	0.00095519
617.60	0.00076667
617.80	0.00099740
618.00	0.0010000
618.20	0.0010500
618.40	0.0010400
618.60	0.00090207
618.80	0.00098645
619.00	0.00096615
619.20	0.00082619
619.40	0.00093257
619.60	0.0010500
619.80	0.0011600
620.00	0.0011100
620.20	0.0011700
620.40	0.0011800
620.60	0.0010400
620.80	0.0010700
621.00	0.0012300
621.20	0.0012700
621.40	0.0011700
621.60	0.0011700
621.80	0.0014500
622.00	0.0014100
622.20	0.0011200
622.40	0.0013000
622.60	0.0015200
622.80	0.0012900
623.00	0.0014500
623.20	0.0013700
623.40	0.0013900
623.60	0.0014000
623.80	0.0014300
624.00	0.0014200
624.20	0.0018600
624.40	0.0018000
624.60	0.0018200
624.80	0.0016500
625.00	0.0016700
625.20	0.0018200
625.40	0.0020500
625.60	0.0016100
625.80	0.0018000
626.00	0.0017900
626.20	0.0017300
626.40	0.0018300
626.60	0.0020900
626.80	0.0021200
627.00	0.0020900
627.20	0.0021100
627.40	0.0020500
627.60	0.0019700
627.80	0.0024100
628.00	0.0022100
