Wavelength (nm)	220 4.ems
550.00	0.0019029
551.00	0.0017407
552.00	0.0019944
553.00	0.0015876
554.00	0.0016747
555.00	0.0016138
556.00	0.0017917
557.00	0.0020093
558.00	0.0015072
559.00	0.0018812
560.00	0.0014679
561.00	0.0016492
562.00	0.0018710
563.00	0.0014820
564.00	0.0017112
565.00	0.0018027
566.00	0.0018150
567.00	0.0020540
568.00	0.0019668
569.00	0.0022144
570.00	0.0021472
571.00	0.0021212
572.00	0.0027115
573.00	0.0026940
574.00	0.0024920
575.00	0.0026857
576.00	0.0029495
577.00	0.0031047
578.00	0.0035308
579.00	0.0035848
580.00	0.0038273
581.00	0.0035145
582.00	0.0042251
583.00	0.0048922
584.00	0.0050686
585.00	0.0049829
586.00	0.0050679
587.00	0.0057419
588.00	0.0067744
589.00	0.0078225
590.00	0.0079198
591.00	0.010556
592.00	0.011052
593.00	0.013306
594.00	0.016418
595.00	0.020027
596.00	0.023280
597.00	0.027404
598.00	0.035498
599.00	0.045588
600.00	0.058383
601.00	0.080515
602.00	0.10587
603.00	0.14358
604.00	0.19257
605.00	0.25199
606.00	0.33280
607.00	0.41020
608.00	0.50250
609.00	0.59386
610.00	0.67775
611.00	0.74168
612.00	0.81885
613.00	0.86409
614.00	0.91309
615.00	0.95148
616.00	0.96699
617.00	0.99520
618.00	1.0000
619.00	0.97636
620.00	0.96602
621.00	0.91092
622.00	0.86761
623.00	0.81822
624.00	0.74898
625.00	0.68293
626.00	0.61709
627.00	0.54721
628.00	0.49729
629.00	0.45293
630.00	0.39667
631.00	0.35555
632.00	0.32993
633.00	0.29890
634.00	0.27277
635.00	0.25080
636.00	0.22940
637.00	0.21048
638.00	0.19608
639.00	0.18296
640.00	0.17359
641.00	0.16161
642.00	0.15694
643.00	0.14421
644.00	0.14416
645.00	0.13916
646.00	0.14002
647.00	0.13865
648.00	0.13541
649.00	0.13587
650.00	0.13896
651.00	0.13908
652.00	0.14110
653.00	0.14543
654.00	0.14536
655.00	0.14787
656.00	0.15238
657.00	0.15075
658.00	0.15748
659.00	0.15717
660.00	0.16333
661.00	0.16487
662.00	0.16407
663.00	0.16950
664.00	0.17388
665.00	0.17453
666.00	0.17645
667.00	0.17518
668.00	0.17538
669.00	0.17732
670.00	0.17777
671.00	0.17149
672.00	0.17445
673.00	0.17107
674.00	0.16756
675.00	0.16384
676.00	0.15722
677.00	0.15506
678.00	0.14996
679.00	0.14176
680.00	0.13582
681.00	0.13103
682.00	0.12405
683.00	0.11984
684.00	0.11325
685.00	0.10681
686.00	0.10010
687.00	0.094787
688.00	0.086148
689.00	0.081105
690.00	0.077225
691.00	0.070416
692.00	0.064810
693.00	0.061662
694.00	0.057761
695.00	0.054278
696.00	0.050004
697.00	0.049137
698.00	0.045869
699.00	0.040812
700.00	0.041366
701.00	0.038017
702.00	0.036833
703.00	0.036926
704.00	0.034711
705.00	0.031996
706.00	0.031413
707.00	0.029743
708.00	0.028521
709.00	0.029242
710.00	0.027310
711.00	0.029248
712.00	0.028043
713.00	0.025769
714.00	0.027596
715.00	0.026531
716.00	0.025811
717.00	0.025571
718.00	0.024199
719.00	0.024410
720.00	0.024023
721.00	0.025097
722.00	0.023918
723.00	0.024950
724.00	0.023147
725.00	0.024100
726.00	0.024909
727.00	0.023502
728.00	0.023237
729.00	0.023709
730.00	0.023089
731.00	0.024059
732.00	0.022589
733.00	0.022888
734.00	0.023603
735.00	0.022163
736.00	0.022354
737.00	0.022975
738.00	0.021543
739.00	0.021966
740.00	0.021688
741.00	0.022081
742.00	0.022117
743.00	0.020788
744.00	0.020998
745.00	0.020597
746.00	0.021897
747.00	0.020548
748.00	0.020392
749.00	0.019483
750.00	0.019051
