Wavelength (nm)
	230 ZnC-F5P10.abs
300.00	0.12485
301.00	0.12356
302.00	0.12196
303.00	0.12063
304.00	0.11955
305.00	0.11799
306.00	0.11715
307.00	0.11612
308.00	0.11501
309.00	0.11423
310.00	0.11356
311.00	0.11293
312.00	0.11247
313.00	0.11210
314.00	0.11148
315.00	0.11133
316.00	0.11089
317.00	0.11048
318.00	0.11032
319.00	0.11002
320.00	0.10970
321.00	0.10940
322.00	0.10918
323.00	0.10869
324.00	0.10828
325.00	0.10773
326.00	0.10732
327.00	0.10702
328.00	0.10677
329.00	0.10614
330.00	0.10593
331.00	0.10576
332.00	0.10569
333.00	0.10549
334.00	0.10560
335.00	0.10565
336.00	0.10590
337.00	0.10624
338.00	0.10641
339.00	0.10688
340.00	0.10729
341.00	0.10784
342.00	0.10846
343.00	0.10901
344.00	0.10975
345.00	0.11034
346.00	0.11113
347.00	0.11167
348.00	0.11255
349.00	0.11336
350.00	0.11426
351.00	0.11472
352.00	0.11527
353.00	0.11600
354.00	0.11638
355.00	0.11683
356.00	0.11707
357.00	0.11789
358.00	0.11900
359.00	0.11970
360.00	0.12064
361.00	0.12100
362.00	0.12100
363.00	0.12163
364.00	0.12217
365.00	0.12349
366.00	0.12473
367.00	0.12609
368.00	0.12758
369.00	0.12859
370.00	0.12994
371.00	0.13117
372.00	0.13278
373.00	0.13453
374.00	0.13590
375.00	0.13746
376.00	0.14015
377.00	0.14192
378.00	0.14452
379.00	0.14705
380.00	0.15079
381.00	0.15508
382.00	0.15977
383.00	0.16542
384.00	0.17187
385.00	0.17875
386.00	0.18667
387.00	0.19570
388.00	0.20580
389.00	0.21617
390.00	0.22783
391.00	0.23924
392.00	0.25155
393.00	0.26459
394.00	0.27694
395.00	0.28876
396.00	0.30187
397.00	0.31413
398.00	0.32701
399.00	0.34012
400.00	0.35255
401.00	0.36582
402.00	0.38044
403.00	0.39568
404.00	0.41103
405.00	0.42748
406.00	0.44627
407.00	0.46550
408.00	0.48744
409.00	0.50997
410.00	0.53444
411.00	0.56188
412.00	0.59129
413.00	0.61983
414.00	0.64950
415.00	0.68192
416.00	0.71315
417.00	0.74430
418.00	0.77484
419.00	0.80695
420.00	0.83888
421.00	0.87093
422.00	0.90104
423.00	0.92757
424.00	0.95127
425.00	0.97343
426.00	0.98710
427.00	0.99969
428.00	1.0000
429.00	0.98751
430.00	0.97043
431.00	0.93448
432.00	0.88418
433.00	0.82317
434.00	0.75182
435.00	0.67867
436.00	0.60042
437.00	0.52127
438.00	0.44631
439.00	0.37795
440.00	0.31641
441.00	0.25921
442.00	0.21710
443.00	0.17820
444.00	0.14646
445.00	0.12114
446.00	0.099979
447.00	0.084149
448.00	0.071167
449.00	0.060870
450.00	0.052989
451.00	0.046985
