Wavelength (nm)	L317 FbC-F3 (SE429).ems
600.64	0.00045836
601.43	0.00047542
602.23	0.00041304
603.03	0.00055272
603.82	0.00058877
604.62	0.00056147
605.42	0.00062054
606.22	0.00062962
607.01	0.00077473
607.81	0.00074443
608.61	0.00080694
609.40	0.00074309
610.20	0.00078559
611.00	0.00095568
611.79	0.00078286
612.59	0.00096579
613.39	0.0010700
614.18	0.0010700
614.98	0.0011800
615.78	0.0011600
616.58	0.0012200
617.37	0.0013800
618.17	0.0012800
618.97	0.0011700
619.76	0.0015000
620.56	0.0014500
621.35	0.0015900
622.15	0.0015600
622.95	0.0017300
623.74	0.0018300
624.54	0.0020800
625.34	0.0021500
626.13	0.0023000
626.93	0.0024700
627.73	0.0025200
628.52	0.0027400
629.32	0.0029200
630.12	0.0032800
630.91	0.0034700
631.71	0.0036600
632.51	0.0036800
633.30	0.0037800
634.10	0.0043600
634.89	0.0043400
635.69	0.0048300
636.49	0.0051900
637.28	0.0058000
638.08	0.0063500
638.87	0.0069900
639.67	0.0083200
640.47	0.0096000
641.26	0.011250
642.06	0.013270
642.85	0.015660
643.65	0.018690
644.45	0.022430
645.24	0.026430
646.04	0.031890
646.83	0.038780
647.63	0.046410
648.42	0.056970
649.22	0.069520
650.02	0.084400
650.81	0.10441
651.61	0.12942
652.40	0.15887
653.20	0.19571
653.99	0.23884
654.79	0.28767
655.59	0.34488
656.38	0.40801
657.18	0.47442
657.97	0.54738
658.77	0.61907
659.56	0.69349
660.36	0.76577
661.15	0.82879
661.95	0.88702
662.74	0.93539
663.54	0.97418
664.34	0.99412
665.13	1.0000
665.93	0.99118
666.72	0.97202
667.52	0.93210
668.31	0.88819
669.11	0.83429
669.90	0.77387
670.70	0.70996
671.49	0.64795
672.29	0.58713
673.08	0.52958
673.88	0.47786
674.67	0.42720
675.47	0.38274
676.26	0.34290
677.06	0.30912
677.85	0.27780
678.65	0.25026
679.44	0.22531
680.24	0.20414
681.03	0.18422
681.83	0.16777
682.62	0.15197
683.42	0.13814
684.21	0.12526
685.01	0.11541
685.80	0.10701
686.59	0.099190
687.39	0.092200
688.18	0.087740
688.98	0.083720
689.77	0.080020
690.57	0.078940
691.36	0.078050
692.16	0.077310
692.95	0.076960
693.74	0.077020
694.54	0.077700
695.33	0.079430
696.13	0.081220
696.92	0.081870
697.72	0.083350
698.51	0.084410
699.30	0.085920
700.10	0.086940
700.89	0.087310
701.69	0.088870
702.48	0.089160
703.28	0.089900
704.07	0.090190
704.86	0.090670
705.66	0.090800
706.45	0.091650
707.25	0.091990
708.04	0.092010
708.83	0.091550
709.63	0.090850
710.42	0.091050
711.22	0.089990
712.01	0.089060
712.80	0.087390
713.60	0.087350
714.39	0.085440
715.18	0.083890
715.98	0.083080
716.77	0.081500
717.57	0.079790
718.36	0.078370
719.15	0.076880
719.95	0.075540
720.74	0.074650
721.53	0.073110
722.33	0.072500
723.12	0.071370
723.91	0.070820
724.71	0.069320
725.50	0.068780
726.29	0.069350
727.09	0.069100
727.88	0.068340
728.67	0.068190
729.47	0.068300
730.26	0.068040
731.05	0.067540
731.85	0.067650
732.64	0.066030
733.43	0.065640
734.23	0.065330
735.02	0.064440
735.81	0.063280
736.61	0.061560
737.40	0.061070
738.19	0.058830
738.98	0.057090
739.78	0.055810
740.57	0.053560
741.36	0.051980
742.16	0.049810
742.95	0.048070
743.74	0.046030
744.53	0.044660
745.33	0.042770
746.12	0.040750
746.91	0.039740
747.71	0.037280
748.50	0.035700
749.29	0.034030
750.08	0.032290
750.88	0.031220
751.67	0.028820
752.46	0.027840
753.25	0.026010
754.05	0.025210
754.84	0.024250
755.63	0.022980
756.42	0.021660
757.22	0.020640
758.01	0.019550
758.80	0.019150
759.59	0.018410
760.39	0.017420
761.18	0.016250
761.97	0.016030
762.76	0.015460
763.55	0.014790
764.35	0.014350
765.14	0.013790
765.93	0.013640
766.72	0.013450
767.52	0.012870
768.31	0.012540
769.10	0.012390
769.89	0.011880
770.68	0.011540
771.47	0.011470
772.27	0.011550
773.06	0.010770
773.85	0.010840
774.64	0.0099800
775.43	0.010630
776.22	0.0098400
777.02	0.010500
777.81	0.0099000
778.60	0.0098400
779.39	0.0096300
780.18	0.0096700
780.97	0.0097900
781.77	0.0095200
782.56	0.0084700
783.35	0.0084600
784.14	0.0086100
784.93	0.0083800
785.72	0.0084600
786.52	0.0080000
787.31	0.0080600
788.10	0.0076200
788.89	0.0076000
789.68	0.0075500
790.47	0.0075600
791.26	0.0072100
792.05	0.0070400
792.85	0.0072500
793.64	0.0070400
794.43	0.0065100
795.22	0.0061200
796.01	0.0066400
796.80	0.0067100
797.59	0.0062000
798.38	0.0058000
799.17	0.0064100
799.97	0.0063300
