Wavelength (nm)	H2C-A12
300.00	0.24794
301.00	0.24760
302.00	0.24687
303.00	0.24549
304.00	0.24333
305.00	0.24019
306.00	0.23598
307.00	0.23124
308.00	0.22535
309.00	0.21844
310.00	0.21135
311.00	0.20389
312.00	0.19647
313.00	0.18923
314.00	0.18273
315.00	0.17679
316.00	0.17220
317.00	0.16889
318.00	0.16718
319.00	0.16699
320.00	0.16810
321.00	0.17041
322.00	0.17339
323.00	0.17720
324.00	0.18124
325.00	0.18482
326.00	0.18802
327.00	0.19056
328.00	0.19234
329.00	0.19347
330.00	0.19430
331.00	0.19480
332.00	0.19541
333.00	0.19635
334.00	0.19758
335.00	0.19928
336.00	0.20148
337.00	0.20417
338.00	0.20749
339.00	0.21111
340.00	0.21517
341.00	0.21948
342.00	0.22405
343.00	0.22851
344.00	0.23306
345.00	0.23761
346.00	0.24218
347.00	0.24677
348.00	0.25127
349.00	0.25595
350.00	0.26088
351.00	0.26608
352.00	0.27169
353.00	0.27779
354.00	0.28429
355.00	0.29104
356.00	0.29837
357.00	0.30558
358.00	0.31246
359.00	0.31952
360.00	0.32650
361.00	0.33322
362.00	0.33805
363.00	0.34245
364.00	0.34648
365.00	0.35064
366.00	0.35601
367.00	0.36024
368.00	0.36335
369.00	0.36538
370.00	0.36650
371.00	0.36680
372.00	0.36664
373.00	0.36675
374.00	0.36658
375.00	0.36673
376.00	0.36827
377.00	0.37051
378.00	0.37465
379.00	0.38107
380.00	0.38964
381.00	0.40041
382.00	0.41395
383.00	0.42948
384.00	0.44760
385.00	0.46748
386.00	0.48865
387.00	0.51251
388.00	0.53689
389.00	0.56245
390.00	0.58808
391.00	0.61413
392.00	0.64094
393.00	0.66510
394.00	0.68710
395.00	0.70741
396.00	0.72545
397.00	0.73999
398.00	0.75379
399.00	0.76386
400.00	0.77400
401.00	0.78423
402.00	0.79713
403.00	0.80998
404.00	0.82639
405.00	0.84456
406.00	0.86357
407.00	0.88274
408.00	0.90451
409.00	0.92764
410.00	0.94727
411.00	0.96548
412.00	0.98260
413.00	0.99483
414.00	1.0000
415.00	0.99680
416.00	0.98404
417.00	0.95938
418.00	0.92065
419.00	0.86960
420.00	0.81007
421.00	0.74248
422.00	0.67494
423.00	0.60959
424.00	0.54433
425.00	0.48342
426.00	0.42828
427.00	0.37622
428.00	0.33162
429.00	0.28984
430.00	0.25242
431.00	0.22130
432.00	0.19223
433.00	0.16397
434.00	0.14078
435.00	0.12141
436.00	0.10409
437.00	0.089505
438.00	0.077053
439.00	0.066895
440.00	0.058507
441.00	0.051416
442.00	0.045776
443.00	0.041402
444.00	0.037700
445.00	0.034796
446.00	0.032436
447.00	0.030450
448.00	0.028902
449.00	0.027559
450.00	0.026611
451.00	0.025734
452.00	0.025197
453.00	0.024627
454.00	0.024300
455.00	0.024135
456.00	0.024022
457.00	0.024173
458.00	0.024419
459.00	0.024917
460.00	0.025127
461.00	0.025461
462.00	0.025823
463.00	0.026348
464.00	0.027278
465.00	0.028184
466.00	0.028822
467.00	0.029346
468.00	0.030074
469.00	0.030725
470.00	0.031561
471.00	0.032499
472.00	0.033331
473.00	0.034427
474.00	0.035258
475.00	0.036069
476.00	0.036673
477.00	0.037307
478.00	0.038057
479.00	0.038804
480.00	0.039855
481.00	0.040973
482.00	0.041854
483.00	0.042924
484.00	0.044074
485.00	0.046077
486.00	0.048853
487.00	0.048920
488.00	0.050426
489.00	0.052970
490.00	0.055853
491.00	0.059321
492.00	0.063410
493.00	0.067938
494.00	0.073061
495.00	0.077825
496.00	0.083100
497.00	0.087145
498.00	0.090393
499.00	0.092835
500.00	0.094280
501.00	0.095248
502.00	0.095795
503.00	0.096272
504.00	0.096579
505.00	0.096363
506.00	0.095604
507.00	0.093963
508.00	0.091308
509.00	0.087481
510.00	0.082437
511.00	0.076820
512.00	0.070546
513.00	0.064345
514.00	0.058583
515.00	0.053439
516.00	0.048551
517.00	0.044296
518.00	0.040634
519.00	0.037565
520.00	0.034995
521.00	0.033235
522.00	0.031955
523.00	0.031146
524.00	0.031315
525.00	0.032087
526.00	0.033649
527.00	0.035902
528.00	0.039067
529.00	0.042798
530.00	0.047423
531.00	0.053068
532.00	0.059154
533.00	0.065595
534.00	0.071792
535.00	0.077063
536.00	0.080663
537.00	0.082547
538.00	0.082083
539.00	0.079590
540.00	0.075091
541.00	0.069263
542.00	0.062610
543.00	0.055887
544.00	0.049295
545.00	0.043290
546.00	0.038165
547.00	0.033795
548.00	0.030486
549.00	0.027790
550.00	0.025691
551.00	0.024245
552.00	0.023182
553.00	0.022516
554.00	0.022248
555.00	0.021929
556.00	0.021607
557.00	0.021285
558.00	0.020698
559.00	0.020179
560.00	0.019632
561.00	0.019208
562.00	0.018471
563.00	0.017747
564.00	0.017197
565.00	0.016512
566.00	0.015943
567.00	0.015472
568.00	0.014771
569.00	0.014452
570.00	0.014107
571.00	0.013814
572.00	0.013624
573.00	0.013186
574.00	0.012984
575.00	0.013135
576.00	0.012903
577.00	0.012522
578.00	0.012421
579.00	0.012299
580.00	0.012389
581.00	0.012373
582.00	0.012508
583.00	0.011806
584.00	0.011898
585.00	0.012276
586.00	0.012578
587.00	0.013090
588.00	0.013490
589.00	0.014046
590.00	0.014839
591.00	0.015889
592.00	0.017275
593.00	0.018819
594.00	0.020787
595.00	0.023050
596.00	0.025670
597.00	0.028780
598.00	0.032220
599.00	0.035482
600.00	0.038486
601.00	0.041478
602.00	0.043683
603.00	0.045797
604.00	0.047942
605.00	0.049526
606.00	0.051063
607.00	0.052424
608.00	0.053446
609.00	0.053965
610.00	0.053902
611.00	0.053340
612.00	0.052532
613.00	0.051612
614.00	0.050386
615.00	0.049252
616.00	0.048080
617.00	0.047000
618.00	0.046089
619.00	0.045420
620.00	0.044501
621.00	0.043473
622.00	0.042451
623.00	0.041463
624.00	0.040355
625.00	0.038875
626.00	0.037695
627.00	0.036754
628.00	0.036194
629.00	0.035669
630.00	0.035296
631.00	0.035369
632.00	0.035294
633.00	0.034857
634.00	0.034346
635.00	0.033686
636.00	0.033243
637.00	0.033072
638.00	0.033434
639.00	0.034718
640.00	0.036882
641.00	0.040407
642.00	0.045068
643.00	0.051030
644.00	0.058419
645.00	0.067022
646.00	0.076514
647.00	0.087559
648.00	0.099807
649.00	0.11342
650.00	0.12849
651.00	0.14604
652.00	0.16653
653.00	0.19152
654.00	0.21935
655.00	0.26877
656.00	0.31051
657.00	0.33090
658.00	0.38988
659.00	0.44339
660.00	0.48696
661.00	0.52030
662.00	0.53783
663.00	0.53773
664.00	0.51964
665.00	0.48521
666.00	0.43794
667.00	0.38354
668.00	0.32709
669.00	0.27258
670.00	0.22108
671.00	0.17739
672.00	0.14052
673.00	0.11099
674.00	0.087235
675.00	0.068465
676.00	0.054260
677.00	0.043241
678.00	0.034734
679.00	0.028356
680.00	0.023288
681.00	0.019359
682.00	0.016356
683.00	0.013839
684.00	0.011858
685.00	0.010383
686.00	0.0091476
687.00	0.0081135
688.00	0.0072695
689.00	0.0066223
690.00	0.0061294
691.00	0.0056732
692.00	0.0053365
693.00	0.0050886
694.00	0.0047723
695.00	0.0045697
696.00	0.0043536
697.00	0.0041935
698.00	0.0039611
699.00	0.0037305
700.00	0.0035328
701.00	0.0033167
702.00	0.0031142
703.00	0.0029772
704.00	0.0028441
705.00	0.0026194
706.00	0.0025769
707.00	0.0026194
708.00	0.0025374
709.00	0.0025943
710.00	0.0026772
711.00	0.0028605
712.00	0.0029135
713.00	0.0029647
714.00	0.0028943
715.00	0.0027409
716.00	0.0024621
717.00	0.0020956
718.00	0.0018091
719.00	0.0015400
720.00	0.0013972
721.00	0.0014252
722.00	0.0016905
723.00	0.0018757
724.00	0.0020927
725.00	0.0019866
726.00	0.0017773
727.00	0.0014561
728.00	0.0011686
729.00	0.0011320
730.00	0.0013326
731.00	0.0016326
732.00	0.0018004
733.00	0.0016557
734.00	0.0014561
735.00	0.0011484
736.00	0.0011030
737.00	0.0011792
738.00	0.0014542
739.00	0.0015641
740.00	0.0014705
741.00	0.0010548
742.00	0.00096704
743.00	0.0010423
744.00	0.0013124
745.00	0.0014300
746.00	0.0011484
747.00	0.00094100
748.00	0.00082236
749.00	0.0011493
750.00	0.0014455
