Wavelength (nm)	ZnC-A13
300.00	0.073927
301.00	0.075781
302.00	0.077946
303.00	0.080263
304.00	0.082680
305.00	0.085196
306.00	0.087785
307.00	0.090413
308.00	0.092975
309.00	0.095310
310.00	0.097594
311.00	0.099709
312.00	0.10177
313.00	0.10383
314.00	0.10554
315.00	0.10739
316.00	0.10912
317.00	0.11075
318.00	0.11213
319.00	0.11321
320.00	0.11422
321.00	0.11506
322.00	0.11549
323.00	0.11558
324.00	0.11546
325.00	0.11497
326.00	0.11414
327.00	0.11294
328.00	0.11158
329.00	0.11011
330.00	0.10846
331.00	0.10684
332.00	0.10533
333.00	0.10406
334.00	0.10314
335.00	0.10258
336.00	0.10220
337.00	0.10218
338.00	0.10242
339.00	0.10294
340.00	0.10362
341.00	0.10446
342.00	0.10528
343.00	0.10626
344.00	0.10742
345.00	0.10885
346.00	0.11035
347.00	0.11193
348.00	0.11378
349.00	0.11590
350.00	0.11830
351.00	0.12091
352.00	0.12362
353.00	0.12651
354.00	0.12950
355.00	0.13265
356.00	0.13560
357.00	0.13838
358.00	0.14086
359.00	0.14315
360.00	0.14524
361.00	0.14684
362.00	0.14844
363.00	0.14999
364.00	0.15137
365.00	0.15295
366.00	0.15476
367.00	0.15672
368.00	0.15887
369.00	0.16116
370.00	0.16343
371.00	0.16552
372.00	0.16801
373.00	0.17094
374.00	0.17432
375.00	0.17839
376.00	0.18332
377.00	0.18882
378.00	0.19547
379.00	0.20311
380.00	0.21170
381.00	0.22190
382.00	0.23349
383.00	0.24668
384.00	0.26134
385.00	0.27715
386.00	0.29374
387.00	0.31130
388.00	0.32863
389.00	0.34517
390.00	0.35980
391.00	0.37359
392.00	0.38612
393.00	0.39670
394.00	0.40537
395.00	0.41369
396.00	0.42296
397.00	0.43412
398.00	0.44928
399.00	0.46701
400.00	0.49015
401.00	0.51991
402.00	0.55640
403.00	0.59923
404.00	0.64926
405.00	0.70276
406.00	0.75809
407.00	0.81208
408.00	0.86664
409.00	0.91831
410.00	0.95760
411.00	0.98612
412.00	1.0000
413.00	0.99291
414.00	0.96292
415.00	0.90907
416.00	0.83358
417.00	0.74142
418.00	0.63818
419.00	0.53319
420.00	0.43110
421.00	0.33849
422.00	0.26195
423.00	0.20135
424.00	0.15056
425.00	0.11214
426.00	0.084133
427.00	0.063231
428.00	0.048539
429.00	0.037900
430.00	0.030685
431.00	0.026069
432.00	0.022219
433.00	0.019118
434.00	0.017057
435.00	0.015456
436.00	0.014414
437.00	0.013558
438.00	0.012902
439.00	0.012318
440.00	0.011615
441.00	0.011173
442.00	0.010570
443.00	0.010421
444.00	0.010220
445.00	0.0097806
446.00	0.0096351
447.00	0.0093230
448.00	0.0092613
449.00	0.0092252
450.00	0.0090339
451.00	0.0088902
452.00	0.0087271
453.00	0.0086002
454.00	0.0086160
455.00	0.0085129
456.00	0.0084036
457.00	0.0086310
458.00	0.0086707
459.00	0.0087615
460.00	0.0090145
461.00	0.0091476
462.00	0.0091599
463.00	0.0093759
464.00	0.0097638
465.00	0.010190
466.00	0.010443
467.00	0.010562
468.00	0.010950
469.00	0.011007
470.00	0.011016
471.00	0.011149
472.00	0.011401
473.00	0.011760
474.00	0.011981
475.00	0.012159
476.00	0.012218
477.00	0.012081
478.00	0.012083
479.00	0.012039
480.00	0.012108
481.00	0.012215
482.00	0.012170
483.00	0.012259
484.00	0.012183
485.00	0.012493
486.00	0.013480
487.00	0.013060
488.00	0.012612
489.00	0.012699
490.00	0.012965
491.00	0.013267
492.00	0.013533
493.00	0.014337
494.00	0.014853
495.00	0.015457
496.00	0.016420
497.00	0.017127
498.00	0.017772
499.00	0.018577
500.00	0.019294
501.00	0.020209
502.00	0.020990
503.00	0.021527
504.00	0.022097
