Wavelength (nm)	ZnC-E3A13 (SE291)
300.00	0.10184
301.00	0.10182
302.00	0.10158
303.00	0.10176
304.00	0.10240
305.00	0.10318
306.00	0.10386
307.00	0.10460
308.00	0.10565
309.00	0.10682
310.00	0.10767
311.00	0.10888
312.00	0.10985
313.00	0.11079
314.00	0.11203
315.00	0.11305
316.00	0.11426
317.00	0.11545
318.00	0.11668
319.00	0.11804
320.00	0.11954
321.00	0.12095
322.00	0.12239
323.00	0.12372
324.00	0.12482
325.00	0.12591
326.00	0.12689
327.00	0.12753
328.00	0.12826
329.00	0.12894
330.00	0.12958
331.00	0.13033
332.00	0.13108
333.00	0.13185
334.00	0.13253
335.00	0.13316
336.00	0.13374
337.00	0.13400
338.00	0.13410
339.00	0.13394
340.00	0.13361
341.00	0.13303
342.00	0.13250
343.00	0.13192
344.00	0.13159
345.00	0.13160
346.00	0.13192
347.00	0.13264
348.00	0.13362
349.00	0.13473
350.00	0.13627
351.00	0.13818
352.00	0.14010
353.00	0.14227
354.00	0.14448
355.00	0.14686
356.00	0.14951
357.00	0.15216
358.00	0.15499
359.00	0.15784
360.00	0.16077
361.00	0.16429
362.00	0.16797
363.00	0.17145
364.00	0.17501
365.00	0.17855
366.00	0.18215
367.00	0.18555
368.00	0.18920
369.00	0.19250
370.00	0.19558
371.00	0.19847
372.00	0.20129
373.00	0.20413
374.00	0.20680
375.00	0.20937
376.00	0.21171
377.00	0.21412
378.00	0.21663
379.00	0.21917
380.00	0.22206
381.00	0.22566
382.00	0.22965
383.00	0.23471
384.00	0.24097
385.00	0.24822
386.00	0.25667
387.00	0.26657
388.00	0.27766
389.00	0.28987
390.00	0.30297
391.00	0.31712
392.00	0.33179
393.00	0.34586
394.00	0.35988
395.00	0.37264
396.00	0.38441
397.00	0.39489
398.00	0.40338
399.00	0.41026
400.00	0.41601
401.00	0.42064
402.00	0.42647
403.00	0.43281
404.00	0.44197
405.00	0.45378
406.00	0.46963
407.00	0.48966
408.00	0.51544
409.00	0.54800
410.00	0.58484
411.00	0.62743
412.00	0.67592
413.00	0.72688
414.00	0.77927
415.00	0.83046
416.00	0.87912
417.00	0.92346
418.00	0.95965
419.00	0.98539
420.00	0.99977
421.00	1.00000
422.00	0.98168
423.00	0.94627
424.00	0.89503
425.00	0.82845
426.00	0.75050
427.00	0.66212
428.00	0.57392
429.00	0.48366
430.00	0.40025
431.00	0.32983
432.00	0.26673
433.00	0.20948
434.00	0.16525
435.00	0.13247
436.00	0.10554
437.00	0.084824
438.00	0.069316
439.00	0.057764
440.00	0.049078
441.00	0.042019
442.00	0.036957
443.00	0.033177
444.00	0.029871
445.00	0.027486
446.00	0.025219
447.00	0.023432
448.00	0.021830
449.00	0.020353
450.00	0.019135
451.00	0.017934
452.00	0.017020
453.00	0.016073
454.00	0.015245
455.00	0.014393
456.00	0.013764
457.00	0.013318
458.00	0.012724
459.00	0.012277
460.00	0.011810
461.00	0.011605
462.00	0.011398
463.00	0.011282
464.00	0.011119
465.00	0.010961
466.00	0.011163
467.00	0.011225
468.00	0.011433
469.00	0.011620
470.00	0.011995
471.00	0.012173
472.00	0.012520
473.00	0.012858
474.00	0.013122
475.00	0.013499
476.00	0.013969
477.00	0.014241
478.00	0.014466
479.00	0.014778
480.00	0.014977
481.00	0.014953
482.00	0.015189
483.00	0.015396
484.00	0.015328
485.00	0.015322
486.00	0.015216
487.00	0.015179
488.00	0.015148
489.00	0.015060
490.00	0.015046
491.00	0.015050
492.00	0.014998
493.00	0.015001
494.00	0.015012
495.00	0.014984
496.00	0.015230
497.00	0.015368
498.00	0.015652
499.00	0.016012
500.00	0.016413
501.00	0.016954
502.00	0.017642
503.00	0.018528
504.00	0.019363
505.00	0.020403
506.00	0.021231
507.00	0.022323
508.00	0.023392
509.00	0.024190
510.00	0.024957
511.00	0.025623
512.00	0.026189
513.00	0.026574
514.00	0.026927
515.00	0.027064
516.00	0.027160
517.00	0.027149
518.00	0.026890
519.00	0.026649
520.00	0.026445
521.00	0.025776
522.00	0.025310
523.00	0.024715
524.00	0.024151
525.00	0.023384
526.00	0.022625
527.00	0.022150
528.00	0.021399
529.00	0.020588
530.00	0.019887
531.00	0.019216
532.00	0.018699
533.00	0.018157
534.00	0.017737
535.00	0.017392
536.00	0.017188
537.00	0.017183
538.00	0.017289
539.00	0.017559
540.00	0.017995
541.00	0.018559
542.00	0.019413
543.00	0.020304
544.00	0.021424
545.00	0.022785
546.00	0.024049
547.00	0.025507
548.00	0.027052
549.00	0.028533
550.00	0.029985
551.00	0.031311
552.00	0.032484
553.00	0.033497
554.00	0.034415
555.00	0.035186
556.00	0.035675
557.00	0.036270
558.00	0.036574
559.00	0.036859
560.00	0.037030
561.00	0.036965
562.00	0.036828
563.00	0.036664
564.00	0.036294
565.00	0.035767
566.00	0.035187
567.00	0.034494
568.00	0.033481
569.00	0.032668
570.00	0.031784
571.00	0.030894
572.00	0.030033
573.00	0.029173
574.00	0.028529
575.00	0.028013
576.00	0.027657
577.00	0.027427
578.00	0.027474
579.00	0.027731
580.00	0.028492
581.00	0.029869
582.00	0.031486
583.00	0.033723
584.00	0.037074
585.00	0.040882
586.00	0.044852
587.00	0.049523
588.00	0.054003
589.00	0.058417
590.00	0.062600
591.00	0.066291
592.00	0.069620
593.00	0.072414
594.00	0.074888
595.00	0.077289
596.00	0.079503
597.00	0.081617
598.00	0.083593
599.00	0.085197
600.00	0.086493
601.00	0.087164
602.00	0.087403
603.00	0.087212
604.00	0.086780
605.00	0.085885
606.00	0.084583
607.00	0.083089
608.00	0.081494
609.00	0.079703
610.00	0.077756
611.00	0.076082
612.00	0.074741
613.00	0.073724
614.00	0.073339
615.00	0.073332
616.00	0.073494
617.00	0.073886
618.00	0.074029
619.00	0.073907
620.00	0.073403
621.00	0.072612
622.00	0.071349
623.00	0.070250
624.00	0.069394
625.00	0.069048
626.00	0.069701
627.00	0.071465
628.00	0.074375
629.00	0.078343
630.00	0.083314
631.00	0.089281
632.00	0.096844
633.00	0.10574
634.00	0.11731
635.00	0.13227
636.00	0.15155
637.00	0.17700
638.00	0.21037
639.00	0.25162
640.00	0.30245
641.00	0.36287
642.00	0.43037
643.00	0.50200
644.00	0.57501
645.00	0.64395
646.00	0.70243
647.00	0.74490
648.00	0.76760
649.00	0.76794
650.00	0.74444
651.00	0.70110
652.00	0.64037
653.00	0.56913
654.00	0.49515
655.00	0.39999
656.00	0.32761
