Wavelength (nm)	L214 FbC-P3M10 (SE243).ems
580.00	0.00034868
580.20	0.00025048
580.40	0.00026528
580.60	5.8963e-05
580.80	0.00031454
581.00	0.00031951
581.20	0.00026547
581.40	7.8682e-05
581.60	0.00014262
581.80	0.00021152
582.00	0.00020168
582.20	0.00013779
582.40	0.00027069
582.60	0.00023134
582.80	0.00021664
583.00	0.00019695
583.20	5.9107e-05
583.40	0.00030543
583.60	0.00033998
583.80	0.00045831
584.00	0.00016758
584.20	0.00026127
584.40	0.00020216
584.60	0.00016769
584.80	0.00030089
585.00	0.00027134
585.20	0.00023694
585.40	0.00012348
585.60	0.00035092
585.80	0.00039563
586.00	0.00023753
586.20	0.00026243
586.40	0.00029725
586.60	0.00013882
586.80	0.00024305
587.00	0.00021341
587.20	0.00040726
587.40	0.00047212
587.60	0.00022375
587.80	0.00035325
588.00	0.00035842
588.20	0.00054298
588.40	0.00030904
588.60	0.00024937
588.80	0.00014971
589.00	0.00031458
589.20	0.00049465
589.40	0.00040493
589.60	0.00039520
589.80	0.00010009
590.00	0.00044575
590.20	0.00029562
590.40	0.00033083
590.60	0.00032596
590.80	0.00036122
591.00	0.00040156
591.20	0.00029626
591.40	0.00046721
591.60	0.00042218
591.80	0.00051289
592.00	0.00050304
592.20	0.00056871
592.40	0.00047330
592.60	0.00048358
592.80	0.00049386
593.00	0.00066553
593.20	0.00022193
593.40	0.00033811
593.60	0.00063611
593.80	0.00053539
594.00	0.00051541
594.20	0.00037913
594.40	0.00050573
594.60	0.00038452
594.80	0.00059731
595.00	0.00051653
595.20	0.00045086
595.40	0.00033952
595.60	0.00011150
595.80	0.00051726
596.00	0.00032467
596.20	0.00050241
596.40	0.00054829
596.60	0.00029453
596.80	0.00049790
597.00	0.00027951
597.20	0.00047791
597.40	0.00063068
597.60	0.00071738
597.80	0.00029518
598.00	0.00071788
598.20	0.00054499
598.40	0.00023437
598.60	0.00061673
598.80	0.00061696
599.00	0.00065285
599.20	0.00070414
599.40	0.00055123
599.60	0.00036252
599.80	0.00051587
600.00	0.00060803
600.20	0.00053186
600.40	0.00050159
600.60	0.00063012
600.80	0.00059476
601.00	0.00061067
601.20	0.00057524
601.40	0.00050891
601.60	0.00044758
601.80	0.00057154
602.00	0.00049472
602.20	0.00062925
602.40	0.00077950
602.60	0.00068716
602.80	0.00065155
603.00	0.00090571
603.20	0.00063712
603.40	0.00075691
603.60	0.00059151
603.80	0.00062834
604.00	0.00083159
604.20	0.00088433
604.40	0.00076012
604.60	0.00076594
604.80	0.00078223
605.00	0.00081944
605.20	0.0010400
605.40	0.0010700
605.60	0.00093673
605.80	0.00074899
606.00	0.00086497
606.20	0.00096541
606.40	0.0011200
606.60	0.00081990
606.80	0.0011600
607.00	0.0011100
607.20	0.00096433
607.40	0.00090714
607.60	0.0012600
607.80	0.0010400
608.00	0.0010200
608.20	0.0013400
608.40	0.0014200
608.60	0.0016100
608.80	0.0014000
609.00	0.0012300
609.20	0.0012200
609.40	0.0015700
609.60	0.0014400
609.80	0.0016700
610.00	0.0015800
610.20	0.0017700
610.40	0.0017300
610.60	0.0019400
610.80	0.0016200
611.00	0.0018400
611.20	0.0018900
611.40	0.0017800
611.60	0.0021300
611.80	0.0017800
612.00	0.0019700
612.20	0.0019700
612.40	0.0018300
612.60	0.0021000
612.80	0.0021500
613.00	0.0021800
613.20	0.0022300
613.40	0.0024600
613.60	0.0022200
613.80	0.0026200
614.00	0.0022900
614.20	0.0024600
614.40	0.0027900
614.60	0.0026600
614.80	0.0028300
615.00	0.0027000
615.20	0.0027600
615.40	0.0030300
615.60	0.0027400
615.80	0.0029700
616.00	0.0030600
616.20	0.0030500
616.40	0.0032100
616.60	0.0036000
616.80	0.0034600
617.00	0.0031400
617.20	0.0030800
617.40	0.0035500
617.60	0.0035600
617.80	0.0039500
618.00	0.0038800
618.20	0.0034700
618.40	0.0040100
618.60	0.0043400
618.80	0.0045900
619.00	0.0046600
619.20	0.0051000
619.40	0.0045400
619.60	0.0051500
619.80	0.0051500
620.00	0.0057700
620.20	0.0049800
620.40	0.0057300
620.60	0.0061700
620.80	0.0061900
621.00	0.0067900
621.20	0.0073900
621.40	0.0072300
621.60	0.0082400
621.80	0.0086300
622.00	0.0087200
622.20	0.0082700
622.40	0.0099600
622.60	0.010410
622.80	0.011260
623.00	0.011400
623.20	0.012580
623.40	0.012670
623.60	0.012740
623.80	0.014160
624.00	0.014990
624.20	0.016160
624.40	0.016150
624.60	0.017570
624.80	0.019280
625.00	0.019420
625.20	0.020860
625.40	0.022480
625.60	0.022900
625.80	0.023320
626.00	0.024530
626.20	0.026690
626.40	0.026850
626.60	0.027990
626.80	0.029710
627.00	0.031590
627.20	0.031930
627.40	0.034290
627.60	0.036140
627.80	0.037030
628.00	0.038140
628.20	0.040140
628.40	0.041470
628.60	0.043770
628.80	0.045770
629.00	0.048230
629.20	0.050520
629.40	0.052380
629.60	0.052600
629.80	0.057410
630.00	0.060730
630.20	0.062840
630.40	0.066630
630.60	0.068940
630.80	0.071710
631.00	0.076580
631.20	0.078960
631.40	0.085900
631.60	0.089620
631.80	0.094710
632.00	0.098090
632.20	0.10367
632.40	0.10871
632.60	0.11606
632.80	0.12440
633.00	0.12949
633.20	0.14000
633.40	0.14983
633.60	0.15633
633.80	0.16743
634.00	0.17583
634.20	0.18803
634.40	0.20054
634.60	0.21145
634.80	0.22386
635.00	0.23971
635.20	0.25192
635.40	0.27186
635.60	0.28689
635.80	0.30559
636.00	0.32221
636.20	0.33665
636.40	0.35861
636.60	0.37825
636.80	0.39683
637.00	0.42042
637.20	0.43232
637.40	0.45747
637.60	0.48712
637.80	0.50695
638.00	0.53754
638.20	0.54884
638.40	0.57204
638.60	0.59291
638.80	0.62136
639.00	0.64234
639.20	0.67291
639.40	0.68494
639.60	0.70809
639.80	0.72817
640.00	0.75216
640.20	0.77436
640.40	0.79263
640.60	0.81396
640.80	0.82631
641.00	0.85208
641.20	0.86671
641.40	0.88327
641.60	0.89511
641.80	0.90991
642.00	0.92187
642.20	0.94158
642.40	0.95403
642.60	0.96055
642.80	0.96777
643.00	0.97234
643.20	0.98604
643.40	0.98959
643.60	0.99376
643.80	1.0000
644.00	0.99820
644.20	0.99545
644.40	0.99895
644.60	0.99273
644.80	0.99617
645.00	0.99549
645.20	0.98791
645.40	0.98720
645.60	0.97323
645.80	0.96451
646.00	0.96405
646.20	0.95954
646.40	0.94091
646.60	0.93093
646.80	0.91843
647.00	0.90907
647.20	0.89400
647.40	0.88255
647.60	0.86455
647.80	0.85740
648.00	0.83799
648.20	0.82632
648.40	0.80504
648.60	0.78967
648.80	0.77093
649.00	0.75688
649.20	0.74139
649.40	0.72510
649.60	0.71331
649.80	0.69669
650.00	0.68136
650.20	0.66444
650.40	0.64779
650.60	0.63229
650.80	0.62345
651.00	0.60172
651.20	0.58700
651.40	0.57102
651.60	0.55980
651.80	0.54429
652.00	0.53143
652.20	0.51390
652.40	0.50471
652.60	0.48563
652.80	0.47703
653.00	0.46322
653.20	0.45014
653.40	0.44092
653.60	0.43106
653.80	0.42090
654.00	0.40943
654.20	0.39896
654.40	0.38611
654.60	0.38183
654.80	0.37015
655.00	0.36151
655.20	0.34834
655.40	0.34672
655.60	0.33587
655.80	0.32673
656.00	0.32112
656.20	0.31480
656.40	0.30998
656.60	0.29932
656.80	0.29282
657.00	0.28872
657.20	0.28343
657.40	0.26987
657.60	0.26662
657.80	0.26266
658.00	0.25688
658.20	0.24880
658.40	0.24582
658.60	0.23823
658.80	0.23221
659.00	0.23012
659.20	0.22188
659.40	0.21454
659.60	0.21149
659.80	0.20357
660.00	0.20081
660.20	0.19913
660.40	0.19223
660.60	0.19440
660.80	0.18710
661.00	0.18468
661.20	0.17488
661.40	0.17374
661.60	0.16889
661.80	0.16390
662.00	0.16183
662.20	0.15880
662.40	0.15204
662.60	0.15390
662.80	0.14513
663.00	0.14255
663.20	0.13951
663.40	0.13585
663.60	0.13394
663.80	0.12934
664.00	0.12741
664.20	0.12453
664.40	0.12219
664.60	0.12009
664.80	0.11825
665.00	0.11340
665.20	0.11309
665.40	0.10881
665.60	0.10661
665.80	0.10657
666.00	0.10296
666.20	0.10195
666.40	0.097980
666.60	0.095060
666.80	0.095360
667.00	0.091620
667.20	0.090760
667.40	0.092270
667.60	0.091110
667.80	0.087200
668.00	0.084890
668.20	0.086540
668.40	0.081700
668.60	0.084610
668.80	0.083280
669.00	0.083750
669.20	0.080690
669.40	0.079580
669.60	0.079050
669.80	0.079590
670.00	0.079270
670.20	0.077190
670.40	0.076870
670.60	0.076570
670.80	0.076180
671.00	0.075050
671.20	0.074970
671.40	0.076010
671.60	0.076020
671.80	0.074030
672.00	0.076530
672.20	0.073730
672.40	0.077590
672.60	0.075360
672.80	0.074570
673.00	0.076430
673.20	0.076200
673.40	0.075700
673.60	0.076660
673.80	0.075990
674.00	0.076220
674.20	0.074030
674.40	0.076480
674.60	0.075020
674.80	0.075560
675.00	0.074780
675.20	0.074810
675.40	0.075220
675.60	0.077720
675.80	0.075290
676.00	0.075910
676.20	0.074470
676.40	0.076600
676.60	0.071970
676.80	0.075230
677.00	0.078940
677.20	0.076640
677.40	0.077150
677.60	0.076810
677.80	0.076600
678.00	0.077480
678.20	0.078380
678.40	0.075760
678.60	0.074200
678.80	0.074960
679.00	0.076370
679.20	0.075170
679.40	0.074640
679.60	0.076320
679.80	0.075490
680.00	0.077350
680.20	0.074630
680.40	0.074690
680.60	0.074760
680.80	0.074890
681.00	0.073880
681.20	0.077460
681.40	0.075870
681.60	0.075690
681.80	0.074810
682.00	0.075240
682.20	0.071990
682.40	0.075320
682.60	0.073540
682.80	0.074890
683.00	0.076320
683.20	0.076000
683.40	0.074000
683.60	0.077260
683.80	0.074290
684.00	0.076040
684.20	0.075860
684.40	0.073210
684.60	0.074070
684.80	0.076950
685.00	0.076290
685.20	0.074690
685.40	0.073670
685.60	0.072760
685.80	0.071690
686.00	0.069540
686.20	0.074220
686.40	0.074540
686.60	0.073170
686.80	0.071500
687.00	0.075660
687.20	0.072450
687.40	0.073130
687.60	0.072920
687.80	0.072040
688.00	0.070370
688.20	0.066610
688.40	0.071460
688.60	0.068360
688.80	0.072640
689.00	0.067990
689.20	0.067440
689.40	0.071180
689.60	0.067710
689.80	0.067260
690.00	0.071040
690.20	0.068450
690.40	0.067100
690.60	0.065240
690.80	0.065460
691.00	0.064190
691.20	0.064520
691.40	0.065860
691.60	0.067210
691.80	0.065180
692.00	0.064540
692.20	0.066650
692.40	0.064420
692.60	0.061230
692.80	0.065550
693.00	0.063450
693.20	0.062500
693.40	0.061680
693.60	0.059740
693.80	0.062680
694.00	0.060780
694.20	0.063790
694.40	0.061780
694.60	0.063010
694.80	0.064220
695.00	0.060360
695.20	0.060350
695.40	0.064120
695.60	0.058800
695.80	0.061230
696.00	0.059400
696.20	0.060510
696.40	0.061310
696.60	0.062070
696.80	0.060730
697.00	0.060950
697.20	0.063150
697.40	0.060630
697.60	0.061730
697.80	0.065100
698.00	0.061770
698.20	0.063410
698.40	0.064170
698.60	0.062440
698.80	0.062100
699.00	0.062140
699.20	0.065260
699.40	0.063610
699.60	0.063670
699.80	0.062220
700.00	0.063160
700.20	0.062960
700.40	0.065300
700.60	0.064440
700.80	0.065350
701.00	0.061960
701.20	0.064940
701.40	0.065480
701.60	0.063830
701.80	0.065660
702.00	0.066110
702.20	0.065610
702.40	0.066110
702.60	0.068950
702.80	0.066490
703.00	0.066180
703.20	0.067710
703.40	0.067370
703.60	0.067210
703.80	0.063750
704.00	0.067220
704.20	0.067580
704.40	0.070500
704.60	0.067940
704.80	0.069640
705.00	0.069690
705.20	0.071030
705.40	0.071620
705.60	0.071700
705.80	0.071240
706.00	0.069470
706.20	0.073240
706.40	0.067770
706.60	0.068540
706.80	0.071140
707.00	0.071170
707.20	0.070200
707.40	0.071080
707.60	0.069680
707.80	0.071660
708.00	0.074740
708.20	0.071400
708.40	0.075580
708.60	0.071910
708.80	0.073110
709.00	0.072650
709.20	0.069300
709.40	0.072030
709.60	0.070960
