Wavelength (nm)	L214 ZnC-P3M10P13 (SE244).ems
575.00	0.00040617
575.20	0.00067722
575.40	0.00068546
575.60	0.00066975
575.80	0.00070986
576.00	0.00050268
576.20	0.00087802
576.40	0.00056691
576.60	0.00081475
576.80	0.00065528
577.00	0.00088737
577.20	0.00060780
577.40	0.00070399
577.60	0.00048017
577.80	0.00070451
578.00	0.00064873
578.20	0.00049673
578.40	0.00071330
578.60	0.00093812
578.80	0.00052138
579.00	0.00065792
579.20	0.00053776
579.40	0.00069056
579.60	0.00052214
579.80	0.00077949
580.00	0.0011700
580.20	0.00092464
580.40	0.0010800
580.60	0.00085257
580.80	0.0012700
581.00	0.0013000
581.20	0.00096570
581.40	0.0011300
581.60	0.0010600
581.80	0.0011800
582.00	0.0010400
582.20	0.0012800
582.40	0.0010700
582.60	0.00077358
582.80	0.0010200
583.00	0.0010400
583.20	0.0013500
583.40	0.00095966
583.60	0.0013300
583.80	0.0013600
584.00	0.0011700
584.20	0.0014700
584.40	0.0015100
584.60	0.0015400
584.80	0.0015400
585.00	0.0014300
585.20	0.0013300
585.40	0.0019400
585.60	0.0016600
585.80	0.0016800
586.00	0.0015900
586.20	0.0018500
586.40	0.0019100
586.60	0.0020900
586.80	0.0023400
587.00	0.0015700
587.20	0.0017100
587.40	0.0018400
587.60	0.0021300
587.80	0.0021300
588.00	0.0024800
588.20	0.0023300
588.40	0.0024000
588.60	0.0019700
588.80	0.0024100
589.00	0.0022000
589.20	0.0022400
589.40	0.0021000
589.60	0.0022800
589.80	0.0025100
590.00	0.0021600
590.20	0.0026500
590.40	0.0026600
590.60	0.0027000
590.80	0.0028700
591.00	0.0023900
591.20	0.0032300
591.40	0.0029100
591.60	0.0027300
591.80	0.0030500
592.00	0.0028200
592.20	0.0034200
592.40	0.0035300
592.60	0.0038600
592.80	0.0032800
593.00	0.0037200
593.20	0.0037200
593.40	0.0038900
593.60	0.0035400
593.80	0.0037900
594.00	0.0044300
594.20	0.0041500
594.40	0.0048900
594.60	0.0045700
594.80	0.0044600
595.00	0.0043400
595.20	0.0044600
595.40	0.0043900
595.60	0.0051900
595.80	0.0056900
596.00	0.0055000
596.20	0.0057200
596.40	0.0060700
596.60	0.0065400
596.80	0.0056800
597.00	0.0060100
597.20	0.0060800
597.40	0.0066800
597.60	0.0062500
597.80	0.0069600
598.00	0.0071800
598.20	0.0075800
598.40	0.0073800
598.60	0.0074700
598.80	0.0083500
599.00	0.0076100
599.20	0.0091600
599.40	0.0086400
599.60	0.0086200
599.80	0.010640
600.00	0.010380
600.20	0.010550
600.40	0.0095900
600.60	0.011570
600.80	0.011990
601.00	0.012050
601.20	0.013380
601.40	0.012260
601.60	0.014010
601.80	0.013390
602.00	0.015080
602.20	0.015660
