Wavelength (nm)	257 FbC-M10A13 (SE420)
300.00	0.098574
301.00	0.10083
302.00	0.10347
303.00	0.10636
304.00	0.10940
305.00	0.11245
306.00	0.11568
307.00	0.11873
308.00	0.12141
309.00	0.12405
310.00	0.12643
311.00	0.12840
312.00	0.12984
313.00	0.13109
314.00	0.13261
315.00	0.13423
316.00	0.13601
317.00	0.13838
318.00	0.14119
319.00	0.14468
320.00	0.14850
321.00	0.15242
322.00	0.15591
323.00	0.15904
324.00	0.16140
325.00	0.16270
326.00	0.16330
327.00	0.16312
328.00	0.16232
329.00	0.16121
330.00	0.16020
331.00	0.15954
332.00	0.15946
333.00	0.15972
334.00	0.16034
335.00	0.16157
336.00	0.16320
337.00	0.16497
338.00	0.16736
339.00	0.16987
340.00	0.17268
341.00	0.17562
342.00	0.17880
343.00	0.18192
344.00	0.18502
345.00	0.18800
346.00	0.19109
347.00	0.19392
348.00	0.19673
349.00	0.19987
350.00	0.20337
351.00	0.20759
352.00	0.21235
353.00	0.21794
354.00	0.22436
355.00	0.23210
356.00	0.24107
357.00	0.25090
358.00	0.26095
359.00	0.27225
360.00	0.28359
361.00	0.29474
362.00	0.30538
363.00	0.31438
364.00	0.32169
365.00	0.32710
366.00	0.33188
367.00	0.33627
368.00	0.33997
369.00	0.34300
370.00	0.34525
371.00	0.34657
372.00	0.34728
373.00	0.34768
374.00	0.34781
375.00	0.34751
376.00	0.34734
377.00	0.34758
378.00	0.34854
379.00	0.35095
380.00	0.35387
381.00	0.35731
382.00	0.36283
383.00	0.36898
384.00	0.37745
385.00	0.38621
386.00	0.39649
387.00	0.40976
388.00	0.42588
389.00	0.44352
390.00	0.46421
391.00	0.48807
392.00	0.51573
393.00	0.54482
394.00	0.57411
395.00	0.60610
396.00	0.64141
397.00	0.67244
398.00	0.70689
399.00	0.73439
400.00	0.75828
401.00	0.78033
402.00	0.79778
403.00	0.81734
404.00	0.83804
405.00	0.85871
406.00	0.87481
407.00	0.89226
408.00	0.91450
409.00	0.93645
410.00	0.95294
411.00	0.96785
412.00	0.98110
413.00	0.99434
414.00	0.99737
415.00	1.0000
416.00	0.99562
417.00	0.98751
418.00	0.97437
419.00	0.96149
420.00	0.93884
421.00	0.91075
422.00	0.86955
423.00	0.81948
424.00	0.75466
425.00	0.67760
426.00	0.59561
427.00	0.50391
428.00	0.42165
429.00	0.34249
430.00	0.27327
431.00	0.22160
432.00	0.17744
433.00	0.13555
434.00	0.10505
435.00	0.084063
