Wavelength (nm)	344 13 (FbC-A3,13Ar10)
300.00	0.21032
301.00	0.20779
302.00	0.20420
303.00	0.20041
304.00	0.19640
305.00	0.19241
306.00	0.18852
307.00	0.18532
308.00	0.18273
309.00	0.18058
310.00	0.17910
311.00	0.17822
312.00	0.17778
313.00	0.17772
314.00	0.17794
315.00	0.17851
316.00	0.17892
317.00	0.17961
318.00	0.18007
319.00	0.18083
320.00	0.18174
321.00	0.18259
322.00	0.18341
323.00	0.18474
324.00	0.18616
325.00	0.18741
326.00	0.18904
327.00	0.19072
328.00	0.19213
329.00	0.19364
330.00	0.19446
331.00	0.19521
332.00	0.19555
333.00	0.19552
334.00	0.19493
335.00	0.19404
336.00	0.19300
337.00	0.19209
338.00	0.19156
339.00	0.19123
340.00	0.19130
341.00	0.19191
342.00	0.19325
343.00	0.19487
344.00	0.19693
345.00	0.19982
346.00	0.20307
347.00	0.20627
348.00	0.21036
349.00	0.21447
350.00	0.21876
351.00	0.22363
352.00	0.22867
353.00	0.23363
354.00	0.23875
355.00	0.24384
356.00	0.24906
357.00	0.25402
358.00	0.25891
359.00	0.26434
360.00	0.26973
361.00	0.27542
362.00	0.28111
363.00	0.28708
364.00	0.29405
365.00	0.30130
366.00	0.30832
367.00	0.31552
368.00	0.32394
369.00	0.33298
370.00	0.34282
371.00	0.35286
372.00	0.36441
373.00	0.37723
374.00	0.39018
375.00	0.40442
376.00	0.41936
377.00	0.43355
378.00	0.44897
379.00	0.46431
380.00	0.47729
381.00	0.49049
382.00	0.50374
383.00	0.51422
384.00	0.52168
385.00	0.52639
386.00	0.52848
387.00	0.52915
388.00	0.52764
389.00	0.52393
390.00	0.51931
391.00	0.51454
392.00	0.50983
393.00	0.50634
394.00	0.50417
395.00	0.50461
396.00	0.50623
397.00	0.51022
398.00	0.51668
399.00	0.52390
400.00	0.53274
401.00	0.54542
402.00	0.55895
403.00	0.57356
404.00	0.59174
405.00	0.61095
406.00	0.63118
407.00	0.65244
408.00	0.67854
409.00	0.70118
410.00	0.72557
411.00	0.75017
412.00	0.77461
413.00	0.79601
414.00	0.81599
415.00	0.83617
416.00	0.85475
417.00	0.86968
418.00	0.88391
419.00	0.89474
420.00	0.90591
421.00	0.91641
422.00	0.92422
423.00	0.93096
424.00	0.93826
425.00	0.94634
426.00	0.95251
427.00	0.96340
428.00	0.97287
429.00	0.98278
430.00	0.99056
431.00	0.99647
432.00	1.0005
433.00	1.0000
434.00	0.99249
435.00	0.98081
436.00	0.96050
437.00	0.93455
438.00	0.89819
439.00	0.85476
440.00	0.80104
441.00	0.74792
442.00	0.68489
443.00	0.61982
444.00	0.55331
445.00	0.48638
446.00	0.42527
447.00	0.36750
448.00	0.31402
449.00	0.26798
450.00	0.22719
451.00	0.19144
452.00	0.16162
453.00	0.13631
454.00	0.11534
455.00	0.098705
456.00	0.085174
457.00	0.073773
458.00	0.065120
459.00	0.058599
460.00	0.052832
461.00	0.048415
462.00	0.045034
463.00	0.041943
464.00	0.039642
465.00	0.037480
466.00	0.036581
467.00	0.035400
468.00	0.034015
469.00	0.033462
470.00	0.033124
471.00	0.033119
472.00	0.033179
473.00	0.033022
474.00	0.033545
