Wavelength (nm)	L329 ZnC-Es3,13 (SE335).abs

350.00	0.15542
350.20	0.15850
350.40	0.16090
350.60	0.16095
350.80	0.16297
351.00	0.16252
351.20	0.16406
351.40	0.16709
351.60	0.16691
351.80	0.16595
352.00	0.16840
352.20	0.17083
352.40	0.17072
352.60	0.16974
352.80	0.17549
353.00	0.17652
353.20	0.17331
353.40	0.17493
353.60	0.17840
353.80	0.17923
354.00	0.17290
354.20	0.17809
354.40	0.17884
354.60	0.17667
354.80	0.17691
355.00	0.18095
355.20	0.18466
355.40	0.18216
355.60	0.18206
355.80	0.18213
356.00	0.18073
356.20	0.18409
356.40	0.18365
356.60	0.18470
356.80	0.18150
357.00	0.18588
357.20	0.18445
357.40	0.18672
357.60	0.18551
357.80	0.18676
358.00	0.18826
358.20	0.18707
358.40	0.18704
358.60	0.18714
358.80	0.19011
359.00	0.18924
359.20	0.18836
359.40	0.18648
359.60	0.19271
359.80	0.19088
360.00	0.19114
360.20	0.19107
360.40	0.19365
360.60	0.19173
360.80	0.19313
361.00	0.19494
361.20	0.19248
361.40	0.19302
361.60	0.19724
361.80	0.19485
362.00	0.19425
362.20	0.19687
362.40	0.19709
362.60	0.19259
362.80	0.19884
363.00	0.19737
363.20	0.19620
363.40	0.19875
363.60	0.20111
363.80	0.19925
364.00	0.20018
364.20	0.20078
364.40	0.19990
364.60	0.20106
364.80	0.20109
365.00	0.20205
365.20	0.20159
365.40	0.20325
365.60	0.20508
365.80	0.20424
366.00	0.20467
366.20	0.20707
366.40	0.20623
366.60	0.20595
366.80	0.20564
367.00	0.20805
367.20	0.20670
367.40	0.20403
367.60	0.20684
367.80	0.20753
368.00	0.20844
368.20	0.21054
368.40	0.21354
368.60	0.21012
368.80	0.21425
369.00	0.21628
369.20	0.21442
369.40	0.21396
369.60	0.21625
369.80	0.21574
370.00	0.21193
370.20	0.21426
370.40	0.21743
370.60	0.21855
370.80	0.21892
371.00	0.21919
371.20	0.21933
371.40	0.22215
371.60	0.22081
371.80	0.22085
372.00	0.22058
372.20	0.22232
372.40	0.22128
372.60	0.22050
372.80	0.22467
373.00	0.22631
373.20	0.22355
373.40	0.22633
373.60	0.22580
373.80	0.22512
374.00	0.22410
374.20	0.22806
374.40	0.22505
374.60	0.22362
374.80	0.22748
375.00	0.22593
375.20	0.22714
375.40	0.22944
375.60	0.22868
375.80	0.22678
376.00	0.22781
376.20	0.22911
376.40	0.22774
376.60	0.22788
376.80	0.23181
377.00	0.22860
377.20	0.22969
377.40	0.23135
377.60	0.23028
377.80	0.22998
378.00	0.23016
378.20	0.23202
378.40	0.23003
378.60	0.22972
378.80	0.22886
379.00	0.23018
379.20	0.22909
379.40	0.23095
379.60	0.23166
379.80	0.23000
380.00	0.22877
380.20	0.23105
380.40	0.23215
380.60	0.23090
380.80	0.23177
381.00	0.23113
381.20	0.23017
381.40	0.22991
381.60	0.22992
381.80	0.22825
382.00	0.22985
382.20	0.23168
382.40	0.22885
382.60	0.22982
382.80	0.23004
383.00	0.22988
383.20	0.22759
383.40	0.22971
383.60	0.23167
383.80	0.22777
384.00	0.22936
384.20	0.23126
384.40	0.22869
384.60	0.22965
384.80	0.22942
385.00	0.23073
385.20	0.23315
385.40	0.23258
385.60	0.23076
385.80	0.22867
386.00	0.23018
386.20	0.23088
386.40	0.22955
386.60	0.23088
386.80	0.23078
387.00	0.23042
387.20	0.23107
387.40	0.23235
387.60	0.23275
