Wavelength (nm)	L329 ZnC-Es3,13 (SE335).ems
550	0.00020265
550.2	0.0003714
550.4	0.00044304
550.6	0.00045977
550.8	0.00040852
551	0.00080205
551.2	0.00047321
551.4	0.00064074
551.6	0.00049632
551.8	0.00042637
552	0.00071735
552.2	0.0003314
552.4	0.0004504
552.6	0.00072846
552.8	0.00048231
553	0.00055802
553.2	0.0006785
553.4	0.00047022
553.6	0.00049793
553.8	0.00036929
554	0.00065153
554.2	0.00039014
554.4	0.00049497
554.6	0.00059456
554.8	0.00034324
555	0.00078726
555.2	0.00046523
555.4	0.00057363
555.6	0.00044617
555.8	0.00056278
556	0.00048554
556.2	0.00069321
556.4	0.00067226
556.6	0.0007284
556.8	0.00064439
557	0.00028742
557.2	0.00055049
557.4	0.00047159
557.6	0.00030368
557.8	0.00062494
558	0.00074716
558.2	0.00044753
558.4	0.00057624
558.6	0.00052506
558.8	0.00046689
559	0.00059661
559.2	0.00047375
559.4	0.00045855
559.6	0.00046244
559.8	0.00055259
560	0.00064983
560.2	0.00053758
560.4	0.00047583
560.6	0.00057352
560.8	0.00062323
561	0.00034776
561.2	0.00054745
561.4	0.00038489
561.6	0.00062962
561.8	0.00042134
562	0.00043956
562.2	0.00031393
562.4	0.00042652
562.6	0.00086633
562.8	0.00041175
563	0.00076179
563.2	0.00043715
563.4	0.00055499
563.6	0.00060764
563.8	0.00070089
564	0.00049337
564.2	0.0004169
564.4	0.0005376
564.6	0.00056071
564.8	0.00039805
565	0.00050054
565.2	0.00033673
565.4	0.00090437
565.6	0.00065977
565.8	0.00049484
566	0.00055965
566.2	0.00063776
566.4	0.00044471
566.6	0.00041782
566.8	0.00045648
567	0.00070439
567.2	0.00049083
567.4	0.00056674
567.6	0.00067617
567.8	0.00032739
568	0.00052444
568.2	0.00038304
568.4	0.00049757
568.6	0.00043413
568.8	0.00034691
569	0.00048102
569.2	0.00052737
569.4	0.00053103
569.6	0.00038161
569.8	0.000556
570	0.00060782
570.2	0.0005248
570.4	0.00077829
570.6	0.00066488
570.8	0.00026995
571	0.0004677
571.2	0.00041298
571.4	0.00062793
571.6	0.00057724
571.8	0.00067643
572	0.00062568
572.2	0.00047388
572.4	0.00083286
572.6	0.00053947
572.8	0.00043745
573	0.00026516
573.2	0.00048857
573.4	0.00070861
573.6	0.00035065
573.8	0.00069613
574	0.00067639
574.2	0.00062768
574.4	0.0005544
574.6	0.00041819
574.8	0.00077008
575	0.00064234
575.2	0.00053491
575.4	0.00046209
575.6	0.0005235
575.8	0.00054746
576	0.00050641
576.2	0.0005861
576.4	0.00041202
576.6	0.00049538
576.8	0.00077228
577	0.00091648
577.2	0.00053522
577.4	0.00053363
577.6	0.00074041
577.8	0.00058453
578	0.00068263
578.2	0.00060803
578.4	0.00074713
578.6	0.0005747
578.8	0.0003727
579	0.00063826
579.2	0.00053598
579.4	0.00080292
579.6	0.00074257
579.8	0.00070953
580	0.00043725
580.2	0.00064913
580.4	0.00047012
580.6	0.00075949
580.8	0.00054778
581	0.00069999
581.2	0.00061965
581.4	0.00045275
581.6	0.00047293
581.8	0.00042528
582	0.00070679
582.2	0.00055862
582.4	0.00058467
582.6	0.00058277
582.8	0.00067018
583	0.00064532
583.2	0.00056786
583.4	0.00030907
583.6	0.00039476
583.8	0.00057515
584	0.00047145
584.2	0.00062615
584.4	0.00062619
584.6	0.00046035
584.8	0.00067163
585	0.00077047
585.2	0.00050501
585.4	0.00060192
585.6	0.00063979
585.8	0.0005459
586	0.00044585
586.2	0.00056039
586.4	0.00044558
586.6	0.00046605
586.8	0.0003679
587	0.0006467
587.2	0.00069054
587.4	0.00096717
587.6	0.00061757
587.8	0.00081691
588	0.00051467
588.2	0.00055451
588.4	0.00057998
588.6	0.00053445
588.8	0.00042934
589	0.0005747
589.2	0.00055923
589.4	0.00041206
589.6	0.00104
589.8	0.00047918
590	0.00031431
590.2	0.00093621
590.4	0.000652
590.6	0.00092176
590.8	0.00103
591	0.00059884
591.2	0.00053371
591.4	0.00057534
591.6	0.0006975
591.8	0.00073902
592	0.00044225
592.2	0.00066144
592.4	0.00089118
592.6	0.00102
592.8	0.00079607
593	0.00057774
593.2	0.00039746
593.4	0.00053213
593.6	0.00069191
593.8	0.00061328
594	0.00060749
594.2	0.00069176
594.4	0.00118
594.6	0.00067774
594.8	0.0005534
595	0.00060862
595.2	0.00070563
595.4	0.0009209
595.6	0.00083449
595.8	0.0007043
596	0.00055634
596.2	0.000643
596.4	0.00068929
596.6	0.00078711
596.8	0.00079952
597	0.00074551
597.2	0.00080111
597.4	0.00074735
597.6	0.00079413
597.8	0.00087491
598	0.00069656
598.2	0.00115
598.4	0.00099631
598.6	0.00073748
598.8	0.0006387
599	0.00066292
599.2	0.00080076
599.4	0.00066996
599.6	0.00089417
599.8	0.00068866
600	0.00090485
600.2	0.00112
600.4	0.00102
600.6	0.00099688
600.8	0.0007337
601	0.00069309
601.2	0.0009312
601.4	0.00081309
601.6	0.00125
601.8	0.00095076
602	0.00089058
602.2	0.00099254
602.4	0.00082515
602.6	0.00083859
602.8	0.00090236
603	0.00103
603.2	0.0008613
603.4	0.00105
603.6	0.0013
603.8	0.001
604	0.00083074
604.2	0.00103
604.4	0.00085282
604.6	0.00102
604.8	0.00101
605	0.00108
605.2	0.00144
605.4	0.00117
605.6	0.00113
605.8	0.00131
606	0.00123
606.2	0.00067646
606.4	0.0011
606.6	0.00128
606.8	0.00125
607	0.0012
