Wavelength (nm)	L267 FbC-M10Es13 (SE343).ems
600.00	0.00077800
600.20	0.00092570
600.40	0.00050597
600.60	0.00078607
600.80	0.0013491
601.00	0.00086733
601.20	0.0013201
601.40	0.00097645
601.60	0.00088585
601.80	0.00093397
602.00	0.00082736
602.20	0.0012316
602.40	0.00071522
602.60	0.0011135
602.80	0.00098786
603.00	0.00089893
603.20	0.00088136
603.40	0.0010895
603.60	0.00098250
603.80	0.0010999
604.00	0.0010083
604.20	0.00096489
604.40	0.00073800
604.60	0.00077307
604.80	0.0012293
605.00	0.00063684
605.20	0.00099451
605.40	0.00098739
605.60	0.00084826
605.80	0.0012716
606.00	0.00094221
606.20	0.0016194
606.40	0.0011978
606.60	0.00073085
606.80	0.0013631
607.00	0.0011701
607.20	0.00076421
607.40	0.0010283
607.60	0.0012545
607.80	0.0014608
608.00	0.0012637
608.20	0.0013712
608.40	0.0011520
608.60	0.0012254
608.80	0.00090415
609.00	0.0011378
609.20	0.0012010
609.40	0.0011133
609.60	0.0012976
609.80	0.0013127
610.00	0.0010084
610.20	0.00096240
610.40	0.0012025
610.60	0.0013798
610.80	0.0012549
611.00	0.0013433
611.20	0.0010171
611.40	0.0013277
611.60	0.0013627
611.80	0.00090506
612.00	0.0012550
612.20	0.0011915
612.40	0.0011506
612.60	0.00092794
612.80	0.0014700
613.00	0.0011314
613.20	0.0012921
613.40	0.0014318
613.60	0.0015601
613.80	0.0021016
614.00	0.0013038
614.20	0.0011622
614.40	0.0015141
614.60	0.00095931
614.80	0.0012889
615.00	0.0012589
615.20	0.0010829
615.40	0.0012403
615.60	0.0017098
615.80	0.0012976
616.00	0.0011041
616.20	0.0013547
616.40	0.0015341
616.60	0.0015956
616.80	0.0020247
617.00	0.0013920
617.20	0.0016198
617.40	0.0016659
617.60	0.0015358
617.80	0.0013701
618.00	0.0012833
618.20	0.0017970
618.40	0.0022834
618.60	0.0020857
618.80	0.0020618
619.00	0.0017379
619.20	0.0019285
619.40	0.0016514
619.60	0.0018744
619.80	0.0023969
620.00	0.0019593
620.20	0.0023624
620.40	0.0023566
620.60	0.0020061
620.80	0.0025474
621.00	0.0016258
621.20	0.0020977
621.40	0.0025488
621.60	0.0020809
621.80	0.0024815
622.00	0.0027422
622.20	0.0022078
622.40	0.0023845
622.60	0.0018307
622.80	0.0029796
623.00	0.0020651
623.20	0.0027803
623.40	0.0028232
623.60	0.0024764
623.80	0.0029329
624.00	0.0022223
624.20	0.0031167
624.40	0.0031096
624.60	0.0032356
624.80	0.0028663
625.00	0.0027590
625.20	0.0032582
625.40	0.0031171
625.60	0.0029790
625.80	0.0033610
626.00	0.0031565
626.20	0.0035136
626.40	0.0024752
626.60	0.0034055
626.80	0.0028900
627.00	0.0038102
627.20	0.0035248
627.40	0.0036711
627.60	0.0038396
627.80	0.0035047
628.00	0.0041392
628.20	0.0031018
628.40	0.0038937
628.60	0.0040450
628.80	0.0040491
629.00	0.0038563
629.20	0.0041429
629.40	0.0044247
629.60	0.0040725
629.80	0.0043539
630.00	0.0045657
630.20	0.0045303
630.40	0.0046646
630.60	0.0053402
630.80	0.0044683
631.00	0.0058011
631.20	0.0067392
631.40	0.0053545
631.60	0.0060764
631.80	0.0059109
632.00	0.0065599
632.20	0.0066441
632.40	0.0064735
632.60	0.0063005
632.80	0.0074534
