Wavelength (nm)	L220 ZnC-M10F13 (SE285).abs

350.00	0.073640
350.20	0.072262
350.40	0.073387
350.60	0.077011
350.80	0.078756
351.00	0.079758
351.20	0.081756
351.40	0.083005
351.60	0.084378
351.80	0.085752
352.00	0.087750
352.20	0.090496
352.40	0.092370
352.60	0.093743
352.80	0.095365
353.00	0.096867
353.20	0.097363
353.40	0.098989
353.60	0.099737
353.80	0.10149
354.00	0.10224
354.20	0.10311
354.40	0.10323
354.60	0.10486
354.80	0.10773
355.00	0.10948
355.20	0.11085
355.40	0.10936
355.60	0.11110
355.80	0.11247
356.00	0.11472
356.20	0.11610
356.40	0.11635
356.60	0.11760
356.80	0.11935
357.00	0.12184
357.20	0.12284
357.40	0.12309
357.60	0.12446
357.80	0.12571
358.00	0.12671
358.20	0.12796
358.40	0.12659
358.60	0.12871
358.80	0.13046
359.00	0.13183
359.20	0.13196
359.40	0.12946
359.60	0.12908
359.80	0.13271
360.00	0.13383
360.20	0.13645
360.40	0.13570
360.60	0.13757
360.80	0.13645
361.00	0.13820
361.20	0.13845
361.40	0.13995
361.60	0.14307
361.80	0.14332
362.00	0.14407
362.20	0.14432
362.40	0.14282
362.60	0.14469
362.80	0.14445
363.00	0.14445
363.20	0.14507
363.40	0.14507
363.60	0.14857
363.80	0.15144
364.00	0.15456
364.20	0.15406
364.40	0.15144
364.60	0.15019
364.80	0.14869
365.00	0.14919
365.20	0.14869
365.40	0.15231
365.60	0.15444
365.80	0.15481
366.00	0.15256
366.20	0.15244
366.40	0.15343
366.60	0.15269
366.80	0.15281
367.00	0.15231
367.20	0.15306
367.40	0.15306
367.60	0.15531
367.80	0.15569
368.00	0.15668
368.20	0.15668
368.40	0.15593
368.60	0.15593
368.80	0.15643
369.00	0.15631
369.20	0.15768
369.40	0.15880
369.60	0.15818
369.80	0.15993
370.00	0.16068
370.20	0.16043
370.40	0.16093
370.60	0.15880
370.80	0.15806
371.00	0.15731
371.20	0.15856
371.40	0.16055
371.60	0.16031
371.80	0.16080
372.00	0.16080
372.20	0.16143
372.40	0.16105
372.60	0.16168
372.80	0.16430
373.00	0.16443
373.20	0.16380
373.40	0.16293
373.60	0.16330
373.80	0.16330
374.00	0.16605
374.20	0.16830
374.40	0.16817
374.60	0.16630
374.80	0.16618
375.00	0.16568
375.20	0.16692
375.40	0.16767
375.60	0.16917
375.80	0.16780
376.00	0.16817
376.20	0.16792
376.40	0.16905
376.60	0.16879
376.80	0.16905
377.00	0.17030
377.20	0.17179
377.40	0.17129
377.60	0.17179
377.80	0.17167
378.00	0.17292
378.20	0.17304
378.40	0.17442
378.60	0.17529
378.80	0.17504
379.00	0.17567
379.20	0.17691
379.40	0.17766
379.60	0.17841
379.80	0.17841
380.00	0.17916
380.20	0.17928
380.40	0.17954
380.60	0.17991
380.80	0.18066
381.00	0.18128
381.20	0.18204
381.40	0.18341
381.60	0.18416
381.80	0.18503
382.00	0.18528
382.20	0.18553
382.40	0.18753
382.60	0.18803
382.80	0.18990
383.00	0.19102
383.20	0.19440
383.40	0.19665
383.60	0.19752
383.80	0.19802
384.00	0.19827
384.20	0.19902
384.40	0.20014
384.60	0.20202
384.80	0.20376
385.00	0.20551
385.20	0.20789
385.40	0.20988
385.60	0.21100
385.80	0.21288
386.00	0.21613
386.20	0.21937
386.40	0.22112
386.60	0.22324
386.80	0.22474
387.00	0.22674
387.20	0.22911
387.40	0.23161
387.60	0.23336
387.80	0.23573
388.00	0.23885
388.20	0.24185
388.40	0.24447
388.60	0.24785
388.80	0.25097
389.00	0.25409
389.20	0.25671
389.40	0.25908
389.60	0.26208
389.80	0.26495
390.00	0.26808
390.20	0.27170
390.40	0.27482
390.60	0.27694
390.80	0.27956
391.00	0.28443
391.20	0.28893
391.40	0.29218
391.60	0.29518
391.80	0.29880
392.00	0.30229
392.20	0.30579
392.40	0.30916
392.60	0.31303
392.80	0.31641
393.00	0.31903
393.20	0.32153
393.40	0.32515
393.60	0.32827
393.80	0.33089
394.00	0.33376
394.20	0.33676
394.40	0.33963
394.60	0.34226
394.80	0.34388
395.00	0.34513
395.20	0.34712
395.40	0.34962
395.60	0.35275
395.80	0.35449
396.00	0.35562
396.20	0.35824
396.40	0.36036
396.60	0.36336
396.80	0.36561
397.00	0.36723
397.20	0.36873
397.40	0.36998
397.60	0.37160
397.80	0.37335
398.00	0.37410
398.20	0.37547
398.40	0.37697
398.60	0.37884
398.80	0.38009
399.00	0.38047
399.20	0.38072
399.40	0.38147
399.60	0.38259
399.80	0.38447
400.00	0.38509
400.20	0.38621
400.40	0.38684
400.60	0.38846
400.80	0.38971
401.00	0.39083
401.20	0.39121
401.40	0.39183
401.60	0.39233
401.80	0.39308
402.00	0.39545
402.20	0.39695
402.40	0.39758
402.60	0.39833
402.80	0.39970
403.00	0.40182
403.20	0.40382
403.40	0.40594
403.60	0.40782
403.80	0.40994
404.00	0.41194
404.20	0.41431
404.40	0.41619
404.60	0.41831
404.80	0.42206
405.00	0.42580
405.20	0.42930
405.40	0.43279
405.60	0.43741
405.80	0.44178
406.00	0.44591
406.20	0.45027
406.40	0.45627
406.60	0.46226
406.80	0.46888
407.00	0.47513
407.20	0.48225
407.40	0.48849
407.60	0.49398
407.80	0.50073
408.00	0.50847
408.20	0.51746
408.40	0.52558
408.60	0.53357
408.80	0.54256
409.00	0.55205
409.20	0.56142
409.40	0.57066
409.60	0.58090
409.80	0.59214
410.00	0.60288
410.20	0.61287
410.40	0.62348
410.60	0.63498
410.80	0.64671
411.00	0.65783
411.20	0.66894
411.40	0.68081
411.60	0.69305
411.80	0.70478
412.00	0.71640
412.20	0.72788
412.40	0.73962
412.60	0.75199
412.80	0.76523
413.00	0.77809
413.20	0.78983
413.40	0.80119
413.60	0.81180
413.80	0.82417
414.00	0.83616
414.20	0.84840
414.40	0.86001
414.60	0.87150
414.80	0.88261
415.00	0.89398
415.20	0.90409
415.40	0.91258
415.60	0.92195
415.80	0.93132
416.00	0.94193
416.20	0.95129
416.40	0.96004
416.60	0.96691
416.80	0.97465
417.00	0.98152
417.20	0.98689
417.40	0.99013
417.60	0.99288
417.80	0.99475
418.00	0.99688
418.20	0.99837
418.40	0.99988
418.60	1.00000
418.80	0.99850
419.00	0.99513
419.20	0.99188
419.40	0.98789
419.60	0.98489
419.80	0.97914
420.00	0.97278
420.20	0.96366
420.40	0.95492
420.60	0.94505
420.80	0.93431
421.00	0.92207
421.20	0.91046
421.40	0.89747
421.60	0.88336
421.80	0.86763
422.00	0.85127
422.20	0.83391
422.40	0.81830
422.60	0.80256
422.80	0.78608
423.00	0.76834
