Wavelength (nm)	205 1 (SE194) [H2C-T5M10A13] 
300.00	0.076126
301.00	0.077267
302.00	0.078457
303.00	0.079842
304.00	0.081495
305.00	0.083330
306.00	0.085279
307.00	0.087341
308.00	0.089796
309.00	0.092129
310.00	0.094243
311.00	0.096488
312.00	0.098260
313.00	0.099932
314.00	0.10114
315.00	0.10197
316.00	0.10287
317.00	0.10364
318.00	0.10461
319.00	0.10586
320.00	0.10750
321.00	0.10957
322.00	0.11205
323.00	0.11480
324.00	0.11781
325.00	0.12074
326.00	0.12364
327.00	0.12609
328.00	0.12781
329.00	0.12916
330.00	0.12992
331.00	0.13023
332.00	0.13042
333.00	0.13023
334.00	0.13013
335.00	0.13025
336.00	0.13063
337.00	0.13130
338.00	0.13217
339.00	0.13342
340.00	0.13512
341.00	0.13701
342.00	0.13921
343.00	0.14181
344.00	0.14439
345.00	0.14744
346.00	0.15050
347.00	0.15385
348.00	0.15719
349.00	0.16052
350.00	0.16387
351.00	0.16724
352.00	0.17071
353.00	0.17411
354.00	0.17773
355.00	0.18151
356.00	0.18558
357.00	0.19020
358.00	0.19489
359.00	0.20052
360.00	0.20692
361.00	0.21450
362.00	0.22257
363.00	0.23130
364.00	0.24004
365.00	0.24851
366.00	0.25645
367.00	0.26459
368.00	0.27242
369.00	0.27926
370.00	0.28497
371.00	0.28989
372.00	0.29439
373.00	0.29811
374.00	0.30105
375.00	0.30336
376.00	0.30404
377.00	0.30411
378.00	0.30329
379.00	0.30137
380.00	0.29956
381.00	0.29802
382.00	0.29706
383.00	0.29721
384.00	0.29935
385.00	0.30257
386.00	0.30720
387.00	0.31303
388.00	0.31999
389.00	0.32781
390.00	0.33629
391.00	0.34622
392.00	0.35734
393.00	0.36964
394.00	0.38401
395.00	0.40057
396.00	0.42015
397.00	0.44286
398.00	0.47012
399.00	0.49693
400.00	0.52772
401.00	0.56067
402.00	0.59609
403.00	0.63297
404.00	0.67021
405.00	0.70659
406.00	0.73979
407.00	0.76976
