Wavelength (nm)	L234 ZnC1 (SE269).ems
600.00	0.00050584
601.00	0.00071128
602.00	0.00088322
603.00	0.00096909
604.00	0.00089116
605.00	0.00098034
606.00	0.0010887
607.00	0.0011685
608.00	0.0013647
609.00	0.0013730
610.00	0.0015143
611.00	0.0018405
612.00	0.0017775
613.00	0.0020400
614.00	0.0023240
615.00	0.0024440
616.00	0.0027148
617.00	0.0031710
618.00	0.0035130
619.00	0.0038923
620.00	0.0043860
621.00	0.0050551
622.00	0.0057560
623.00	0.0066320
624.00	0.0075627
625.00	0.0086576
626.00	0.0100000
627.00	0.011648
628.00	0.013535
629.00	0.015956
630.00	0.018955
631.00	0.022849
632.00	0.028164
633.00	0.035098
634.00	0.043958
635.00	0.055566
636.00	0.071512
637.00	0.091334
638.00	0.11595
639.00	0.14607
640.00	0.18456
641.00	0.23006
642.00	0.28133
643.00	0.34239
644.00	0.41048
645.00	0.48469
646.00	0.56570
647.00	0.64730
648.00	0.72733
649.00	0.80138
650.00	0.87184
651.00	0.92995
652.00	0.96991
653.00	0.99216
654.00	0.99988
655.00	0.99190
656.00	0.96554
657.00	0.92793
658.00	0.87293
659.00	0.79931
660.00	0.72762
661.00	0.65311
662.00	0.57678
663.00	0.50809
664.00	0.44564
665.00	0.38879
666.00	0.33830
667.00	0.29685
668.00	0.26214
669.00	0.23285
670.00	0.20867
671.00	0.19023
672.00	0.17555
673.00	0.16389
674.00	0.15382
675.00	0.14599
676.00	0.13881
677.00	0.13374
678.00	0.12931
679.00	0.12475
680.00	0.12140
681.00	0.11846
682.00	0.11660
683.00	0.11468
684.00	0.11347
685.00	0.11182
686.00	0.11068
687.00	0.10957
688.00	0.10849
689.00	0.10760
690.00	0.10758
691.00	0.10741
692.00	0.10724
693.00	0.10633
694.00	0.10717
695.00	0.10868
696.00	0.10946
697.00	0.11057
698.00	0.11231
699.00	0.11353
700.00	0.11427
701.00	0.11563
702.00	0.11619
703.00	0.11689
704.00	0.11954
705.00	0.12101
706.00	0.12201
707.00	0.12377
708.00	0.12351
709.00	0.12428
710.00	0.12573
711.00	0.12730
712.00	0.12777
713.00	0.12745
714.00	0.12728
715.00	0.12685
716.00	0.12784
717.00	0.12808
718.00	0.12633
719.00	0.12481
720.00	0.12328
721.00	0.12139
722.00	0.11834
723.00	0.11549
724.00	0.11319
725.00	0.10999
726.00	0.10585
727.00	0.10071
728.00	0.096468
729.00	0.091000
730.00	0.086200
731.00	0.080997
732.00	0.075484
733.00	0.070462
734.00	0.065169
735.00	0.060842
736.00	0.056306
737.00	0.051805
738.00	0.047893
739.00	0.044325
740.00	0.040584
741.00	0.037208
742.00	0.034893
743.00	0.032564
744.00	0.030274
745.00	0.028882
746.00	0.027390
747.00	0.026369
748.00	0.024973
749.00	0.024493
750.00	0.023657
751.00	0.022874
752.00	0.022480
753.00	0.022274
754.00	0.021886
755.00	0.021512
756.00	0.021720
757.00	0.021371
758.00	0.021424
759.00	0.021058
760.00	0.020853
761.00	0.021468
762.00	0.020905
763.00	0.020813
764.00	0.020374
765.00	0.020269
766.00	0.019867
767.00	0.019547
768.00	0.019533
769.00	0.019349
770.00	0.018817
771.00	0.018657
772.00	0.017618
773.00	0.017079
774.00	0.017244
775.00	0.016230
776.00	0.015742
777.00	0.015486
778.00	0.015108
779.00	0.014724
780.00	0.014448
781.00	0.013979
782.00	0.013386
783.00	0.013275
784.00	0.013113
785.00	0.012803
786.00	0.012427
787.00	0.012109
788.00	0.011960
789.00	0.011628
790.00	0.011421
791.00	0.011164
792.00	0.011145
793.00	0.011029
794.00	0.010503
795.00	0.010406
796.00	0.010325
797.00	0.0098585
798.00	0.0095990
799.00	0.0096641
800.00	0.0096700
