Wavelength (nm)	L234 FbC5 (SE239).abs
300.00	0.27209
301.00	0.27334
302.00	0.27407
303.00	0.27471
304.00	0.27555
305.00	0.27574
306.00	0.27504
307.00	0.27429
308.00	0.27318
309.00	0.27153
310.00	0.26973
311.00	0.26701
312.00	0.26429
313.00	0.26116
314.00	0.25791
315.00	0.25387
316.00	0.24965
317.00	0.24526
318.00	0.24100
319.00	0.23670
320.00	0.23248
321.00	0.22879
322.00	0.22523
323.00	0.22157
324.00	0.21847
325.00	0.21617
326.00	0.21402
327.00	0.21228
328.00	0.21058
329.00	0.20862
330.00	0.20703
331.00	0.20534
332.00	0.20364
333.00	0.20203
334.00	0.20039
335.00	0.19894
336.00	0.19755
337.00	0.19652
338.00	0.19584
339.00	0.19552
340.00	0.19543
341.00	0.19575
342.00	0.19627
343.00	0.19733
344.00	0.19882
345.00	0.20077
346.00	0.20271
347.00	0.20505
348.00	0.20779
349.00	0.21068
350.00	0.21335
351.00	0.21629
352.00	0.21920
353.00	0.22232
354.00	0.22548
355.00	0.22839
356.00	0.23115
357.00	0.23358
358.00	0.23567
359.00	0.23823
360.00	0.24076
361.00	0.24329
362.00	0.24616
363.00	0.24847
364.00	0.25142
365.00	0.25412
366.00	0.25644
367.00	0.25994
368.00	0.26257
369.00	0.26572
370.00	0.26838
371.00	0.27123
372.00	0.27424
373.00	0.27751
374.00	0.28087
375.00	0.28476
376.00	0.28781
377.00	0.29180
378.00	0.29612
379.00	0.30086
380.00	0.30560
381.00	0.31076
382.00	0.31617
383.00	0.32204
384.00	0.32847
385.00	0.33579
386.00	0.34268
387.00	0.34992
388.00	0.35890
389.00	0.36743
390.00	0.37801
391.00	0.38998
392.00	0.40142
393.00	0.41404
394.00	0.42613
395.00	0.44084
396.00	0.45668
397.00	0.47507
398.00	0.49267
399.00	0.51179
400.00	0.53314
401.00	0.55541
402.00	0.57884
403.00	0.60371
404.00	0.62973
405.00	0.65685
406.00	0.68309
407.00	0.70877
408.00	0.73353
409.00	0.75963
410.00	0.78084
411.00	0.80346
412.00	0.82438
