Wavelength [nm]	257 FbC-1 (SE306) CR312
600.00	0.00072600
601.00	0.00076060
602.00	0.00091460
603.00	0.0010400
604.00	0.0012230
605.00	0.0013320
606.00	0.0013910
607.00	0.0014940
608.00	0.0017260
609.00	0.0018420
610.00	0.0018740
611.00	0.0018830
612.00	0.0016860
613.00	0.0015680
614.00	0.0015890
615.00	0.0016290
616.00	0.0016270
617.00	0.0016880
618.00	0.0016600
619.00	0.0017510
620.00	0.0017580
621.00	0.0018130
622.00	0.0019630
623.00	0.0020530
624.00	0.0020970
625.00	0.0021270
626.00	0.0023300
627.00	0.0024630
628.00	0.0025150
629.00	0.0027140
630.00	0.0028760
631.00	0.0031730
632.00	0.0034670
633.00	0.0037520
634.00	0.0039860
635.00	0.0043280
636.00	0.0047170
637.00	0.0052260
638.00	0.0058410
639.00	0.0061920
640.00	0.0072190
641.00	0.0081150
642.00	0.0094400
643.00	0.010980
644.00	0.013580
645.00	0.015940
646.00	0.019740
647.00	0.024460
648.00	0.030120
649.00	0.037360
650.00	0.045740
651.00	0.057320
652.00	0.070550
653.00	0.086290
654.00	0.10560
655.00	0.12980
656.00	0.15990
657.00	0.19680
658.00	0.24200
659.00	0.29610
660.00	0.36300
661.00	0.43630
662.00	0.52290
663.00	0.60880
664.00	0.70130
665.00	0.78730
666.00	0.86620
667.00	0.92920
668.00	0.97560
669.00	0.99900
670.00	1.0000
671.00	0.97690
672.00	0.93380
673.00	0.87250
674.00	0.79780
675.00	0.71680
676.00	0.63020
677.00	0.55080
678.00	0.47580
679.00	0.41150
680.00	0.35280
681.00	0.30390
682.00	0.26150
683.00	0.22830
684.00	0.19850
685.00	0.17310
686.00	0.15220
687.00	0.13490
688.00	0.11880
689.00	0.10550
690.00	0.094730
691.00	0.086220
692.00	0.077340
693.00	0.071820
694.00	0.067230
695.00	0.063920
696.00	0.061530
697.00	0.060500
698.00	0.059190
699.00	0.059410
700.00	0.058620
701.00	0.058640
702.00	0.059210
703.00	0.058160
704.00	0.057790
705.00	0.057020
706.00	0.056350
707.00	0.055870
708.00	0.055120
709.00	0.055100
710.00	0.054410
711.00	0.054230
712.00	0.053300
713.00	0.053690
714.00	0.053540
715.00	0.053110
716.00	0.051890
717.00	0.051860
718.00	0.050510
719.00	0.048950
720.00	0.047700
721.00	0.045980
722.00	0.044160
723.00	0.042680
724.00	0.041140
725.00	0.039320
726.00	0.037940
727.00	0.036820
728.00	0.035410
729.00	0.033920
730.00	0.032960
731.00	0.031980
732.00	0.030830
733.00	0.029900
734.00	0.029500
735.00	0.028530
736.00	0.027290
737.00	0.026810
738.00	0.026350
739.00	0.025540
740.00	0.025120
741.00	0.024480
742.00	0.024130
743.00	0.023620
744.00	0.023110
745.00	0.022470
746.00	0.021840
747.00	0.021190
748.00	0.019900
749.00	0.019020
750.00	0.018050
751.00	0.016610
752.00	0.015740
753.00	0.014460
754.00	0.013440
755.00	0.012280
756.00	0.011110
757.00	0.010190
758.00	0.0092580
759.00	0.0085000
760.00	0.0076930
761.00	0.0069290
762.00	0.0064760
763.00	0.0059740
764.00	0.0054350
765.00	0.0051810
766.00	0.0047860
767.00	0.0045700
768.00	0.0044010
769.00	0.0040420
770.00	0.0039950
771.00	0.0037700
772.00	0.0035850
773.00	0.0034030
774.00	0.0033010
775.00	0.0031240
776.00	0.0030670
777.00	0.0028630
778.00	0.0028010
779.00	0.0026990
780.00	0.0026010
781.00	0.0025240
782.00	0.0023960
783.00	0.0023970
784.00	0.0023780
785.00	0.0022990
786.00	0.0022030
787.00	0.0020770
788.00	0.0020600
789.00	0.0020380
790.00	0.0019210
791.00	0.0019200
792.00	0.0018380
793.00	0.0017410
794.00	0.0016900
795.00	0.0017620
796.00	0.0017570
797.00	0.0015430
798.00	0.0015250
799.00	0.0014860
800.00	0.0014680
