Wavelength (nm)	L275 FbC-Br13
300.00	0.089367
301.00	0.088887
302.00	0.087975
303.00	0.086173
304.00	0.083797
305.00	0.081576
306.00	0.078698
307.00	0.075936
308.00	0.074310
309.00	0.072904
310.00	0.072484
311.00	0.072252
312.00	0.073051
313.00	0.074822
314.00	0.076674
315.00	0.079322
316.00	0.082674
317.00	0.086491
318.00	0.090618
319.00	0.094379
320.00	0.098304
321.00	0.10240
322.00	0.10639
323.00	0.11028
324.00	0.11416
325.00	0.11790
326.00	0.12134
327.00	0.12454
328.00	0.12821
329.00	0.13187
330.00	0.13618
331.00	0.14100
332.00	0.14579
333.00	0.15112
334.00	0.15685
335.00	0.16263
336.00	0.16887
337.00	0.17485
338.00	0.18044
339.00	0.18502
340.00	0.18933
341.00	0.19355
342.00	0.19803
343.00	0.20257
344.00	0.20837
345.00	0.21515
346.00	0.22289
347.00	0.23179
348.00	0.24113
349.00	0.24998
350.00	0.25826
351.00	0.26578
352.00	0.27232
353.00	0.27689
354.00	0.28061
355.00	0.28189
356.00	0.28110
357.00	0.27992
358.00	0.27731
359.00	0.27573
360.00	0.27425
361.00	0.27381
362.00	0.27503
363.00	0.27850
364.00	0.28341
365.00	0.29053
366.00	0.30047
367.00	0.31152
368.00	0.32429
369.00	0.33934
370.00	0.35598
371.00	0.37607
372.00	0.39886
373.00	0.42335
374.00	0.45025
375.00	0.48225
376.00	0.51439
377.00	0.54893
378.00	0.58593
379.00	0.62586
380.00	0.66683
381.00	0.71072
382.00	0.75481
383.00	0.79902
384.00	0.84085
385.00	0.87967
386.00	0.91398
387.00	0.94774
388.00	0.97546
389.00	0.99051
390.00	0.99716
391.00	1.0000
392.00	0.99420
393.00	0.98501
394.00	0.97409
395.00	0.96325
396.00	0.94991
397.00	0.93813
398.00	0.93032
399.00	0.92575
400.00	0.92213
401.00	0.91896
402.00	0.91232
403.00	0.89365
404.00	0.86556
405.00	0.82781
406.00	0.78110
407.00	0.72702
408.00	0.66054
409.00	0.58784
410.00	0.51311
411.00	0.43345
412.00	0.35768
413.00	0.29065
414.00	0.23587
415.00	0.18766
416.00	0.14870
417.00	0.11824
418.00	0.093648
419.00	0.075310
420.00	0.060152
421.00	0.048356
422.00	0.040226
423.00	0.034570
424.00	0.030004
425.00	0.026098
426.00	0.023252
427.00	0.020711
428.00	0.019115
429.00	0.018066
430.00	0.017083
431.00	0.016293
432.00	0.015874
433.00	0.015832
434.00	0.015693
435.00	0.015508
436.00	0.015141
437.00	0.014876
438.00	0.015087
439.00	0.015544
440.00	0.015756
441.00	0.015877
442.00	0.015725
443.00	0.015787
444.00	0.016257
445.00	0.016812
446.00	0.017511
447.00	0.017504
448.00	0.017718
449.00	0.017961
450.00	0.018538
451.00	0.019329
452.00	0.019719
453.00	0.019760
454.00	0.019338
455.00	0.018978
456.00	0.018727
457.00	0.018853
458.00	0.019147
459.00	0.018802
460.00	0.019182
461.00	0.019190
462.00	0.019415
463.00	0.020303
464.00	0.021078
465.00	0.021306
466.00	0.022298
467.00	0.022659
468.00	0.023409
469.00	0.024195
470.00	0.024971
471.00	0.026111
472.00	0.027229
473.00	0.030091
474.00	0.032826
475.00	0.035862
476.00	0.040202
477.00	0.044500
478.00	0.051336
479.00	0.058886
480.00	0.067748
481.00	0.076101
482.00	0.082221
483.00	0.085993
484.00	0.089255
485.00	0.090671
486.00	0.090410
487.00	0.089402
488.00	0.089712
489.00	0.090097
490.00	0.092249
491.00	0.096731
492.00	0.10196
493.00	0.10545
494.00	0.10663
495.00	0.10519
496.00	0.10019
497.00	0.093916
