Wavelength (nm)	229 FbC-Br7T10
300.00	0.090662
301.00	0.089324
302.00	0.087813
303.00	0.085988
304.00	0.083950
305.00	0.081543
306.00	0.078589
307.00	0.075656
308.00	0.072662
309.00	0.070223
310.00	0.068107
311.00	0.066288
312.00	0.065136
313.00	0.064808
314.00	0.064652
315.00	0.064993
316.00	0.065777
317.00	0.066718
318.00	0.067902
319.00	0.069421
320.00	0.070882
321.00	0.072565
322.00	0.074279
323.00	0.076300
324.00	0.078454
325.00	0.080579
326.00	0.082730
327.00	0.085011
328.00	0.087392
329.00	0.089758
330.00	0.092238
331.00	0.094667
332.00	0.097357
333.00	0.099924
334.00	0.10275
335.00	0.10555
336.00	0.10855
337.00	0.11151
338.00	0.11457
339.00	0.11788
340.00	0.12125
341.00	0.12474
342.00	0.12804
343.00	0.13131
344.00	0.13458
345.00	0.13765
346.00	0.14072
347.00	0.14398
348.00	0.14734
349.00	0.15099
350.00	0.15471
351.00	0.15857
352.00	0.16288
353.00	0.16736
354.00	0.17184
355.00	0.17610
356.00	0.17994
357.00	0.18321
358.00	0.18583
359.00	0.18728
360.00	0.18793
361.00	0.18841
362.00	0.18841
363.00	0.18907
364.00	0.19124
365.00	0.19339
366.00	0.19571
367.00	0.19820
368.00	0.20190
369.00	0.20627
370.00	0.21117
371.00	0.21690
372.00	0.22342
373.00	0.23159
374.00	0.24112
375.00	0.25154
376.00	0.26366
377.00	0.27656
378.00	0.29126
379.00	0.30678
380.00	0.32311
381.00	0.34126
382.00	0.36156
383.00	0.38348
384.00	0.40829
385.00	0.43552
386.00	0.46542
387.00	0.49864
388.00	0.53394
389.00	0.57013
390.00	0.60731
391.00	0.64643
392.00	0.68719
393.00	0.72470
394.00	0.75959
395.00	0.79388
396.00	0.82412
397.00	0.85080
398.00	0.87626
399.00	0.89450
400.00	0.91298
401.00	0.92949
402.00	0.94458
403.00	0.96009
404.00	0.97540
405.00	0.98738
406.00	0.99519
407.00	1.0000
408.00	0.99891
409.00	0.99148
410.00	0.97859
411.00	0.96125
412.00	0.93734
413.00	0.90704
414.00	0.87122
415.00	0.82671
416.00	0.77513
417.00	0.71758
418.00	0.65459
419.00	0.58532
420.00	0.51133
421.00	0.43528
422.00	0.36662
423.00	0.30661
424.00	0.25031
425.00	0.20068
426.00	0.16069
427.00	0.12654
428.00	0.10044
429.00	0.079471
430.00	0.062826
431.00	0.051830
432.00	0.043273
433.00	0.034743
434.00	0.027746
435.00	0.023592
436.00	0.019745
437.00	0.016410
438.00	0.013995
439.00	0.011608
440.00	0.0098156
441.00	0.0077487
442.00	0.0062716
443.00	0.0056053
444.00	0.0047052
445.00	0.0040015
446.00	0.0033446
447.00	0.0031240
448.00	0.0029068
449.00	0.0026196
450.00	0.0023358
451.00	0.0027758
452.00	0.0031185
453.00	0.0035977
454.00	0.0039447
455.00	0.0041457
456.00	0.0049007
457.00	0.0053868
458.00	0.0057824
459.00	0.0061823
460.00	0.0068348
461.00	0.0072748
462.00	0.0078966
463.00	0.0076887
464.00	0.0076635
465.00	0.0079951
466.00	0.0086408
467.00	0.0094180
468.00	0.0095268
469.00	0.0098294
470.00	0.010263
471.00	0.010421
472.00	0.010398
473.00	0.010540
474.00	0.010966
475.00	0.011500
476.00	0.012023
477.00	0.012619
478.00	0.012873
479.00	0.013295
480.00	0.013723
481.00	0.014601
482.00	0.015891
483.00	0.017212
484.00	0.018884
485.00	0.020439
486.00	0.022738
487.00	0.028380
488.00	0.033523
489.00	0.037413
490.00	0.041475
491.00	0.046060
492.00	0.050419
493.00	0.054267
494.00	0.057355
495.00	0.059948
496.00	0.062039
497.00	0.063710
498.00	0.065405
499.00	0.066419
500.00	0.067963
501.00	0.069509
502.00	0.070724
503.00	0.072221
504.00	0.073432
505.00	0.074313
506.00	0.074945
507.00	0.075515
508.00	0.075474
509.00	0.074946
510.00	0.072960
511.00	0.069924
512.00	0.065705
513.00	0.060345
514.00	0.054459
515.00	0.048502
516.00	0.042311
517.00	0.036950
518.00	0.031966
519.00	0.027506
520.00	0.023952
521.00	0.020429
522.00	0.017788
523.00	0.015605
524.00	0.013801
525.00	0.012617
526.00	0.011681
527.00	0.011488
528.00	0.011412
529.00	0.011413
530.00	0.011753
531.00	0.012198
532.00	0.012597
533.00	0.012881
534.00	0.013649
535.00	0.013709
536.00	0.014090
537.00	0.014018
538.00	0.013394
539.00	0.012670
540.00	0.011973
541.00	0.011314
542.00	0.010418
543.00	0.0095329
544.00	0.0083801
545.00	0.0076882
546.00	0.0069810
547.00	0.0061064
548.00	0.0050313
549.00	0.0047295
550.00	0.0043373
551.00	0.0039194
552.00	0.0033488
553.00	0.0031767
554.00	0.0031831
555.00	0.0028344
556.00	0.0026658
557.00	0.0024297
558.00	0.0023618
559.00	0.0023051
560.00	0.0019700
561.00	0.0019115
562.00	0.0021867
563.00	0.0022256
564.00	0.0021671
565.00	0.0023860
566.00	0.0027705
567.00	0.0029630
568.00	0.0033722
569.00	0.0036722
570.00	0.0041780
571.00	0.0051771
572.00	0.0063973
573.00	0.0082875
574.00	0.0099934
575.00	0.013156
576.00	0.016489
577.00	0.019039
578.00	0.021427
579.00	0.024174
580.00	0.025479
581.00	0.026010
582.00	0.027089
583.00	0.029534
584.00	0.029721
585.00	0.028349
586.00	0.028572
587.00	0.027384
588.00	0.025023
589.00	0.023468
