Wavelength (nm)	H2C-T5M10Br7,20
300.00	0.075677
301.00	0.076383
302.00	0.076680
303.00	0.077285
304.00	0.078160
305.00	0.079097
306.00	0.079742
307.00	0.080532
308.00	0.081148
309.00	0.081406
310.00	0.080928
311.00	0.079420
312.00	0.076867
313.00	0.073107
314.00	0.068790
315.00	0.064155
316.00	0.060075
317.00	0.056290
318.00	0.053632
319.00	0.051590
320.00	0.050600
321.00	0.050164
322.00	0.050339
323.00	0.050766
324.00	0.051536
325.00	0.052661
326.00	0.053707
327.00	0.054922
328.00	0.056360
329.00	0.057795
330.00	0.059528
331.00	0.061360
332.00	0.063365
333.00	0.065401
334.00	0.067773
335.00	0.070210
336.00	0.072765
337.00	0.075435
338.00	0.077950
339.00	0.080510
340.00	0.083155
341.00	0.085848
342.00	0.088395
343.00	0.090917
344.00	0.093590
345.00	0.096411
346.00	0.099370
347.00	0.10250
348.00	0.10540
349.00	0.10837
350.00	0.11153
351.00	0.11458
352.00	0.11773
353.00	0.12078
354.00	0.12388
355.00	0.12699
356.00	0.13039
357.00	0.13396
358.00	0.13733
359.00	0.14236
360.00	0.14850
361.00	0.15562
362.00	0.16311
363.00	0.16876
364.00	0.17166
365.00	0.17067
366.00	0.16842
367.00	0.16763
368.00	0.16639
369.00	0.16487
370.00	0.16242
371.00	0.15947
372.00	0.15671
373.00	0.15393
374.00	0.15147
375.00	0.15094
376.00	0.15145
377.00	0.15320
378.00	0.15667
379.00	0.16312
380.00	0.16699
381.00	0.17353
382.00	0.18170
383.00	0.19131
384.00	0.20188
385.00	0.21350
386.00	0.22566
387.00	0.24016
388.00	0.25688
389.00	0.27166
390.00	0.28553
391.00	0.30304
392.00	0.32552
393.00	0.34697
394.00	0.36589
395.00	0.38790
396.00	0.41301
397.00	0.44139
398.00	0.47570
399.00	0.50324
400.00	0.53275
401.00	0.56768
402.00	0.60424
403.00	0.64536
404.00	0.68925
405.00	0.73483
406.00	0.77576
407.00	0.81144
408.00	0.84994
409.00	0.88623
410.00	0.91538
411.00	0.94148
412.00	0.96718
413.00	0.98855
414.00	0.99761
415.00	1.0000
416.00	0.99764
417.00	0.98725
418.00	0.96990
419.00	0.94983
420.00	0.92627
421.00	0.90518
422.00	0.88216
423.00	0.85808
424.00	0.83425
425.00	0.80990
426.00	0.78413
427.00	0.75750
428.00	0.72628
429.00	0.68683
430.00	0.63995
431.00	0.58519
432.00	0.52321
433.00	0.45729
434.00	0.39092
435.00	0.33450
436.00	0.28291
437.00	0.23648
438.00	0.19680
439.00	0.16129
440.00	0.13193
441.00	0.10738
442.00	0.085363
443.00	0.071274
444.00	0.057613
445.00	0.047038
446.00	0.040384
447.00	0.033544
448.00	0.028880
449.00	0.025064
450.00	0.021757
451.00	0.019454
452.00	0.018156
453.00	0.016599
454.00	0.016240
455.00	0.015953
456.00	0.014576
457.00	0.016521
458.00	0.016530
459.00	0.016411
460.00	0.017359
461.00	0.016999
462.00	0.016644
463.00	0.017542
464.00	0.019181
465.00	0.020727
466.00	0.020379
467.00	0.020361
468.00	0.022380
469.00	0.021246
470.00	0.020845
471.00	0.021169
472.00	0.022651
473.00	0.023755
474.00	0.024405
475.00	0.025222
476.00	0.026108
477.00	0.026299
478.00	0.024978
479.00	0.025403
480.00	0.026324
481.00	0.026370
482.00	0.026456
483.00	0.027043
484.00	0.027686
485.00	0.029685
486.00	0.027013
487.00	0.027371
488.00	0.026622
489.00	0.028557
490.00	0.028855
491.00	0.028477
492.00	0.029095
493.00	0.030570
494.00	0.031489
495.00	0.032234
496.00	0.036818
497.00	0.037328
498.00	0.040486
499.00	0.043026
500.00	0.045104
501.00	0.048960
502.00	0.052393
503.00	0.055667
504.00	0.058848
505.00	0.061941
506.00	0.064062
507.00	0.066825
508.00	0.070333
509.00	0.072793
510.00	0.076196
511.00	0.078470
512.00	0.079898
513.00	0.081319
514.00	0.081961
515.00	0.083019
516.00	0.084880
517.00	0.086429
518.00	0.088839
519.00	0.090665
520.00	0.090955
521.00	0.091133
522.00	0.089324
523.00	0.086726
524.00	0.082718
525.00	0.077768
526.00	0.072902
527.00	0.067292
528.00	0.062137
529.00	0.056645
530.00	0.051746
531.00	0.047994
532.00	0.044165
533.00	0.041718
534.00	0.039254
535.00	0.038475
536.00	0.037834
537.00	0.038412
538.00	0.039504
539.00	0.039985
540.00	0.041327
541.00	0.042685
542.00	0.043604
543.00	0.044115
544.00	0.044153
545.00	0.043749
546.00	0.043307
547.00	0.042432
548.00	0.040567
549.00	0.037801
550.00	0.035766
551.00	0.033477
552.00	0.031037
553.00	0.028389
554.00	0.026113
555.00	0.024625
556.00	0.022037
557.00	0.020336
558.00	0.018494
559.00	0.017436
560.00	0.016632
561.00	0.014933
562.00	0.013957
563.00	0.013083
564.00	0.012021
565.00	0.010693
566.00	0.0098855
567.00	0.0091563
568.00	0.0083700
569.00	0.0080196
570.00	0.0062375
571.00	0.0069780
572.00	0.0075907
573.00	0.0078298
574.00	0.0072559
575.00	0.0085357
576.00	0.0090777
577.00	0.0096318
578.00	0.0086402
579.00	0.011560
580.00	0.011899
581.00	0.016307
582.00	0.011379
583.00	0.013924
584.00	0.021655
585.00	0.025580
586.00	0.025332
587.00	0.028834
588.00	0.030704
589.00	0.033016
590.00	0.034808
591.00	0.037223
592.00	0.039616
593.00	0.037921
594.00	0.035281
595.00	0.034993
596.00	0.031935
597.00	0.031783
598.00	0.031157
599.00	0.027155
600.00	0.024178
601.00	0.021000
602.00	0.018806
603.00	0.016254
604.00	0.015047
605.00	0.015193
606.00	0.014154
607.00	0.013293
608.00	0.012300
609.00	0.011484
610.00	0.0099977
611.00	0.0099951
612.00	0.0093030
613.00	0.0092253
614.00	0.0091243
615.00	0.0093815
616.00	0.0081387
617.00	0.0079938
618.00	0.0071126
619.00	0.0081517
620.00	0.0084020
621.00	0.0080421
622.00	0.0098372
623.00	0.010340
624.00	0.010628
625.00	0.012330
626.00	0.013712
627.00	0.016151
628.00	0.018136
629.00	0.020737
630.00	0.023287
631.00	0.026170
632.00	0.029619
633.00	0.033643
634.00	0.038457
635.00	0.043875
636.00	0.051112
637.00	0.060988
638.00	0.075817
639.00	0.095251
640.00	0.12066
641.00	0.14906
642.00	0.17501
643.00	0.19319
644.00	0.20042
645.00	0.19462
646.00	0.17809
647.00	0.15491
648.00	0.12942
649.00	0.10451
650.00	0.082565
651.00	0.064811
652.00	0.050566
653.00	0.039919
654.00	0.030355
655.00	0.023675
656.00	0.016314
657.00	0.013412
658.00	0.011536
659.00	0.011154
660.00	0.0090052
661.00	0.0075968
662.00	0.0063730
663.00	0.0053857
664.00	0.0049981
665.00	0.0043983
666.00	0.0036777
667.00	0.0034335
668.00	0.0031020
669.00	0.0030390
670.00	0.0029579
671.00	0.0029683
672.00	0.0028794
673.00	0.0020017
674.00	0.0022804
675.00	0.0022848
676.00	0.0022476
677.00	0.0021415
678.00	0.0018878
679.00	0.0017712
680.00	0.0016444
681.00	0.0013699
682.00	0.0013699
683.00	0.0011214
684.00	0.0011291
685.00	0.0015141
686.00	0.0011317
687.00	0.00085556
688.00	0.00074509
689.00	0.00082104
690.00	0.00082535
691.00	0.0010385
692.00	0.0010126
693.00	0.0010333
694.00	0.00075631
695.00	0.0011844
696.00	0.00096085
697.00	0.00075433
698.00	0.00083837
699.00	0.0010289
700.00	0.00064146
