Wavelength (nm)	L212 H2C-Br15
600.00	0.0055495
601.00	0.0050338
602.00	0.0078134
603.00	0.0028773
604.00	0.0015950
605.00	0.010742
606.00	0.00048753
607.00	0.0095409
608.00	0.013006
609.00	0.021273
610.00	0.048986
611.00	0.042186
612.00	0.035094
613.00	0.024573
614.00	0.014892
615.00	0.0096380
616.00	0.018887
617.00	0.015998
618.00	0.016509
619.00	0.011730
620.00	0.020417
621.00	0.016657
622.00	0.023666
623.00	0.030156
624.00	0.043521
625.00	0.032343
626.00	0.046143
627.00	0.053652
628.00	0.066950
629.00	0.092989
630.00	0.095468
631.00	0.13397
632.00	0.18765
633.00	0.26761
634.00	0.36146
635.00	0.47559
636.00	0.61613
637.00	0.76009
638.00	0.88576
639.00	0.92968
640.00	1.0000
641.00	0.96696
642.00	0.94352
643.00	0.87419
644.00	0.75519
645.00	0.65678
646.00	0.54822
647.00	0.45548
648.00	0.42063
649.00	0.36132
650.00	0.30277
651.00	0.24894
652.00	0.23931
653.00	0.19373
654.00	0.18711
655.00	0.16351
656.00	0.13374
657.00	0.10734
658.00	0.10118
659.00	0.088761
660.00	0.069904
661.00	0.067733
662.00	0.057970
663.00	0.063493
664.00	0.044194
665.00	0.073309
666.00	0.058065
667.00	0.063460
668.00	0.050319
669.00	0.069359
670.00	0.080912
671.00	0.068239
672.00	0.074055
673.00	0.068442
674.00	0.071611
675.00	0.065461
676.00	0.078810
677.00	0.060154
678.00	0.072628
679.00	0.067238
680.00	0.094668
681.00	0.088810
682.00	0.078275
683.00	0.073914
684.00	0.065964
685.00	0.076086
686.00	0.083280
687.00	0.081463
688.00	0.080789
689.00	0.089856
690.00	0.047203
691.00	0.051991
692.00	0.078865
693.00	0.082007
694.00	0.065266
695.00	0.053351
696.00	0.053560
697.00	0.043869
698.00	0.072595
699.00	0.076673
700.00	0.076171
701.00	0.058280
702.00	0.061401
703.00	0.082951
704.00	0.070268
705.00	0.078054
706.00	0.068965
707.00	0.089561
708.00	0.065468
709.00	0.069858
710.00	0.089556
711.00	0.063599
712.00	0.077882
713.00	0.082687
714.00	0.086484
715.00	0.069662
716.00	0.089189
717.00	0.080529
718.00	0.065260
719.00	0.075998
720.00	0.069171
721.00	0.065878
722.00	0.066129
723.00	0.060813
724.00	0.054715
725.00	0.063624
726.00	0.084263
727.00	0.087888
728.00	0.074520
729.00	0.068108
730.00	0.070928
731.00	0.046022
732.00	0.067339
733.00	0.059842
734.00	0.056374
735.00	0.050645
736.00	0.074539
737.00	0.078420
738.00	0.077904
739.00	0.087907
740.00	0.054635
741.00	0.10009
742.00	0.062215
743.00	0.089053
744.00	0.090097
745.00	0.055525
746.00	0.074173
747.00	0.10648
748.00	0.12023
749.00	0.12495
750.00	0.078389
