Wavelength (nm)	229 FbC-T5Br15
300.00	0.087571
301.00	0.087621
302.00	0.087086
303.00	0.086540
304.00	0.086045
305.00	0.084798
306.00	0.083331
307.00	0.081601
308.00	0.078887
309.00	0.075731
310.00	0.072294
311.00	0.069039
312.00	0.066144
313.00	0.064346
314.00	0.062889
315.00	0.062064
316.00	0.062021
317.00	0.062321
318.00	0.063361
319.00	0.064651
320.00	0.066428
321.00	0.068190
322.00	0.069922
323.00	0.072111
324.00	0.074262
325.00	0.076251
326.00	0.078288
327.00	0.080016
328.00	0.081918
329.00	0.083847
330.00	0.085814
331.00	0.087818
332.00	0.090162
333.00	0.092536
334.00	0.094882
335.00	0.097797
336.00	0.10109
337.00	0.10472
338.00	0.10854
339.00	0.11263
340.00	0.11689
341.00	0.12103
342.00	0.12490
343.00	0.12869
344.00	0.13191
345.00	0.13476
346.00	0.13736
347.00	0.14015
348.00	0.14351
349.00	0.14743
350.00	0.15223
351.00	0.15822
352.00	0.16514
353.00	0.17362
354.00	0.18246
355.00	0.19184
356.00	0.20183
357.00	0.21154
358.00	0.22059
359.00	0.22814
360.00	0.23443
361.00	0.23974
362.00	0.24271
363.00	0.24379
364.00	0.24307
365.00	0.23984
366.00	0.23527
367.00	0.23038
368.00	0.22626
369.00	0.22340
370.00	0.22225
371.00	0.22296
372.00	0.22607
373.00	0.23131
374.00	0.23831
375.00	0.24606
376.00	0.25546
377.00	0.26530
378.00	0.27658
379.00	0.28870
380.00	0.30220
381.00	0.31826
382.00	0.33638
383.00	0.35785
384.00	0.38221
385.00	0.40857
386.00	0.43788
387.00	0.47004
388.00	0.50494
389.00	0.54141
390.00	0.58136
391.00	0.62521
392.00	0.67121
393.00	0.71646
394.00	0.76188
395.00	0.80591
396.00	0.84733
397.00	0.88644
398.00	0.92100
399.00	0.94790
400.00	0.97094
401.00	0.98597
402.00	0.99576
403.00	1.00000
404.00	0.99722
405.00	0.98682
406.00	0.97351
407.00	0.95766
408.00	0.94109
409.00	0.92662
410.00	0.91574
411.00	0.90611
412.00	0.89733
413.00	0.88456
414.00	0.86529
415.00	0.83482
416.00	0.78983
417.00	0.73082
418.00	0.65926
419.00	0.57982
420.00	0.49641
421.00	0.41489
422.00	0.34355
423.00	0.27946
424.00	0.22265
425.00	0.17646
426.00	0.13889
427.00	0.10852
428.00	0.085517
429.00	0.067634
430.00	0.054392
431.00	0.045048
432.00	0.037930
433.00	0.031567
434.00	0.027616
435.00	0.024139
436.00	0.021696
437.00	0.019734
438.00	0.018466
439.00	0.017415
440.00	0.016694
441.00	0.015993
442.00	0.015626
443.00	0.015462
444.00	0.015447
445.00	0.015406
446.00	0.015565
447.00	0.015669
448.00	0.015803
449.00	0.016297
450.00	0.016277
451.00	0.016750
452.00	0.017120
453.00	0.017548
454.00	0.017896
455.00	0.018381
456.00	0.018817
457.00	0.019286
458.00	0.019748
459.00	0.020322
460.00	0.020904
461.00	0.021157
462.00	0.021490
463.00	0.021771
464.00	0.022052
465.00	0.022279
466.00	0.022442
467.00	0.022854
468.00	0.022951
469.00	0.023276
470.00	0.023710
471.00	0.024009
472.00	0.024363
473.00	0.024562
474.00	0.024727
475.00	0.025129
476.00	0.025204
477.00	0.025375
478.00	0.025390
479.00	0.025533
480.00	0.025708
481.00	0.026203
482.00	0.026890
483.00	0.027654
484.00	0.028751
485.00	0.030723
486.00	0.032783
