Wavelength (nm)	267 FbC-M10(CmPh)13Br15
300.00	0.10185
301.00	0.10288
302.00	0.10304
303.00	0.10375
304.00	0.10466
305.00	0.10508
306.00	0.10559
307.00	0.10646
308.00	0.10667
309.00	0.10607
310.00	0.10467
311.00	0.10293
312.00	0.10031
313.00	0.097245
314.00	0.094324
315.00	0.091743
316.00	0.089754
317.00	0.088426
318.00	0.087603
319.00	0.088071
320.00	0.089343
321.00	0.090835
322.00	0.092848
323.00	0.095510
324.00	0.098370
325.00	0.10112
326.00	0.10384
327.00	0.10692
328.00	0.10957
329.00	0.11204
330.00	0.11470
331.00	0.11697
332.00	0.11957
333.00	0.12250
334.00	0.12536
335.00	0.12832
336.00	0.13173
337.00	0.13531
338.00	0.13932
339.00	0.14351
340.00	0.14793
341.00	0.15215
342.00	0.15648
343.00	0.16065
344.00	0.16412
345.00	0.16691
346.00	0.16973
347.00	0.17148
348.00	0.17350
349.00	0.17582
350.00	0.17826
351.00	0.18180
352.00	0.18645
353.00	0.19255
354.00	0.20019
355.00	0.20908
356.00	0.21889
357.00	0.22916
358.00	0.23893
359.00	0.24839
360.00	0.25754
361.00	0.26592
362.00	0.27240
363.00	0.27699
364.00	0.27860
365.00	0.27759
366.00	0.27374
367.00	0.26855
368.00	0.26285
369.00	0.25696
370.00	0.25153
371.00	0.24882
372.00	0.24795
373.00	0.24958
374.00	0.25344
375.00	0.25964
376.00	0.26766
377.00	0.27799
378.00	0.28929
379.00	0.30046
380.00	0.31191
381.00	0.32428
382.00	0.33780
383.00	0.35226
384.00	0.36735
385.00	0.38582
386.00	0.40548
387.00	0.42782
388.00	0.45182
389.00	0.47766
390.00	0.50659
391.00	0.53817
392.00	0.57349
393.00	0.61067
394.00	0.64773
395.00	0.68973
396.00	0.73440
397.00	0.77985
398.00	0.82247
399.00	0.86078
400.00	0.89492
401.00	0.92850
402.00	0.95643
403.00	0.97852
404.00	0.99248
405.00	1.0000
406.00	0.99657
407.00	0.98473
408.00	0.96693
409.00	0.94223
410.00	0.91532
411.00	0.88902
412.00	0.86637
413.00	0.84965
414.00	0.83868
415.00	0.83072
416.00	0.82782
417.00	0.82490
418.00	0.81521
419.00	0.79436
420.00	0.75654
421.00	0.69774
