Wavelength (nm)	285 FbC-A3,13M10Br15.abs
300.00	0.16462
301.00	0.16509
302.00	0.16606
303.00	0.16634
304.00	0.16715
305.00	0.16778
306.00	0.16870
307.00	0.16989
308.00	0.17118
309.00	0.17188
310.00	0.17289
311.00	0.17496
312.00	0.17665
313.00	0.17808
314.00	0.17985
315.00	0.18091
316.00	0.18155
317.00	0.18198
318.00	0.18150
319.00	0.18055
320.00	0.17848
321.00	0.17611
322.00	0.17269
323.00	0.16919
324.00	0.16535
325.00	0.16214
326.00	0.15983
327.00	0.15757
328.00	0.15668
329.00	0.15620
330.00	0.15688
331.00	0.15811
332.00	0.16003
333.00	0.16197
334.00	0.16438
335.00	0.16652
336.00	0.16896
337.00	0.17092
338.00	0.17248
339.00	0.17430
340.00	0.17599
341.00	0.17778
342.00	0.17942
343.00	0.18136
344.00	0.18375
345.00	0.18635
346.00	0.18913
347.00	0.19208
348.00	0.19599
349.00	0.19947
350.00	0.20362
351.00	0.20788
352.00	0.21215
353.00	0.21604
354.00	0.22004
355.00	0.22418
356.00	0.22826
357.00	0.23138
358.00	0.23504
359.00	0.23890
360.00	0.24333
361.00	0.24756
362.00	0.25272
363.00	0.25834
364.00	0.26508
365.00	0.27275
366.00	0.28126
367.00	0.28952
368.00	0.29884
369.00	0.30871
370.00	0.31989
371.00	0.33177
372.00	0.34348
373.00	0.35482
374.00	0.36566
375.00	0.37653
376.00	0.38533
377.00	0.39255
378.00	0.39779
379.00	0.40104
380.00	0.40186
381.00	0.40153
382.00	0.39972
383.00	0.39726
384.00	0.39439
385.00	0.39134
386.00	0.39046
387.00	0.38982
388.00	0.39001
389.00	0.39230
390.00	0.39633
391.00	0.40162
392.00	0.40740
393.00	0.41621
394.00	0.42415
395.00	0.43380
396.00	0.44472
397.00	0.45646
398.00	0.46917
399.00	0.48289
400.00	0.49862
401.00	0.51515
402.00	0.53516
403.00	0.55597
404.00	0.57818
405.00	0.60321
406.00	0.62751
407.00	0.65331
408.00	0.68233
409.00	0.70981
410.00	0.73780
411.00	0.76442
412.00	0.79241
413.00	0.81670
414.00	0.83852
415.00	0.86290
416.00	0.88300
417.00	0.90393
418.00	0.92477
419.00	0.94231
420.00	0.95918
421.00	0.97369
422.00	0.98524
423.00	0.99337
424.00	0.99738
425.00	1.00000
426.00	0.99948
427.00	0.99629
428.00	0.99043
429.00	0.98274
430.00	0.97209
431.00	0.95862
432.00	0.93927
433.00	0.91673
434.00	0.88810
435.00	0.85456
436.00	0.81453
437.00	0.76804
438.00	0.71750
439.00	0.66341
440.00	0.60624
441.00	0.54383
442.00	0.48894
443.00	0.43352
444.00	0.37971
445.00	0.33090
446.00	0.28469
447.00	0.24496
448.00	0.20948
449.00	0.17851
450.00	0.15264
451.00	0.13073
452.00	0.11162
453.00	0.095664
454.00	0.083262
455.00	0.072247
456.00	0.063714
457.00	0.057093
458.00	0.051162
459.00	0.046488
460.00	0.042847
461.00	0.039820
462.00	0.037686
463.00	0.035829
464.00	0.033604
465.00	0.031888
466.00	0.031092
467.00	0.030309
468.00	0.030068
469.00	0.029223
470.00	0.029074
471.00	0.029068
472.00	0.029790
473.00	0.030008
474.00	0.030571
475.00	0.030398
476.00	0.031308
477.00	0.031897
478.00	0.032683
479.00	0.033771
480.00	0.034065
481.00	0.035237
482.00	0.036328
483.00	0.037183
484.00	0.037707
485.00	0.038871
486.00	0.039213
487.00	0.039650
488.00	0.040708
489.00	0.041889
490.00	0.042941
491.00	0.043363
492.00	0.044413
493.00	0.045590
494.00	0.046629
495.00	0.046709
496.00	0.047557
497.00	0.048450
498.00	0.049137
499.00	0.049733
500.00	0.050616
501.00	0.051258
502.00	0.051957
503.00	0.052981
504.00	0.054342
505.00	0.055237
506.00	0.056352
507.00	0.057617
508.00	0.060560
509.00	0.063242
510.00	0.066236
511.00	0.068818
512.00	0.071808
513.00	0.074732
514.00	0.076768
515.00	0.079347
516.00	0.082131
517.00	0.084043
518.00	0.087251
519.00	0.088634
520.00	0.090740
521.00	0.093100
522.00	0.094373
523.00	0.094482
524.00	0.095117
525.00	0.094629
526.00	0.093300
527.00	0.091263
528.00	0.088833
529.00	0.084947
530.00	0.081982
531.00	0.078447
532.00	0.074979
533.00	0.071393
534.00	0.068234
535.00	0.065074
536.00	0.062267
537.00	0.060464
538.00	0.059062
539.00	0.058105
540.00	0.057629
541.00	0.058160
542.00	0.059233
543.00	0.061606
544.00	0.064155
545.00	0.068994
546.00	0.074322
547.00	0.080902
548.00	0.088297
549.00	0.096532
550.00	0.10588
551.00	0.11586
552.00	0.12559
553.00	0.13412
554.00	0.14082
555.00	0.14569
556.00	0.14840
557.00	0.14935
558.00	0.14770
559.00	0.14379
560.00	0.13887
561.00	0.13319
562.00	0.12638
563.00	0.11889
564.00	0.11190
565.00	0.10558
566.00	0.098365
567.00	0.090814
568.00	0.084954
569.00	0.078896
570.00	0.073333
571.00	0.067975
572.00	0.063282
573.00	0.058523
574.00	0.053974
575.00	0.050123
576.00	0.046049
577.00	0.042377
578.00	0.039145
579.00	0.036312
580.00	0.033524
581.00	0.030709
582.00	0.028729
583.00	0.026831
584.00	0.024896
585.00	0.023106
586.00	0.021720
587.00	0.020418
588.00	0.019074
589.00	0.018213
590.00	0.017451
591.00	0.016526
592.00	0.015795
593.00	0.015023
594.00	0.014511
595.00	0.014092
596.00	0.013903
597.00	0.013663
598.00	0.013741
599.00	0.013646
600.00	0.014173
601.00	0.014485
602.00	0.015168
603.00	0.016022
604.00	0.017209
605.00	0.018751
606.00	0.020226
607.00	0.022262
608.00	0.024553
609.00	0.026799
610.00	0.029815
611.00	0.032253
612.00	0.035109
613.00	0.038126
614.00	0.040636
615.00	0.043035
616.00	0.044991
617.00	0.047279
618.00	0.049333
619.00	0.050640
620.00	0.051434
621.00	0.052273
622.00	0.051896
623.00	0.051726
624.00	0.050761
625.00	0.049606
626.00	0.048615
627.00	0.046342
628.00	0.044586
629.00	0.042744
630.00	0.041335
631.00	0.039890
632.00	0.038395
633.00	0.037221
634.00	0.035918
635.00	0.035299
636.00	0.034650
637.00	0.033654
638.00	0.032711
639.00	0.032698
640.00	0.031660
641.00	0.031068
642.00	0.030436
643.00	0.029638
644.00	0.028951
645.00	0.029040
646.00	0.028223
647.00	0.026811
648.00	0.027788
649.00	0.028401
650.00	0.029408
651.00	0.030188
652.00	0.032702
653.00	0.034874
654.00	0.036339
655.00	0.042328
656.00	0.045014
657.00	0.047153
658.00	0.054379
659.00	0.062103
660.00	0.070810
661.00	0.080242
662.00	0.091280
663.00	0.10384
664.00	0.11890
665.00	0.13648
666.00	0.15625
667.00	0.17993
668.00	0.20730
669.00	0.23963
670.00	0.27570
671.00	0.31592
672.00	0.35662
673.00	0.39453
674.00	0.43000
675.00	0.45833
676.00	0.47589
677.00	0.48363
678.00	0.48054
679.00	0.46658
680.00	0.44488
681.00	0.41674
682.00	0.38415
683.00	0.34940
684.00	0.31343
685.00	0.27851
686.00	0.24691
687.00	0.21637
688.00	0.18771
689.00	0.16235
690.00	0.13898
691.00	0.11869
692.00	0.10057
693.00	0.084381
694.00	0.070963
695.00	0.059113
696.00	0.048762
697.00	0.040412
698.00	0.033753
699.00	0.028096
700.00	0.023203
701.00	0.019156
702.00	0.015795
703.00	0.013227
704.00	0.011422
705.00	0.0093636
706.00	0.0078223
707.00	0.0067636
708.00	0.0055713
709.00	0.0051001
710.00	0.0045366
711.00	0.0039037
712.00	0.0039518
713.00	0.0033403
714.00	0.0029399
715.00	0.0027461
716.00	0.0025115
717.00	0.0020824
718.00	0.0018973
719.00	0.0021452
720.00	0.0019481
721.00	0.0017957
722.00	0.0019655
723.00	0.0018351
724.00	0.0014755
725.00	0.0017235
726.00	0.0014020
727.00	0.0012924
728.00	0.0013472
729.00	0.0015203
730.00	0.0016045
731.00	0.0013125
732.00	0.0010625
733.00	0.0011942
734.00	0.0010271
735.00	0.0014742
736.00	0.0010057
737.00	0.0011113
738.00	0.00088605
739.00	0.0011908
740.00	0.0013686
741.00	0.0011567
742.00	0.00075171
