Wavelength (nm)	137 Oxo-2.abs
350.00	0.13855
351.00	0.14072
352.00	0.14290
353.00	0.14526
354.00	0.14822
355.00	0.15127
356.00	0.15443
357.00	0.15745
358.00	0.16019
359.00	0.16383
360.00	0.16825
361.00	0.17303
362.00	0.17819
363.00	0.18475
364.00	0.18899
365.00	0.19022
366.00	0.18998
367.00	0.19301
368.00	0.19909
369.00	0.20650
370.00	0.21426
371.00	0.22232
372.00	0.23105
373.00	0.24027
374.00	0.24997
375.00	0.26004
376.00	0.27002
377.00	0.27997
378.00	0.29005
379.00	0.30141
380.00	0.31277
381.00	0.32411
382.00	0.33545
383.00	0.34679
384.00	0.35920
385.00	0.37207
386.00	0.38674
387.00	0.40413
388.00	0.42288
389.00	0.44393
390.00	0.46569
391.00	0.49021
392.00	0.51493
393.00	0.53970
394.00	0.56563
395.00	0.59684
396.00	0.62806
397.00	0.65724
398.00	0.68484
399.00	0.71244
400.00	0.73949
401.00	0.76539
402.00	0.79130
403.00	0.81634
404.00	0.83947
405.00	0.86260
406.00	0.88572
407.00	0.90730
408.00	0.92888
409.00	0.94922
410.00	0.96876
411.00	0.98460
412.00	0.99729
413.00	1.0000
414.00	0.98975
415.00	0.97496
416.00	0.95021
417.00	0.92309
418.00	0.88963
419.00	0.84630
420.00	0.79678
421.00	0.73872
422.00	0.68067
423.00	0.62000
424.00	0.55919
425.00	0.49721
426.00	0.43507
427.00	0.37154
428.00	0.32056
429.00	0.28048
430.00	0.23960
431.00	0.19883
432.00	0.17238
433.00	0.14601
434.00	0.12851
435.00	0.11100
436.00	0.096624
437.00	0.084406
438.00	0.073945
439.00	0.064209
440.00	0.058440
441.00	0.054019
442.00	0.049257
443.00	0.044495
444.00	0.041662
445.00	0.039224
446.00	0.037304
447.00	0.036268
448.00	0.035232
449.00	0.034348
450.00	0.033519
451.00	0.032722
452.00	0.032188
453.00	0.031653
454.00	0.031119
455.00	0.030610
456.00	0.030959
457.00	0.031307
458.00	0.031655
459.00	0.032003
460.00	0.032197
461.00	0.032080
462.00	0.031962
463.00	0.031845
464.00	0.031727
465.00	0.032209
466.00	0.032959
467.00	0.033709
468.00	0.034459
469.00	0.035086
470.00	0.035461
471.00	0.035836
472.00	0.036212
473.00	0.036587
474.00	0.037579
475.00	0.038591
476.00	0.039603
477.00	0.040615
478.00	0.041412
479.00	0.042098
480.00	0.042783
481.00	0.043514
482.00	0.044293
483.00	0.045072
484.00	0.045645
485.00	0.046121
486.00	0.046200
487.00	0.045658
488.00	0.045955
489.00	0.047624
490.00	0.049532
491.00	0.051770
492.00	0.054008
493.00	0.056651
494.00	0.059437
495.00	0.062223
496.00	0.065474
497.00	0.068726
498.00	0.072481
499.00	0.076346
500.00	0.080090
501.00	0.083091
502.00	0.086092
503.00	0.089626
504.00	0.093182
505.00	0.095546
506.00	0.097297
507.00	0.099061
508.00	0.10084
509.00	0.10050
510.00	0.098981
511.00	0.096557
512.00	0.093974
513.00	0.090146
514.00	0.086165
515.00	0.081951
516.00	0.077355
517.00	0.071236
518.00	0.065377
519.00	0.060344
520.00	0.055318
521.00	0.050308
522.00	0.046144
523.00	0.043058
524.00	0.039948
525.00	0.036787
526.00	0.034080
527.00	0.032730
528.00	0.031633
529.00	0.031383
530.00	0.031211
531.00	0.032528
532.00	0.033846
533.00	0.035428
534.00	0.037016
535.00	0.040982
536.00	0.045154
537.00	0.049653
538.00	0.054530
539.00	0.059597
540.00	0.061606
541.00	0.062969
542.00	0.060673
543.00	0.058433
544.00	0.056359
545.00	0.053969
546.00	0.051124
547.00	0.048258
548.00	0.045217
549.00	0.042175
550.00	0.039231
551.00	0.036350
552.00	0.033621
553.00	0.031829
554.00	0.030031
555.00	0.027661
556.00	0.025290
557.00	0.024294
558.00	0.023385
559.00	0.022728
560.00	0.022285
561.00	0.021863
562.00	0.021689
563.00	0.021515
564.00	0.021341
565.00	0.020954
566.00	0.020556
567.00	0.020102
568.00	0.019441
569.00	0.018780
570.00	0.018119
571.00	0.018060
572.00	0.018060
573.00	0.018060
574.00	0.018331
575.00	0.018873
576.00	0.019414
577.00	0.019798
578.00	0.020010
579.00	0.020222
580.00	0.021324
581.00	0.022515
582.00	0.024828
583.00	0.027829
584.00	0.031291
585.00	0.035340
586.00	0.038559
587.00	0.040634
588.00	0.042195
589.00	0.043386
590.00	0.044165
591.00	0.043939
592.00	0.043712
593.00	0.043295
594.00	0.042852
595.00	0.041795
596.00	0.039890
597.00	0.037916
598.00	0.035475
599.00	0.033034
600.00	0.030673
601.00	0.028411
602.00	0.026165
603.00	0.024309
604.00	0.022452
605.00	0.020841
606.00	0.019340
607.00	0.018153
608.00	0.017267
609.00	0.016420
610.00	0.016318
611.00	0.016217
612.00	0.016115
613.00	0.016013
614.00	0.015912
615.00	0.015879
616.00	0.015879
617.00	0.015879
618.00	0.015879
619.00	0.015879
620.00	0.016259
621.00	0.016759
622.00	0.017260
623.00	0.017760
624.00	0.018210
625.00	0.018587
626.00	0.018963
627.00	0.020026
628.00	0.021777
629.00	0.023744
630.00	0.026174
631.00	0.028331
632.00	0.029854
633.00	0.031532
634.00	0.033456
635.00	0.036893
636.00	0.041708
637.00	0.047404
638.00	0.055957
639.00	0.067233
640.00	0.083546
641.00	0.10742
642.00	0.13125
643.00	0.15083
644.00	0.16497
645.00	0.16909
646.00	0.16535
647.00	0.14896
648.00	0.12769
649.00	0.10559
650.00	0.084764
651.00	0.067212
652.00	0.052813
653.00	0.039908
654.00	0.030172
655.00	0.022608
656.00	0.016796
657.00	0.013819
658.00	0.011828
659.00	0.0098664
660.00	0.0082414
661.00	0.0067408
662.00	0.0056356
663.00	0.0048539
664.00	0.0040722
665.00	0.0036699
666.00	0.0033874
667.00	0.0031049
668.00	0.0028224
669.00	0.0026999
670.00	0.0025952
671.00	0.0024904
672.00	0.0023856
673.00	0.0022550
674.00	0.0021163
675.00	0.0019775
676.00	0.0018387
677.00	0.0017815
678.00	0.0017459
679.00	0.0017104
680.00	0.0016748
681.00	0.0016392
682.00	0.0015849
683.00	0.0015303
684.00	0.0014756
685.00	0.0014209
686.00	0.0013728
687.00	0.0013728
688.00	0.0013728
689.00	0.0013728
690.00	0.0013728
691.00	0.0013728
692.00	0.0013728
693.00	0.0013728
694.00	0.0013728
695.00	0.0013728
696.00	0.0013728
697.00	0.0013728
698.00	0.0013728
699.00	0.0013728
700.00	0.0013728
