Wavelength (nm)	142 FbO1 (SE082) abs
350.00	0.075892
350.20	0.074608
350.40	0.075596
350.60	0.075036
350.80	0.075958
351.00	0.075135
351.20	0.077440
351.40	0.076485
351.60	0.076452
351.80	0.077078
352.00	0.077275
352.20	0.077440
352.40	0.078230
352.60	0.078592
352.80	0.078164
353.00	0.077440
353.20	0.079020
353.40	0.079744
353.60	0.079251
353.80	0.080930
354.00	0.080403
354.20	0.081424
354.40	0.081819
354.60	0.082049
354.80	0.081522
355.00	0.083136
355.20	0.083333
355.40	0.084420
355.60	0.085243
355.80	0.085704
356.00	0.084650
356.20	0.085901
356.40	0.086626
356.60	0.086297
356.80	0.088239
357.00	0.088568
357.20	0.088535
357.40	0.088832
357.60	0.088996
357.80	0.090346
358.00	0.089918
358.20	0.090511
358.40	0.090643
358.60	0.092388
358.80	0.091795
359.00	0.091137
359.20	0.092289
359.40	0.092783
359.60	0.094429
359.80	0.094692
360.00	0.095450
360.20	0.096009
360.40	0.096240
360.60	0.096898
360.80	0.096964
361.00	0.098314
361.20	0.098413
361.40	0.099862
361.60	0.10013
361.80	0.10062
362.00	0.10154
362.20	0.10197
362.40	0.10217
362.60	0.10289
362.80	0.10338
363.00	0.10404
363.20	0.10408
363.40	0.10464
363.60	0.10477
363.80	0.10625
364.00	0.10641
364.20	0.10684
364.40	0.10763
364.60	0.10786
364.80	0.10829
365.00	0.10925
365.20	0.10905
365.40	0.10964
365.60	0.11076
365.80	0.11106
366.00	0.11139
366.20	0.11250
366.40	0.11306
366.60	0.11306
366.80	0.11399
367.00	0.11389
367.20	0.11520
367.40	0.11675
367.60	0.11669
367.80	0.11679
368.00	0.11649
368.20	0.11748
368.40	0.11837
368.60	0.11919
368.80	0.11916
369.00	0.12067
369.20	0.12126
369.40	0.12261
369.60	0.12416
369.80	0.12482
370.00	0.12594
370.20	0.12676
370.40	0.12808
370.60	0.12854
370.80	0.13022
371.00	0.13081
371.20	0.13203
371.40	0.13325
371.60	0.13493
371.80	0.13552
372.00	0.13605
372.20	0.13766
372.40	0.13884
372.60	0.14043
372.80	0.14033
373.00	0.14214
373.20	0.14365
