Wavelength (nm)	142 MgO1.abs
300.00	0.054767
300.20	0.055132
300.40	0.055091
300.60	0.055200
300.80	0.055403
301.00	0.055796
301.20	0.055430
301.40	0.055416
301.60	0.055389
301.80	0.054997
302.00	0.055281
302.20	0.055498
302.40	0.055308
302.60	0.055078
302.80	0.055119
303.00	0.055159
303.20	0.055511
303.40	0.055674
303.60	0.055917
303.80	0.055267
304.00	0.055606
304.20	0.055471
304.40	0.055579
304.60	0.056120
304.80	0.055606
305.00	0.056175
305.20	0.055890
305.40	0.055917
305.60	0.056310
305.80	0.056689
306.00	0.056418
306.20	0.056540
306.40	0.056229
306.60	0.056405
306.80	0.056689
307.00	0.056432
307.20	0.056445
307.40	0.056662
307.60	0.056337
307.80	0.056662
308.00	0.056716
308.20	0.056621
308.40	0.056730
308.60	0.056608
308.80	0.056770
309.00	0.056811
309.20	0.056676
309.40	0.056648
309.60	0.056906
309.80	0.056865
310.00	0.056946
310.20	0.057204
310.40	0.057041
310.60	0.056946
310.80	0.057136
311.00	0.056743
311.20	0.056797
311.40	0.057136
311.60	0.057258
311.80	0.057055
312.00	0.056906
312.20	0.056933
312.40	0.056716
312.60	0.056527
312.80	0.056987
313.00	0.056973
313.20	0.057149
313.40	0.057109
313.60	0.057068
313.80	0.057055
314.00	0.057380
314.20	0.057204
314.40	0.057393
314.60	0.057149
314.80	0.057474
315.00	0.057529
315.20	0.057637
315.40	0.057908
315.60	0.057515
315.80	0.058029
316.00	0.057718
316.20	0.057596
316.40	0.057705
316.60	0.057501
316.80	0.057420
317.00	0.057420
317.20	0.057840
317.40	0.057881
317.60	0.058043
317.80	0.058287
318.00	0.058178
318.20	0.058138
318.40	0.058409
318.60	0.058300
318.80	0.058300
319.00	0.058720
319.20	0.059045
319.40	0.058910
319.60	0.058937
319.80	0.059045
320.00	0.059383
320.20	0.059058
320.40	0.059180
320.60	0.058964
320.80	0.059316
321.00	0.059708
321.20	0.059316
321.40	0.059559
321.60	0.059370
321.80	0.059465
322.00	0.059925
322.20	0.059356
322.40	0.059817
322.60	0.060101
322.80	0.060006
323.00	0.060439
323.20	0.060101
323.40	0.060115
