Wavelength (nm)	137 Oxo-4.ems
550.00	0.00082450
551.00	0.00083296
552.00	0.00084143
553.00	0.00084989
554.00	0.00085835
555.00	0.00086682
556.00	0.00087528
557.00	0.00088374
558.00	0.00089221
559.00	0.00090067
560.00	0.00090326
561.00	0.00090333
562.00	0.00090340
563.00	0.00090347
564.00	0.00090353
565.00	0.00090360
566.00	0.00090367
567.00	0.00090654
568.00	0.00092213
569.00	0.00093772
570.00	0.00095331
571.00	0.00096891
572.00	0.00098450
573.00	0.0010001
574.00	0.0010068
575.00	0.0010115
576.00	0.0010162
577.00	0.0010209
578.00	0.0010256
579.00	0.0010303
580.00	0.0010558
581.00	0.0012346
582.00	0.0014133
583.00	0.0015921
584.00	0.0017708
585.00	0.0019495
586.00	0.0021283
587.00	0.0023070
588.00	0.0023496
589.00	0.0021501
590.00	0.0019506
591.00	0.0017511
592.00	0.0015515
593.00	0.0013520
594.00	0.0011525
595.00	0.0010120
596.00	0.0010483
597.00	0.0010846
598.00	0.0011210
599.00	0.0011573
600.00	0.0011863
601.00	0.0011876
602.00	0.0011888
603.00	0.0011901
604.00	0.0011914
605.00	0.0011927
606.00	0.0012699
607.00	0.0013615
608.00	0.0014531
609.00	0.0015447
610.00	0.0016363
611.00	0.0017804
612.00	0.0019836
613.00	0.0021868
614.00	0.0023899
615.00	0.0025931
616.00	0.0030897
617.00	0.0037818
618.00	0.0044740
619.00	0.0055007
620.00	0.0070733
621.00	0.0086460
622.00	0.010827
623.00	0.013076
624.00	0.017195
625.00	0.022234
626.00	0.027388
627.00	0.032595
628.00	0.039702
629.00	0.048429
630.00	0.061734
631.00	0.076609
632.00	0.095265
633.00	0.12355
634.00	0.16071
635.00	0.21461
636.00	0.31170
637.00	0.43608
638.00	0.55918
639.00	0.68803
640.00	0.81314
641.00	0.91478
642.00	0.98704
643.00	1.0000
644.00	0.98456
645.00	0.93983
646.00	0.87244
647.00	0.78291
648.00	0.69365
649.00	0.60277
650.00	0.49994
651.00	0.41813
652.00	0.35360
653.00	0.30876
654.00	0.27248
655.00	0.24102
656.00	0.21461
657.00	0.19064
658.00	0.16907
659.00	0.14948
660.00	0.13235
661.00	0.11612
662.00	0.10263
663.00	0.089404
664.00	0.081507
665.00	0.074012
666.00	0.069767
667.00	0.066917
668.00	0.064512
669.00	0.062471
670.00	0.060430
671.00	0.060713
672.00	0.061506
673.00	0.062312
674.00	0.064442
675.00	0.066571
676.00	0.068700
677.00	0.070681
678.00	0.072639
679.00	0.074597
680.00	0.077513
681.00	0.080765
682.00	0.083979
683.00	0.087010
684.00	0.090040
685.00	0.092596
686.00	0.095019
687.00	0.094043
688.00	0.091692
689.00	0.089550
690.00	0.087597
691.00	0.086250
692.00	0.084901
693.00	0.085400
694.00	0.086482
695.00	0.090480
696.00	0.095726
697.00	0.10156
698.00	0.10805
699.00	0.11490
700.00	0.12286
701.00	0.13031
702.00	0.13705
703.00	0.14220
704.00	0.14586
705.00	0.14952
706.00	0.15333
707.00	0.15722
708.00	0.16163
709.00	0.16662
710.00	0.17081
711.00	0.17443
712.00	0.17740
713.00	0.17863
714.00	0.17786
715.00	0.17466
716.00	0.16656
717.00	0.15688
718.00	0.14416
719.00	0.13209
720.00	0.12025
721.00	0.10874
722.00	0.097406
723.00	0.086698
724.00	0.077109
725.00	0.068065
726.00	0.061071
727.00	0.054076
728.00	0.049704
729.00	0.045623
730.00	0.041541
731.00	0.038071
732.00	0.034794
733.00	0.031516
734.00	0.029192
735.00	0.027011
736.00	0.024885
737.00	0.023610
738.00	0.022336
739.00	0.021061
740.00	0.020048
741.00	0.019035
742.00	0.018022
743.00	0.017373
744.00	0.016880
745.00	0.016386
746.00	0.015923
747.00	0.015526
748.00	0.015129
749.00	0.014732
750.00	0.014375
751.00	0.014375
752.00	0.014375
753.00	0.014375
754.00	0.014375
755.00	0.014246
756.00	0.013914
757.00	0.013582
758.00	0.013250
759.00	0.012919
760.00	0.012610
761.00	0.012342
762.00	0.012075
763.00	0.011808
764.00	0.011541
765.00	0.011274
766.00	0.011146
767.00	0.011051
768.00	0.010955
769.00	0.010860
770.00	0.010765
771.00	0.010669
772.00	0.010574
773.00	0.010479
774.00	0.010290
775.00	0.010097
776.00	0.0099042
777.00	0.0097114
778.00	0.0095186
779.00	0.0093258
780.00	0.0091329
781.00	0.0089401
782.00	0.0088032
783.00	0.0088032
784.00	0.0088032
785.00	0.0088032
786.00	0.0088032
787.00	0.0088032
788.00	0.0088032
789.00	0.0088032
790.00	0.0088032
791.00	0.0088032
792.00	0.0088032
793.00	0.0088032
794.00	0.0088032
795.00	0.0088032
796.00	0.0088032
797.00	0.0088032
798.00	0.0088032
799.00	0.0088032
800.00	0.0088032
