Wavelength (nm)	L179 ZnOxo3 (SE115).ems
550.00	0.0025330
551.00	0.0024649
552.00	0.0036875
553.00	0.0033485
554.00	0.0032241
555.00	0.0031887
556.00	0.0031762
557.00	0.0034668
558.00	0.0034496
559.00	0.0045064
560.00	0.0039224
561.00	0.0036890
562.00	0.0028692
563.00	0.0036749
564.00	0.0030072
565.00	0.0033573
566.00	0.0029872
567.00	0.0021221
568.00	0.0029807
569.00	0.0033634
570.00	0.0026369
571.00	0.0021305
572.00	0.0022535
573.00	0.0029832
574.00	0.0031541
575.00	0.0038470
576.00	0.0020498
577.00	0.0021585
578.00	0.0021775
579.00	0.0032031
580.00	0.0029119
581.00	0.0016059
582.00	0.0017478
583.00	0.0018789
584.00	0.0015486
585.00	0.0021278
586.00	0.0019971
587.00	0.0022860
588.00	0.0020602
589.00	0.0024455
590.00	0.0016021
591.00	0.0030086
592.00	0.0031371
593.00	0.0026900
594.00	0.0032836
595.00	0.0043023
596.00	0.0040314
597.00	0.0062529
598.00	0.0074084
599.00	0.0083906
600.00	0.0092191
601.00	0.010107
602.00	0.014368
603.00	0.018760
604.00	0.021442
605.00	0.026244
606.00	0.033833
607.00	0.041746
608.00	0.052512
609.00	0.062787
610.00	0.074728
611.00	0.090103
612.00	0.099955
613.00	0.11814
614.00	0.13515
615.00	0.16359
616.00	0.18757
617.00	0.22598
618.00	0.27126
619.00	0.32921
620.00	0.39464
621.00	0.48390
622.00	0.57186
623.00	0.68368
624.00	0.78809
625.00	0.89407
626.00	0.95505
627.00	1.00000
628.00	0.99970
629.00	0.95812
630.00	0.89556
631.00	0.81240
632.00	0.72970
633.00	0.63474
634.00	0.56490
635.00	0.49514
636.00	0.43706
637.00	0.37804
638.00	0.33701
639.00	0.30312
640.00	0.27747
641.00	0.24777
642.00	0.22874
643.00	0.21449
644.00	0.19683
645.00	0.18234
646.00	0.16604
647.00	0.15354
648.00	0.14817
649.00	0.13070
650.00	0.12258
651.00	0.11563
652.00	0.11476
653.00	0.10695
654.00	0.10342
655.00	0.10027
656.00	0.10296
657.00	0.10223
658.00	0.10568
659.00	0.10755
660.00	0.10869
661.00	0.11079
662.00	0.10906
663.00	0.11260
664.00	0.11568
665.00	0.11550
666.00	0.11983
667.00	0.12463
668.00	0.12897
669.00	0.13459
670.00	0.13934
671.00	0.14519
672.00	0.14721
673.00	0.14989
674.00	0.15372
675.00	0.16058
676.00	0.16171
677.00	0.17307
678.00	0.17169
679.00	0.18319
680.00	0.18973
681.00	0.19562
682.00	0.19796
683.00	0.20009
684.00	0.20502
685.00	0.21228
686.00	0.20660
687.00	0.20786
688.00	0.20806
689.00	0.20140
690.00	0.20288
691.00	0.20639
692.00	0.20022
693.00	0.18801
694.00	0.18698
695.00	0.17658
696.00	0.17048
697.00	0.16283
698.00	0.15453
699.00	0.14414
700.00	0.12862
701.00	0.11672
702.00	0.10984
703.00	0.10019
704.00	0.085855
705.00	0.077959
706.00	0.072907
707.00	0.070347
708.00	0.063029
709.00	0.060109
710.00	0.058539
711.00	0.050774
712.00	0.048382
713.00	0.044320
714.00	0.042404
715.00	0.036808
716.00	0.034875
717.00	0.033821
718.00	0.028560
719.00	0.031229
720.00	0.030816
721.00	0.026889
722.00	0.027615
723.00	0.027619
724.00	0.026473
725.00	0.025057
726.00	0.023653
727.00	0.021025
728.00	0.022685
729.00	0.024619
730.00	0.021757
731.00	0.018683
732.00	0.018784
733.00	0.017350
734.00	0.018772
735.00	0.019831
736.00	0.019319
737.00	0.019590
738.00	0.016468
739.00	0.018891
740.00	0.021366
741.00	0.018834
742.00	0.018296
743.00	0.018963
744.00	0.022189
745.00	0.018553
746.00	0.016913
747.00	0.018397
748.00	0.019069
749.00	0.016819
750.00	0.018645
751.00	0.017226
752.00	0.017122
753.00	0.016363
754.00	0.016069
755.00	0.014523
756.00	0.013855
757.00	0.016378
758.00	0.016559
759.00	0.012850
760.00	0.016478
761.00	0.016201
762.00	0.013238
763.00	0.011291
764.00	0.016034
765.00	0.018019
766.00	0.013261
767.00	0.015999
768.00	0.011400
769.00	0.013305
770.00	0.015823
771.00	0.012165
772.00	0.012271
773.00	0.012473
774.00	0.013682
775.00	0.0076988
776.00	0.011030
777.00	0.0085195
778.00	0.0065840
779.00	0.0079876
780.00	0.0085623
781.00	0.0079258
782.00	0.0094413
783.00	0.0061853
784.00	0.0090227
785.00	0.0089170
786.00	0.0096978
787.00	0.0099278
788.00	0.011625
789.00	0.0066483
790.00	0.0074289
791.00	0.0013502
792.00	0.0050520
793.00	0.0098848
794.00	0.0079168
795.00	0.0042272
796.00	0.0078543
797.00	0.0081237
798.00	0.0056790
799.00	0.010290
800.00	0.0045433
