Wavelength (nm)	285 FbC-A7P10HO17.ems
550.00	0.00099182
551.00	0.0010499
552.00	0.00085578
553.00	0.00071701
554.00	0.00085240
555.00	0.00091070
556.00	0.0011815
557.00	0.00088621
558.00	0.00076020
559.00	0.00091844
560.00	0.00093464
561.00	0.0010378
562.00	0.00068930
563.00	0.00095802
564.00	0.00078762
565.00	0.00092059
566.00	0.0010762
567.00	0.0010650
568.00	0.00092928
569.00	0.0010203
570.00	0.0010455
571.00	0.00094582
572.00	0.00072673
573.00	0.0012354
574.00	0.0012921
575.00	0.0011617
576.00	0.0013689
577.00	0.0014794
578.00	0.0014013
579.00	0.0016646
580.00	0.0017161
581.00	0.0017234
582.00	0.0018307
583.00	0.0025181
584.00	0.0023657
585.00	0.0023366
586.00	0.0026513
587.00	0.0028586
588.00	0.0026969
589.00	0.0020586
590.00	0.0024168
591.00	0.0024999
592.00	0.0029688
593.00	0.0025875
594.00	0.0027451
595.00	0.0028714
596.00	0.0025412
597.00	0.0025691
598.00	0.0029435
599.00	0.0029235
600.00	0.0030613
601.00	0.0029448
602.00	0.0029109
603.00	0.0032572
604.00	0.0035817
605.00	0.0036529
606.00	0.0041204
607.00	0.0044285
608.00	0.0051397
609.00	0.0056136
610.00	0.0067782
611.00	0.0078880
612.00	0.0085311
613.00	0.0099363
614.00	0.011062
615.00	0.015115
616.00	0.017398
617.00	0.021575
618.00	0.028223
619.00	0.035099
620.00	0.043320
621.00	0.053899
622.00	0.069167
623.00	0.090327
624.00	0.12040
625.00	0.16312
626.00	0.22565
627.00	0.29823
628.00	0.39866
629.00	0.49918
630.00	0.60918
631.00	0.71598
632.00	0.80965
633.00	0.89644
634.00	0.95365
635.00	0.99295
636.00	1.0000
637.00	0.99012
638.00	0.94219
639.00	0.87647
640.00	0.80207
641.00	0.72216
642.00	0.63740
643.00	0.56111
644.00	0.49137
645.00	0.42527
646.00	0.37307
647.00	0.32551
648.00	0.28722
649.00	0.24886
650.00	0.22119
651.00	0.19790
652.00	0.17409
653.00	0.15342
654.00	0.13627
655.00	0.11980
656.00	0.11250
657.00	0.10665
658.00	0.095290
659.00	0.093255
660.00	0.089807
661.00	0.091308
662.00	0.090049
663.00	0.089662
664.00	0.094697
665.00	0.093764
666.00	0.096436
667.00	0.098734
668.00	0.10206
669.00	0.10224
670.00	0.10209
671.00	0.10577
672.00	0.10791
673.00	0.10912
674.00	0.11160
675.00	0.11400
676.00	0.11656
677.00	0.11754
678.00	0.11695
679.00	0.11771
680.00	0.12059
681.00	0.11915
682.00	0.11568
683.00	0.11874
684.00	0.12129
685.00	0.12284
686.00	0.12456
687.00	0.12515
688.00	0.12783
689.00	0.13230
690.00	0.13819
691.00	0.13898
692.00	0.14454
693.00	0.14569
694.00	0.15045
695.00	0.15453
696.00	0.15593
697.00	0.16051
698.00	0.15845
699.00	0.16367
700.00	0.15996
701.00	0.15883
702.00	0.15654
703.00	0.15528
704.00	0.15275
705.00	0.14530
706.00	0.13996
707.00	0.13203
708.00	0.12107
709.00	0.11474
710.00	0.10586
711.00	0.096267
712.00	0.091068
713.00	0.079241
714.00	0.071963
715.00	0.067845
716.00	0.057837
717.00	0.049673
718.00	0.047232
719.00	0.044612
720.00	0.041019
721.00	0.037065
722.00	0.034474
723.00	0.031210
724.00	0.028942
725.00	0.026345
726.00	0.024791
727.00	0.024292
728.00	0.023322
729.00	0.020403
730.00	0.020428
731.00	0.018332
732.00	0.021205
733.00	0.020203
734.00	0.019558
735.00	0.015499
736.00	0.017862
737.00	0.017108
738.00	0.017902
739.00	0.015355
740.00	0.015576
741.00	0.017111
742.00	0.013659
743.00	0.017232
744.00	0.014901
745.00	0.014851
746.00	0.015735
747.00	0.014887
748.00	0.014900
749.00	0.015182
750.00	0.016173
751.00	0.013467
752.00	0.013065
753.00	0.012243
754.00	0.014237
755.00	0.012569
756.00	0.013975
757.00	0.014175
758.00	0.012611
759.00	0.014621
760.00	0.012712
761.00	0.012668
762.00	0.012396
763.00	0.014748
764.00	0.013523
765.00	0.013706
766.00	0.016181
767.00	0.011666
768.00	0.011065
769.00	0.012328
770.00	0.011863
771.00	0.013117
772.00	0.012806
773.00	0.011884
774.00	0.010028
775.00	0.012636
776.00	0.013433
777.00	0.013356
778.00	0.011958
779.00	0.012818
780.00	0.010524
781.00	0.012817
782.00	0.010620
783.00	0.013657
784.00	0.011046
785.00	0.013903
786.00	0.012599
787.00	0.011727
788.00	0.012885
789.00	0.0087432
790.00	0.010413
791.00	0.011332
792.00	0.012150
793.00	0.010610
794.00	0.010475
795.00	0.011302
796.00	0.012510
797.00	0.014169
798.00	0.011753
799.00	0.011926
800.00	0.010390
