Wavelength (nm)	179 ZnOXO1-Br20.abs
300.00	0.057483
301.00	0.058062
302.00	0.058290
303.00	0.058844
304.00	0.058869
305.00	0.059313
306.00	0.059703
307.00	0.059625
308.00	0.059953
309.00	0.060232
310.00	0.060457
311.00	0.060675
312.00	0.060590
313.00	0.060662
314.00	0.061061
315.00	0.061548
316.00	0.061894
317.00	0.062293
318.00	0.062797
319.00	0.063044
320.00	0.063320
321.00	0.063711
322.00	0.063656
323.00	0.063991
324.00	0.064334
325.00	0.064356
326.00	0.064830
327.00	0.064874
328.00	0.065107
329.00	0.065469
330.00	0.065713
331.00	0.066152
332.00	0.066532
333.00	0.066795
334.00	0.066995
335.00	0.067119
336.00	0.067120
337.00	0.066719
338.00	0.066120
339.00	0.065437
340.00	0.064546
341.00	0.063641
342.00	0.062439
343.00	0.061193
344.00	0.060190
345.00	0.059174
346.00	0.058057
347.00	0.057033
348.00	0.056000
349.00	0.055268
350.00	0.054538
351.00	0.053802
352.00	0.053152
353.00	0.052854
354.00	0.052477
355.00	0.052196
356.00	0.052380
357.00	0.052354
358.00	0.052007
359.00	0.051617
360.00	0.050280
361.00	0.049624
362.00	0.049485
363.00	0.049666
364.00	0.049999
365.00	0.050841
366.00	0.051590
367.00	0.051564
368.00	0.051243
369.00	0.051438
370.00	0.051359
371.00	0.052445
372.00	0.053210
373.00	0.054111
374.00	0.054474
375.00	0.055252
376.00	0.055991
377.00	0.056592
378.00	0.057543
379.00	0.058612
380.00	0.058864
381.00	0.059822
382.00	0.060885
383.00	0.061542
384.00	0.062319
385.00	0.063020
386.00	0.063561
387.00	0.064615
388.00	0.065958
389.00	0.066679
390.00	0.068040
391.00	0.070184
392.00	0.073080
393.00	0.076253
394.00	0.079423
395.00	0.084391
396.00	0.090728
397.00	0.098924
398.00	0.10776
399.00	0.11618
400.00	0.12473
401.00	0.13491
402.00	0.14486
403.00	0.15404
404.00	0.16289
405.00	0.17057
406.00	0.17477
407.00	0.17692
408.00	0.17848
409.00	0.17826
410.00	0.17685
411.00	0.17474
412.00	0.17454
413.00	0.17547
414.00	0.17833
415.00	0.18627
416.00	0.20019
417.00	0.22093
418.00	0.25021
419.00	0.28939
420.00	0.34256
421.00	0.41060
422.00	0.48890
423.00	0.58090
424.00	0.68341
425.00	0.79160
426.00	0.88415
427.00	0.96505
428.00	1.0000
429.00	0.99466
430.00	0.95767
431.00	0.88682
432.00	0.79700
433.00	0.69671
434.00	0.59835
435.00	0.51017
436.00	0.42550
437.00	0.34932
438.00	0.28351
439.00	0.22784
440.00	0.18134
441.00	0.14252
442.00	0.11321
443.00	0.090051
444.00	0.071453
445.00	0.057759
446.00	0.046992
447.00	0.039306
448.00	0.033720
449.00	0.029630
450.00	0.026251
451.00	0.023792
452.00	0.021745
453.00	0.020121
454.00	0.019302
455.00	0.019008
456.00	0.017616
457.00	0.017610
458.00	0.017269
459.00	0.017181
460.00	0.016004
461.00	0.015807
462.00	0.014018
463.00	0.015575
464.00	0.015711
465.00	0.015501
466.00	0.014564
467.00	0.013172
468.00	0.013845
469.00	0.013486
470.00	0.012916
471.00	0.012746
472.00	0.013490
473.00	0.014101
474.00	0.013732
475.00	0.013874
476.00	0.013177
477.00	0.012872
478.00	0.013810
479.00	0.012973
480.00	0.013892
481.00	0.013322
482.00	0.013174
483.00	0.013272
484.00	0.012645
485.00	0.012603
486.00	0.012636
487.00	0.012821
488.00	0.012463
489.00	0.011301
490.00	0.011995
491.00	0.011087
492.00	0.010859
493.00	0.011106
494.00	0.010745
495.00	0.0098962
496.00	0.011061
497.00	0.010280
498.00	0.0096544
499.00	0.010329
500.00	0.0094992
501.00	0.0098998
502.00	0.010081
503.00	0.0093531
504.00	0.0090184
505.00	0.0093761
506.00	0.0094289
507.00	0.0098639
508.00	0.010546
509.00	0.010192
510.00	0.010807
511.00	0.011220
512.00	0.011382
513.00	0.011661
514.00	0.012154
515.00	0.012657
516.00	0.013343
517.00	0.014417
518.00	0.015142
519.00	0.015662
520.00	0.016290
521.00	0.016822
522.00	0.017048
523.00	0.017777
524.00	0.018408
525.00	0.018091
526.00	0.017760
527.00	0.018248
528.00	0.018381
529.00	0.018108
530.00	0.017075
531.00	0.016695
532.00	0.016067
533.00	0.016424
534.00	0.016247
535.00	0.015829
536.00	0.014859
537.00	0.014931
538.00	0.015505
539.00	0.015463
540.00	0.014970
541.00	0.015261
542.00	0.015815
543.00	0.015880
544.00	0.016283
545.00	0.016249
546.00	0.016501
547.00	0.017683
548.00	0.018353
549.00	0.017827
550.00	0.018220
551.00	0.018957
552.00	0.019944
553.00	0.020143
554.00	0.020123
555.00	0.020486
556.00	0.021527
557.00	0.021972
558.00	0.023679
559.00	0.024936
560.00	0.026947
561.00	0.028376
562.00	0.029480
563.00	0.030531
564.00	0.031260
565.00	0.031064
566.00	0.030609
567.00	0.031299
568.00	0.030181
569.00	0.030643
570.00	0.030408
571.00	0.028508
572.00	0.026661
573.00	0.025314
574.00	0.025625
575.00	0.023143
576.00	0.021635
577.00	0.021930
578.00	0.021950
579.00	0.017851
580.00	0.019453
581.00	0.020047
582.00	0.020316
583.00	0.015175
584.00	0.017651
585.00	0.021954
586.00	0.019543
587.00	0.021270
588.00	0.022849
589.00	0.022910
590.00	0.025311
591.00	0.027674
592.00	0.030936
593.00	0.034511
594.00	0.033642
595.00	0.035740
596.00	0.036183
597.00	0.037244
598.00	0.038444
599.00	0.040000
600.00	0.038350
601.00	0.037407
602.00	0.037253
603.00	0.038120
604.00	0.038517
605.00	0.040620
606.00	0.045378
607.00	0.050225
608.00	0.057483
609.00	0.067824
610.00	0.083322
611.00	0.099946
612.00	0.11873
613.00	0.13611
614.00	0.14779
615.00	0.15016
616.00	0.14347
617.00	0.12907
618.00	0.11224
619.00	0.093088
620.00	0.076372
621.00	0.061953
622.00	0.048839
623.00	0.039359
624.00	0.031528
625.00	0.024714
626.00	0.019679
627.00	0.015785
628.00	0.013351
629.00	0.011380
630.00	0.010129
631.00	0.0089071
632.00	0.0078848
633.00	0.0075733
634.00	0.0070934
635.00	0.0066955
636.00	0.0062035
637.00	0.0056286
638.00	0.0055017
639.00	0.0059994
640.00	0.0052669
641.00	0.0048138
642.00	0.0048922
643.00	0.0055851
644.00	0.0057811
645.00	0.0049631
646.00	0.0042804
647.00	0.0031759
648.00	0.0032478
649.00	0.0032484
650.00	0.0029830
651.00	0.0034432
652.00	0.0039091
653.00	0.0040065
654.00	0.0033329
655.00	0.0036251
656.00	0.0031428
657.00	0.0022189
658.00	0.0033965
659.00	0.0029828
660.00	0.0034393
661.00	0.0030795
662.00	0.0031149
663.00	0.0031793
664.00	0.0029658
665.00	0.0031536
666.00	0.0033290
667.00	0.0027935
668.00	0.0028157
669.00	0.0026348
670.00	0.0021425
671.00	0.0023864
672.00	0.0021176
673.00	0.0021258
674.00	0.0018269
675.00	0.0017716
676.00	0.0019680
677.00	0.0016013
678.00	0.0016269
679.00	0.0017045
680.00	0.0015360
681.00	0.0014638
682.00	0.0014664
683.00	0.0015838
684.00	0.0011005
685.00	0.00087219
686.00	0.0011406
687.00	0.0014043
688.00	0.0011215
689.00	0.0012163
690.00	0.0011962
691.00	0.00073789
692.00	0.0011887
693.00	0.00098015
694.00	0.00087739
695.00	0.0010864
696.00	0.0012558
697.00	0.00076008
698.00	0.00083548
699.00	0.0010877
700.00	0.0010772
