Wavelength (nm)	ZnP (SE322)
300.00	0.035955
301.00	0.035324
302.00	0.034706
303.00	0.034299
304.00	0.033647
305.00	0.033113
306.00	0.032437
307.00	0.031427
308.00	0.030821
309.00	0.030472
310.00	0.030699
311.00	0.030863
312.00	0.030988
313.00	0.031120
314.00	0.031321
315.00	0.031779
316.00	0.032079
317.00	0.032395
318.00	0.032843
319.00	0.033216
320.00	0.033663
321.00	0.034019
322.00	0.034300
323.00	0.034636
324.00	0.034797
325.00	0.034956
326.00	0.035163
327.00	0.035279
328.00	0.035402
329.00	0.035662
330.00	0.035915
331.00	0.036201
332.00	0.036425
333.00	0.036828
334.00	0.037137
335.00	0.037772
336.00	0.038491
337.00	0.039159
338.00	0.040131
339.00	0.041134
340.00	0.042225
341.00	0.043520
342.00	0.044805
343.00	0.046136
344.00	0.047240
345.00	0.048288
346.00	0.049300
347.00	0.049891
348.00	0.050324
349.00	0.050499
350.00	0.050372
351.00	0.050135
352.00	0.049970
353.00	0.049631
354.00	0.049343
355.00	0.049400
356.00	0.049505
357.00	0.049670
358.00	0.049951
359.00	0.050028
360.00	0.050170
361.00	0.050543
362.00	0.050993
363.00	0.051718
364.00	0.052571
365.00	0.053770
366.00	0.055212
367.00	0.057658
368.00	0.060481
369.00	0.064155
370.00	0.068737
371.00	0.074902
372.00	0.082333
373.00	0.091109
374.00	0.10147
375.00	0.11374
376.00	0.12720
377.00	0.14048
378.00	0.15480
379.00	0.16871
380.00	0.17990
381.00	0.18915
382.00	0.19583
383.00	0.19987
384.00	0.20157
385.00	0.20231
386.00	0.20224
387.00	0.20435
388.00	0.21085
389.00	0.22054
390.00	0.23563
391.00	0.25845
392.00	0.29106
393.00	0.33282
394.00	0.37938
395.00	0.44007
396.00	0.51367
397.00	0.60323
398.00	0.70363
399.00	0.80392
400.00	0.89491
401.00	0.96633
402.00	1.0000
403.00	0.98706
404.00	0.92794
405.00	0.83209
406.00	0.71924
407.00	0.59906
408.00	0.48640
409.00	0.39076
410.00	0.31515
411.00	0.25423
412.00	0.20856
413.00	0.17509
414.00	0.15101
415.00	0.13252
416.00	0.11924
417.00	0.10827
418.00	0.097893
419.00	0.088544
420.00	0.080218
421.00	0.073573
422.00	0.067164
423.00	0.059789
424.00	0.051519
425.00	0.045663
426.00	0.039991
427.00	0.036141
428.00	0.031879
429.00	0.029170
430.00	0.026772
431.00	0.025243
432.00	0.022083
433.00	0.018923
