Wavelength (nm)	L275 ZnP (SE322).ems
552.00	0.0023879
552.20	0.0018894
552.40	0.0025070
552.60	0.0020963
552.80	0.0021068
553.00	0.0024211
553.20	0.0020591
553.40	0.0022265
553.60	0.0017955
553.80	0.0018746
554.00	0.0019243
554.20	0.0025437
554.40	0.0015620
554.60	0.0018868
554.80	0.0017006
555.00	0.0019765
555.20	0.0023017
555.40	0.0028535
555.60	0.0023819
555.80	0.0026092
556.00	0.0020486
556.20	0.0026798
556.40	0.0021090
556.60	0.0025238
556.80	0.0018737
557.00	0.0022294
557.20	0.0019634
557.40	0.0024668
557.60	0.0023784
557.80	0.0023491
558.00	0.0021915
558.20	0.0025472
558.40	0.0020341
558.60	0.0023800
558.80	0.0025285
559.00	0.0023610
559.20	0.0022823
559.40	0.0024406
559.60	0.0025596
559.80	0.0016901
560.00	0.0030051
560.20	0.0031835
560.40	0.0020863
560.60	0.0029371
560.80	0.0031452
561.00	0.0022752
561.20	0.0021072
561.40	0.0025825
561.60	0.0023850
561.80	0.0027416
562.00	0.0028608
562.20	0.0029120
562.40	0.0020020
562.60	0.0032429
562.80	0.0022625
563.00	0.0031178
563.20	0.0023348
563.40	0.0026543
563.60	0.0017706
563.80	0.0025281
564.00	0.0025197
564.20	0.0032289
564.40	0.0034102
564.60	0.0030830
564.80	0.0028753
565.00	0.0026473
565.20	0.0030287
565.40	0.0030105
565.60	0.0026321
565.80	0.0036149
566.00	0.0020140
566.20	0.0024764
566.40	0.0032403
566.60	0.0030817
566.80	0.0025311
567.00	0.0024019
567.20	0.0032467
567.40	0.0023625
567.60	0.0034387
567.80	0.0031577
568.00	0.0029771
568.20	0.0030077
568.40	0.0030182
568.60	0.0029382
568.80	0.0026769
569.00	0.0026874
569.20	0.0032415
569.40	0.0034433
569.60	0.0027591
569.80	0.0034343
570.00	0.0026492
570.20	0.0025992
570.40	0.0028414
570.60	0.0029325
570.80	0.0036183
571.00	0.0033770
571.20	0.0032968
571.40	0.0032368
571.60	0.0037213
571.80	0.0036815
572.00	0.0038536
572.20	0.0042093
572.40	0.0034544
572.60	0.0040326
572.80	0.0036913
573.00	0.0035519
573.20	0.0045971
573.40	0.0037995
573.60	0.0037816
573.80	0.0041491
574.00	0.0043750
574.20	0.0041847
574.40	0.0039333
574.60	0.0039967
574.80	0.0043146
575.00	0.0037878
575.20	0.0045645
575.40	0.0047406
575.60	0.0044273
575.80	0.0035113
576.00	0.0049026
576.20	0.0046195
576.40	0.0050211
576.60	0.0048400
576.80	0.0045051
577.00	0.0046411
577.20	0.0049605
577.40	0.0046241
577.60	0.0051899
577.80	0.0059100
578.00	0.0049371
578.20	0.0050621
578.40	0.0059167
