Wavelength (nm)	FbOP-Br7M10
300.00	0.15352
301.00	0.15881
302.00	0.16315
303.00	0.16763
304.00	0.17289
305.00	0.17709
306.00	0.18135
307.00	0.18473
308.00	0.18716
309.00	0.18983
310.00	0.19171
311.00	0.19351
312.00	0.19609
313.00	0.19887
314.00	0.20246
315.00	0.20715
316.00	0.21159
317.00	0.21729
318.00	0.22195
319.00	0.22606
320.00	0.22779
321.00	0.22767
322.00	0.22402
323.00	0.21801
324.00	0.21015
325.00	0.20097
326.00	0.19154
327.00	0.18307
328.00	0.17583
329.00	0.17041
330.00	0.16556
331.00	0.16192
332.00	0.15880
333.00	0.15676
334.00	0.15526
335.00	0.15426
336.00	0.15385
337.00	0.15373
338.00	0.15372
339.00	0.15415
340.00	0.15430
341.00	0.15579
342.00	0.15698
343.00	0.15867
344.00	0.16062
345.00	0.16310
346.00	0.16592
347.00	0.16880
348.00	0.17274
349.00	0.17603
350.00	0.17897
351.00	0.18319
352.00	0.18688
353.00	0.19013
354.00	0.19351
355.00	0.19678
356.00	0.20029
357.00	0.20258
358.00	0.20537
359.00	0.20715
360.00	0.20981
361.00	0.21362
362.00	0.21829
363.00	0.22247
364.00	0.22900
365.00	0.23560
366.00	0.24396
367.00	0.25325
368.00	0.26425
369.00	0.27525
370.00	0.28577
371.00	0.29483
372.00	0.30265
373.00	0.31236
374.00	0.32035
375.00	0.32756
376.00	0.33370
377.00	0.33863
378.00	0.34139
379.00	0.34436
380.00	0.34532
381.00	0.34686
382.00	0.34704
383.00	0.34690
384.00	0.34869
385.00	0.34977
386.00	0.35208
387.00	0.35554
388.00	0.36001
389.00	0.36625
390.00	0.37463
391.00	0.38463
392.00	0.39582
393.00	0.40944
394.00	0.42351
395.00	0.43918
396.00	0.45577
397.00	0.47369
398.00	0.49539
399.00	0.51651
400.00	0.53929
401.00	0.56358
402.00	0.58903
403.00	0.61488
404.00	0.64131
405.00	0.66720
406.00	0.69048
407.00	0.71021
408.00	0.72867
409.00	0.74385
410.00	0.75721
411.00	0.76758
412.00	0.77944
413.00	0.79236
414.00	0.80524
415.00	0.82291
416.00	0.84029
417.00	0.86051
418.00	0.88252
419.00	0.90385
420.00	0.92798
421.00	0.95028
422.00	0.96959
423.00	0.98360
424.00	0.99354
425.00	1.0000
426.00	0.99919
427.00	0.99319
428.00	0.98212
429.00	0.96700
430.00	0.94825
431.00	0.92607
432.00	0.89402
433.00	0.84956
434.00	0.79877
435.00	0.74031
436.00	0.67369
437.00	0.60207
438.00	0.52946
439.00	0.45836
440.00	0.39181
441.00	0.32834
442.00	0.27762
443.00	0.23355
444.00	0.19584
445.00	0.16471
446.00	0.13739
447.00	0.11596
448.00	0.097384
449.00	0.081883
450.00	0.068893
451.00	0.059728
452.00	0.050468
453.00	0.044799
454.00	0.039787
455.00	0.035846
456.00	0.032185
457.00	0.030439
458.00	0.028431
459.00	0.027096
460.00	0.026509
461.00	0.026121
462.00	0.025734
463.00	0.024978
464.00	0.024859
465.00	0.024394
466.00	0.025246
467.00	0.025154
468.00	0.024793
469.00	0.024809
470.00	0.025757
471.00	0.026405
472.00	0.026785
473.00	0.027668
474.00	0.028485
475.00	0.028712
476.00	0.030281
477.00	0.030930
478.00	0.031932
479.00	0.033075
480.00	0.033720
481.00	0.034499
482.00	0.034768
483.00	0.036391
484.00	0.036410
485.00	0.036982
486.00	0.036571
487.00	0.037182
488.00	0.038525
489.00	0.038605
490.00	0.038751
491.00	0.038816
492.00	0.038862
493.00	0.038517
494.00	0.038939
495.00	0.039668
496.00	0.038636
497.00	0.039561
498.00	0.040121
499.00	0.041269
500.00	0.041603
501.00	0.042478
502.00	0.044396
503.00	0.046879
504.00	0.048441
505.00	0.051109
506.00	0.054140
507.00	0.056320
508.00	0.059578
509.00	0.062296
510.00	0.065162
511.00	0.068056
512.00	0.071138
513.00	0.074146
514.00	0.077017
515.00	0.079869
516.00	0.082551
517.00	0.084378
518.00	0.086189
519.00	0.085307
520.00	0.086822
521.00	0.086922
522.00	0.086562
523.00	0.086304
524.00	0.085625
525.00	0.084078
526.00	0.082570
527.00	0.080839
528.00	0.077934
529.00	0.074331
530.00	0.071568
531.00	0.068609
532.00	0.064629
533.00	0.061777
534.00	0.058327
535.00	0.055841
536.00	0.053216
537.00	0.051615
538.00	0.050683
539.00	0.050299
540.00	0.050844
541.00	0.052195
542.00	0.055633
543.00	0.058750
544.00	0.063566
545.00	0.068282
546.00	0.073878
547.00	0.079792
548.00	0.085403
549.00	0.090856
550.00	0.095753
551.00	0.099418
552.00	0.10444
553.00	0.10763
554.00	0.10913
555.00	0.11053
556.00	0.11085
557.00	0.11036
558.00	0.10734
559.00	0.10453
560.00	0.10074
561.00	0.095737
562.00	0.090418
563.00	0.085107
564.00	0.079331
565.00	0.073816
566.00	0.067837
567.00	0.062545
568.00	0.057322
569.00	0.051964
570.00	0.047689
571.00	0.042980
572.00	0.039116
573.00	0.035543
574.00	0.032342
575.00	0.030066
576.00	0.027307
577.00	0.025392
578.00	0.024260
579.00	0.023492
580.00	0.022828
581.00	0.021677
582.00	0.022184
583.00	0.022007
584.00	0.022379
585.00	0.023262
586.00	0.024310
587.00	0.026359
588.00	0.028029
589.00	0.030435
590.00	0.034591
591.00	0.039434
592.00	0.044730
593.00	0.051730
594.00	0.057088
595.00	0.062165
596.00	0.065742
597.00	0.068517
598.00	0.070508
599.00	0.072416
600.00	0.074979
601.00	0.076679
602.00	0.078445
603.00	0.079020
604.00	0.079074
605.00	0.076890
606.00	0.073697
607.00	0.070086
608.00	0.065857
609.00	0.061160
610.00	0.056750
611.00	0.052625
612.00	0.049032
613.00	0.045924
614.00	0.043533
615.00	0.041146
616.00	0.038978
617.00	0.037370
618.00	0.036652
619.00	0.035980
620.00	0.035961
621.00	0.035831
622.00	0.036468
623.00	0.037251
624.00	0.037849
625.00	0.037957
626.00	0.038402
627.00	0.037243
628.00	0.035420
629.00	0.034154
630.00	0.032427
631.00	0.030792
632.00	0.029306
633.00	0.029161
634.00	0.028815
635.00	0.029924
636.00	0.031552
637.00	0.034468
638.00	0.037918
639.00	0.041948
640.00	0.047332
641.00	0.054075
642.00	0.060465
643.00	0.067933
644.00	0.076825
645.00	0.086957
646.00	0.097004
647.00	0.10989
648.00	0.12781
649.00	0.15446
650.00	0.18974
651.00	0.23512
652.00	0.28880
653.00	0.34367
654.00	0.39239
655.00	0.42805
656.00	0.44352
657.00	0.44152
658.00	0.40974
659.00	0.36564
660.00	0.32129
661.00	0.27690
662.00	0.23695
663.00	0.20166
664.00	0.17415
665.00	0.15024
666.00	0.12904
667.00	0.11012
668.00	0.093331
669.00	0.077378
670.00	0.062979
671.00	0.051086
672.00	0.040570
673.00	0.033232
674.00	0.026881
675.00	0.022011
676.00	0.018488
677.00	0.015418
678.00	0.013422
679.00	0.011108
680.00	0.0097111
681.00	0.0087632
682.00	0.0076848
683.00	0.0071475
684.00	0.0062303
685.00	0.0062725
686.00	0.0054052
687.00	0.0054550
688.00	0.0051864
689.00	0.0045302
690.00	0.0044304
691.00	0.0044112
692.00	0.0044726
693.00	0.0040082
694.00	0.0041387
695.00	0.0035016
696.00	0.0036436
697.00	0.0038547
698.00	0.0039391
699.00	0.0035554
700.00	0.0034172
701.00	0.0038854
702.00	0.0032023
703.00	0.0038010
704.00	0.0035093
705.00	0.0036628
706.00	0.0037281
707.00	0.0032714
708.00	0.0028492
709.00	0.0034134
710.00	0.0036053
711.00	0.0031793
712.00	0.0037473
713.00	0.0037127
714.00	0.0035323
715.00	0.0036245
716.00	0.0033750
717.00	0.0036782
718.00	0.0034479
719.00	0.0034556
720.00	0.0036398
721.00	0.0034441
722.00	0.0037166
723.00	0.0034671
724.00	0.0033098
725.00	0.0033289
726.00	0.0032023
727.00	0.0034825
728.00	0.0034671
729.00	0.0033635
730.00	0.0034057
731.00	0.0031754
732.00	0.0032752
733.00	0.0032368
734.00	0.0031793
735.00	0.0030641
736.00	0.0032675
737.00	0.0031793
738.00	0.0032100
739.00	0.0031678
740.00	0.0031102
741.00	0.0029797
742.00	0.0031524
743.00	0.0033481
744.00	0.0032292
745.00	0.0028838
746.00	0.0032023
747.00	0.0032714
748.00	0.0033712
749.00	0.0035362
750.00	0.0033903
